"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;1;0;7;4
1;2;1;4;1
1;3;1;1;0
1;4;3;0;15
1;5;1;0;10
1;6;0;15;0
1;7;1;12;1
1;8;1;1;5
1;9;1;4;2
1;10;0;25;2
1;11;0;0;8
1;12;0;13;0
1;13;1;5;0
1;14;2;2;0
1;15;0;1;19
1;16;2;6;2
1;17;0;16;0
1;18;2;11;2
1;19;2;2;3
1;20;0;9;0
1;21;0;2;1
1;22;1;0;12
1;23;1;9;0
1;24;0;0;8
1;25;1;1;3
1;26;1;2;1
1;27;0;11;1
1;28;0;1;42
1;29;0;2;2
1;30;0;8;4
1;31;0;22;0
1;32;0;0;25
1;33;1;4;2
1;34;1;5;2
1;35;2;2;8
1;36;0;0;5
1;37;0;0;2
1;38;0;6;0
1;39;0;0;8
1;40;1;0;24
1;41;0;1;6
1;42;0;1;5
1;43;0;0;2
1;44;1;0;1
1;45;0;31;2
1;46;2;7;1
1;47;1;0;0
1;48;0;0;10
1;49;0;0;6
1;50;0;0;6
2;1;2;5;0
2;2;2;2;2
2;3;3;0;7
2;4;1;4;2
2;5;2;6;7
2;6;0;1;7
2;7;1;21;4
2;8;1;0;21
2;9;0;0;19
2;10;2;9;22
2;11;0;6;0
2;12;0;1;11
2;13;1;8;0
2;14;1;3;6
2;15;0;28;7
2;16;1;5;15
2;17;1;1;0
2;18;0;0;10
2;19;1;2;7
2;20;0;1;1
2;21;0;0;8
2;22;1;4;1
2;23;1;4;0
2;24;2;5;2
2;25;0;6;0
2;26;0;3;7
2;27;0;7;1
2;28;0;2;15
2;29;1;0;11
2;30;0;3;0
2;31;0;0;4
2;32;0;0;0
2;33;0;2;0
2;34;0;2;0
2;35;0;0;0
2;36;0;19;0
2;37;1;0;0
2;38;1;0;0
2;39;0;0;4
2;40;1;5;0
2;41;0;8;2
2;42;0;0;0
2;43;1;0;7
2;44;0;0;0
2;45;0;0;2
2;46;0;0;0
2;47;1;0;0
2;48;0;0;0
2;49;1;4;0
2;50;0;0;0
3;1;0;25;4
3;2;0;0;14
3;3;2;2;1
3;4;1;0;4
3;5;0;0;7
3;6;1;2;12
3;7;0;1;5
3;8;0;5;4
3;9;2;14;3
3;10;2;2;7
3;11;0;16;2
3;12;0;5;9
3;13;2;2;1
3;14;0;14;1
3;15;0;0;1
3;16;1;6;1
3;17;0;0;0
3;18;0;0;3
3;19;2;3;14
3;20;1;12;1
3;21;0;12;3
3;22;1;14;3
3;23;0;14;0
3;24;2;5;13
3;25;1;0;6
3;26;2;4;1
3;27;0;10;1
3;28;0;15;1
3;29;1;2;1
3;30;0;2;13
3;31;0;7;0
3;32;0;2;35
3;33;1;2;2
3;34;0;13;0
3;35;0;4;0
3;36;1;6;0
3;37;0;2;0
3;38;0;19;0
3;39;0;0;0
3;40;2;4;0
3;41;0;5;53
3;42;0;0;3
3;43;1;0;0
3;44;0;9;0
3;45;1;0;0
3;46;0;3;0
3;47;0;52;3
3;48;0;5;0
3;49;1;1;9
3;50;1;0;0
4;1;0;0;0
4;2;1;2;0
4;3;0;0;14
4;4;3;5;6
4;5;0;1;10
4;6;1;2;1
4;7;0;7;0
4;8;2;1;10
4;9;3;26;7
4;10;0;6;3
4;11;0;3;5
4;12;1;3;16
4;13;1;8;7
4;14;1;32;6
4;15;1;20;5
4;16;0;2;11
4;17;0;6;1
4;18;0;26;0
4;19;0;3;1
4;20;1;6;0
4;21;0;0;0
4;22;0;0;3
4;23;0;0;17
4;24;2;4;10
4;25;0;11;1
4;26;0;6;0
4;27;0;0;5
4;28;0;0;4
4;29;0;1;18
4;30;0;4;1
4;31;0;8;1
4;32;0;13;4
4;33;1;3;1
4;34;0;8;1
4;35;1;0;19
4;36;0;13;0
4;37;0;0;4
4;38;0;0;7
4;39;0;0;18
4;40;0;0;8
4;41;0;0;13
4;42;0;0;26
4;43;0;6;0
4;44;0;7;0
4;45;0;0;37
4;46;2;0;5
4;47;1;0;3
4;48;0;0;3
4;49;0;0;6
4;50;0;0;1
5;1;3;1;1
5;2;0;0;5
5;3;0;2;14
5;4;1;8;4
5;5;1;4;9
5;6;2;3;18
5;7;0;28;3
5;8;2;9;11
5;9;2;2;1
5;10;1;19;17
5;11;1;1;23
5;12;1;14;6
5;13;0;2;8
5;14;0;0;3
5;15;1;2;5
5;16;1;0;14
5;17;0;12;1
5;18;1;0;0
5;19;1;0;10
5;20;2;2;9
5;21;1;9;0
5;22;0;1;5
5;23;0;5;8
5;24;0;1;9
5;25;0;0;5
5;26;1;0;0
5;27;0;0;2
5;28;1;4;12
5;29;0;1;5
5;30;0;1;41
5;31;0;4;0
5;32;0;5;22
5;33;1;1;11
5;34;0;0;6
5;35;1;15;0
5;36;0;14;1
5;37;1;0;18
5;38;1;1;11
5;39;0;10;0
5;40;0;18;4
5;41;0;0;47
5;42;0;1;3
5;43;0;0;0
5;44;0;0;25
5;45;0;0;0
5;46;0;0;0
5;47;1;0;8
5;48;0;0;13
5;49;0;4;0
5;50;0;0;0
6;1;0;2;4
6;2;0;0;2
6;3;1;16;0
6;4;0;21;4
6;5;1;0;33
6;6;0;9;18
6;7;1;11;0
6;8;0;13;0
6;9;0;1;6
6;10;1;1;19
6;11;1;5;0
6;12;2;24;4
6;13;2;6;3
6;14;0;20;3
6;15;2;27;6
6;16;0;0;15
6;17;0;1;14
6;18;0;10;2
6;19;0;6;4
6;20;0;14;0
6;21;0;4;2
6;22;1;1;6
6;23;1;4;3
6;24;1;3;0
6;25;2;4;16
6;26;0;2;13
6;27;2;1;0
6;28;0;1;40
6;29;1;2;7
6;30;0;14;1
6;31;0;8;0
6;32;0;8;0
6;33;1;3;0
6;34;0;2;14
6;35;2;13;1
6;36;0;2;0
6;37;1;0;2
6;38;0;1;3
6;39;0;1;4
6;40;0;6;0
6;41;0;0;0
6;42;0;13;0
6;43;0;0;0
6;44;0;3;0
6;45;0;6;0
6;46;0;6;0
6;47;0;3;0
6;48;0;0;0
6;49;0;0;0
6;50;0;0;0
7;1;1;1;11
7;2;2;1;13
7;3;1;2;10
7;4;0;33;3
7;5;0;13;0
7;6;0;14;1
7;7;0;2;10
7;8;0;31;3
7;9;1;2;4
7;10;2;6;2
7;11;0;6;10
7;12;2;5;13
7;13;1;0;16
7;14;1;5;52
7;15;0;3;2
7;16;0;0;13
7;17;1;3;19
7;18;0;6;9
7;19;1;7;2
7;20;0;0;16
7;21;2;14;6
7;22;1;3;0
7;23;1;0;6
7;24;3;9;10
7;25;1;5;7
7;26;0;0;12
7;27;0;0;0
7;28;0;2;0
7;29;2;0;40
7;30;1;2;0
7;31;1;11;1
7;32;0;9;2
7;33;0;5;5
7;34;0;1;5
7;35;0;0;8
7;36;1;0;2
7;37;0;0;0
7;38;0;1;1
7;39;0;0;0
7;40;0;3;0
7;41;0;0;0
7;42;0;0;0
7;43;0;0;0
7;44;0;0;6
7;45;0;0;0
7;46;0;0;0
7;47;0;0;0
7;48;0;0;0
7;49;0;0;0
7;50;0;0;0
8;1;0;49;0
8;2;0;21;0
8;3;0;5;10
8;4;1;0;0
8;5;0;2;0
8;6;0;34;0
8;7;0;3;5
8;8;1;2;24
8;9;0;6;0
8;10;0;6;0
8;11;1;2;4
8;12;0;4;13
8;13;0;15;0
8;14;1;35;1
8;15;0;11;8
8;16;0;0;15
8;17;0;16;0
8;18;1;27;0
8;19;0;6;23
8;20;2;7;0
8;21;0;3;8
8;22;1;5;9
8;23;2;3;3
8;24;0;4;8
8;25;0;0;23
8;26;0;1;20
8;27;2;0;3
8;28;1;2;3
8;29;1;3;3
8;30;2;1;0
8;31;0;0;7
8;32;1;1;23
8;33;1;59;2
8;34;0;11;1
8;35;0;5;0
8;36;1;1;2
8;37;1;9;0
8;38;1;14;1
8;39;0;0;4
8;40;0;0;10
8;41;0;4;3
8;42;0;1;0
8;43;1;0;3
8;44;0;7;2
8;45;2;2;5
8;46;0;0;10
8;47;0;4;18
8;48;0;5;1
8;49;0;0;3
8;50;0;0;1
9;1;1;6;0
9;2;1;0;28
9;3;1;7;0
9;4;0;19;1
9;5;0;2;0
9;6;0;3;14
9;7;0;0;2
9;8;1;2;11
9;9;0;2;11
9;10;0;21;3
9;11;0;0;2
9;12;1;9;2
9;13;0;4;6
9;14;1;9;3
9;15;1;15;2
9;16;1;2;8
9;17;0;7;4
9;18;2;5;1
9;19;0;10;0
9;20;1;8;0
9;21;0;3;6
9;22;1;2;2
9;23;0;0;6
9;24;0;10;13
9;25;0;5;2
9;26;1;3;19
9;27;0;0;18
9;28;1;6;14
9;29;2;3;14
9;30;0;5;18
9;31;0;0;8
9;32;0;3;7
9;33;0;2;8
9;34;0;0;29
9;35;0;25;2
9;36;2;3;0
9;37;0;12;0
9;38;2;4;37
9;39;1;2;2
9;40;2;6;2
9;41;2;9;2
9;42;2;2;1
9;43;0;9;2
9;44;0;0;0
9;45;0;2;0
9;46;1;1;1
9;47;1;5;0
9;48;0;0;6
9;49;1;3;5
9;50;3;0;8
10;1;0;0;11
10;2;1;25;0
10;3;1;6;4
10;4;0;7;4
10;5;1;6;4
10;6;1;0;8
10;7;0;7;3
10;8;2;9;2
10;9;1;5;1
10;10;2;4;21
10;11;0;14;1
10;12;0;3;36
10;13;1;2;0
10;14;1;32;0
10;15;0;2;38
10;16;2;26;0
10;17;0;8;3
10;18;0;18;0
10;19;0;5;1
10;20;0;0;10
10;21;1;5;1
10;22;0;0;10
10;23;0;0;2
10;24;0;8;0
10;25;0;3;1
10;26;0;9;0
10;27;4;7;7
10;28;0;2;9
10;29;1;0;0
10;30;0;10;2
10;31;0;20;0
10;32;1;0;4
10;33;0;11;3
10;34;0;0;16
10;35;1;0;2
10;36;1;0;11
10;37;0;5;0
10;38;0;0;9
10;39;0;0;14
10;40;1;1;4
10;41;1;1;2
10;42;1;4;0
10;43;1;0;13
10;44;0;0;50
10;45;0;42;0
10;46;0;1;2
10;47;0;55;0
10;48;0;3;0
10;49;0;5;0
10;50;0;2;6
11;1;0;0;16
11;2;0;1;5
11;3;1;2;0
11;4;3;24;3
11;5;0;0;0
11;6;1;0;1
11;7;1;6;14
11;8;1;1;7
11;9;4;20;12
11;10;0;5;16
11;11;1;0;2
11;12;0;0;7
11;13;3;1;18
11;14;1;2;4
11;15;0;1;12
11;16;0;0;27
11;17;0;27;2
11;18;1;8;0
11;19;0;26;6
11;20;0;16;3
11;21;0;3;0
11;22;0;6;0
11;23;0;2;14
11;24;1;2;2
11;25;2;7;0
11;26;0;0;9
11;27;0;3;1
11;28;0;0;23
11;29;0;0;5
11;30;0;5;6
11;31;0;0;4
11;32;1;0;3
11;33;0;0;7
11;34;0;0;7
11;35;0;0;2
11;36;1;0;9
11;37;0;1;5
11;38;0;0;20
11;39;0;0;0
11;40;0;0;13
11;41;1;1;1
11;42;1;0;4
11;43;0;0;5
11;44;0;0;9
11;45;0;0;1
11;46;0;0;3
11;47;0;0;4
11;48;1;2;5
11;49;0;0;1
11;50;0;0;7
12;1;0;0;10
12;2;0;18;4
12;3;0;28;2
12;4;0;0;3
12;5;0;16;0
12;6;0;2;25
12;7;0;7;1
12;8;0;17;1
12;9;1;0;32
12;10;3;4;5
12;11;1;0;1
12;12;0;6;8
12;13;0;2;0
12;14;2;2;8
12;15;0;1;8
12;16;1;3;7
12;17;1;1;19
12;18;0;13;0
12;19;1;22;2
12;20;1;2;9
12;21;0;0;1
12;22;0;9;2
12;23;1;15;3
12;24;0;1;0
12;25;0;15;2
12;26;0;9;1
12;27;2;35;3
12;28;0;0;6
12;29;0;7;0
12;30;1;3;16
12;31;1;3;12
12;32;0;14;5
12;33;1;0;3
12;34;1;4;0
12;35;0;0;3
12;36;0;0;0
12;37;0;0;0
12;38;0;4;0
12;39;0;7;0
12;40;0;1;0
12;41;1;0;0
12;42;0;0;0
12;43;0;0;0
12;44;0;0;0
12;45;0;0;0
12;46;0;3;0
12;47;0;3;0
12;48;0;0;0
12;49;0;0;0
12;50;0;0;0
13;1;1;0;14
13;2;0;7;0
13;3;2;4;0
13;4;0;7;2
13;5;0;1;5
13;6;0;0;0
13;7;2;21;2
13;8;0;2;2
13;9;1;33;11
13;10;0;7;17
13;11;0;0;5
13;12;1;2;13
13;13;1;0;10
13;14;0;0;4
13;15;0;4;1
13;16;0;13;1
13;17;1;11;9
13;18;1;2;3
13;19;0;6;0
13;20;0;21;1
13;21;0;19;0
13;22;0;2;15
13;23;0;5;3
13;24;0;0;6
13;25;0;13;1
13;26;1;3;0
13;27;1;0;14
13;28;0;11;1
13;29;0;6;2
13;30;0;1;6
13;31;0;0;3
13;32;0;0;4
13;33;0;8;0
13;34;0;10;1
13;35;0;5;1
13;36;3;5;8
13;37;1;0;4
13;38;1;1;5
13;39;1;11;1
13;40;0;0;9
13;41;0;5;0
13;42;2;0;4
13;43;0;18;2
13;44;1;0;12
13;45;1;0;4
13;46;0;6;7
13;47;0;15;1
13;48;0;1;16
13;49;2;3;0
13;50;0;25;1
14;1;1;2;4
14;2;0;1;8
14;3;0;3;26
14;4;2;0;2
14;5;1;0;4
14;6;1;0;10
14;7;1;4;2
14;8;0;33;2
14;9;1;18;0
14;10;1;9;1
14;11;1;2;13
14;12;1;4;2
14;13;1;3;40
14;14;0;2;5
14;15;1;12;1
14;16;0;17;0
14;17;1;0;9
14;18;1;1;8
14;19;2;9;18
14;20;0;1;11
14;21;1;7;3
14;22;1;4;1
14;23;2;2;2
14;24;0;0;1
14;25;0;9;1
14;26;0;3;1
14;27;0;2;1
14;28;0;0;4
14;29;0;12;0
14;30;1;7;0
14;31;0;0;3
14;32;0;4;0
14;33;1;34;11
14;34;1;1;21
14;35;0;0;3
14;36;2;1;17
14;37;0;1;10
14;38;1;0;8
14;39;0;4;1
14;40;0;5;0
14;41;0;5;3
14;42;2;1;0
14;43;1;4;0
14;44;0;3;3
14;45;0;7;0
14;46;1;23;0
14;47;0;0;18
14;48;1;1;8
14;49;1;1;0
14;50;0;0;9
15;1;1;5;4
15;2;0;0;4
15;3;1;0;12
