"sim","bout","bee","distance"
1,1,1,0.538648113897666
1,2,1,0.617996763782929
1,3,1,0.518804925562351
1,4,1,0.557987525254073
1,5,1,0.829079971586481
1,6,1,0.604456282847299
1,7,1,0.266786759450878
1,8,1,0.527242426900551
1,9,1,0.402616469687563
1,10,1,0.383118038248623
1,11,1,0.60338784563555
1,12,1,0.538347734956129
1,13,1,0.515804582293919
1,14,1,0.445810231038554
1,15,1,0.150029995127373
1,16,1,0.449060000935053
1,17,1,0.217826102075464
1,18,1,0.291386066377912
1,19,1,0.221167346386955
1,20,1,0.165538598979668
2,1,1,0.42488362633959
2,2,1,0.520686090677129
2,3,1,0.218814369440877
2,4,1,0.552978040583428
2,5,1,0.566780559178605
2,6,1,0.391560464115206
2,7,1,0.561025759622976
2,8,1,0.481082015795286
2,9,1,0.466342027970824
2,10,1,0.266087334211894
2,11,1,0.435222435141348
2,12,1,0.284724251156101
2,13,1,0.327277011821408
2,14,1,0.207953250377272
2,15,1,0.298811662956678
2,16,1,0.38735515776234
2,17,1,0.271251337532476
2,18,1,0.67373541345592
2,19,1,0.495565814778984
2,20,1,0.31155298650777
3,1,1,0.387297436781634
3,2,1,0.54989987231193
3,3,1,0.543849895044694
3,4,1,0.526715314898606
3,5,1,0.470417846189463
3,6,1,0.721133107784536
3,7,1,0.623491317839929
3,8,1,0.678993143938674
3,9,1,0.6767425096581
3,10,1,0.41754685838334
3,11,1,0.535015645164485
3,12,1,0.216597098776074
3,13,1,0.44764893159332
3,14,1,0.319022506692239
3,15,1,0.303805355607293
3,16,1,0.379397755690913
3,17,1,0.369354639236419
3,18,1,0.211438333010769
3,19,1,0.288386688670275
3,20,1,0.26537882288646
4,1,1,0.53959576611137
4,2,1,0.632022686831614
4,3,1,0.32608800730462
4,4,1,0.480720183073037
4,5,1,0.531400899662805
4,6,1,0.474372853718702
4,7,1,0.402200618247408
4,8,1,0.377536632256271
4,9,1,0.270695877927
4,10,1,0.277460297863829
4,11,1,0.188965677619395
4,12,1,0.453580142905835
4,13,1,0.255523112530278
4,14,1,0.389023426302257
4,15,1,0.400694253914154
4,16,1,0.432699990355178
4,17,1,0.328995672545374
4,18,1,0.410403144766551
4,19,1,0.300391450718097
4,20,1,0.437277454400192
5,1,1,0.507776368725403
5,2,1,0.510689150999022
5,3,1,0.549830564610751
5,4,1,0.611459550961544
5,5,1,0.430093262812011
5,6,1,0.274402930811428
5,7,1,0.428402447395014
5,8,1,0.58963088699874
5,9,1,0.320668716468089
5,10,1,0.572614002309286
5,11,1,0.34950443053938
5,12,1,0.500261075175994
5,13,1,0.433116220857237
5,14,1,0.510915567315163
5,15,1,0.508349661851961
5,16,1,0.534336812939954
5,17,1,0.756195468403708
5,18,1,0.535635072727869
5,19,1,0.295713288776819
5,20,1,0.532284866155298
6,1,1,0.702514855578391
6,2,1,0.526454391368253
6,3,1,0.464052209402157
6,4,1,0.403736482387873
6,5,1,0.211676139715922
6,6,1,0.500406972711905
6,7,1,0.400182196822675
6,8,1,0.537861299135661
6,9,1,0.380265305982304
6,10,1,0.474735372492304
6,11,1,0.189907861071074
6,12,1,0.287301542585542
6,13,1,0.559099757878562
6,14,1,0.412454581197099
6,15,1,0.475302249700999
6,16,1,0.637823246272508
6,17,1,0.5473940099787
6,18,1,0.468776789819332
6,19,1,0.427740777985173
6,20,1,0.429158225062824
7,1,1,0.433364780794001
7,2,1,0.543775696738125
7,3,1,0.396628950310002
7,4,1,0.199811496467993
7,5,1,0.467144789956381
7,6,1,0.464265702335545
7,7,1,0.494013433549567
7,8,1,0.471399040170724
7,9,1,0.453390806332585
7,10,1,0.284341513354295
7,11,1,0.242352908482885
7,12,1,0.300961243935313
7,13,1,0.393337701767667
7,14,1,0.266211733060178
7,15,1,0.392614535839202
7,16,1,0.250352519089629
7,17,1,0.261520045037094
7,18,1,0.322327795438421
7,19,1,0.302560445285719
7,20,1,0.226614957082843
8,1,1,0.668944611948069
8,2,1,0.445151899746107
8,3,1,0.609717844747597
8,4,1,0.179909254890745
8,5,1,0.560687715174881
8,6,1,0.902833857702354
8,7,1,0.262926438816827
8,8,1,0.807230031958747
8,9,1,0.420475261280437
8,10,1,0.321348568518429
8,11,1,0.604161994552158
8,12,1,0.536883533197622
8,13,1,0.336066664155033
8,14,1,0.271793889271465
8,15,1,0.493107551164773
8,16,1,0.397136720257158
8,17,1,0.284924564586742
8,18,1,0.34662727195042
8,19,1,0.262399822622512
8,20,1,0.157038625164381
9,1,1,0.41130066331048
9,2,1,0.516355411215577
9,3,1,0.420425752518712
9,4,1,0.445526610775433
9,5,1,0.41885392427955
9,6,1,0.500635507817484
9,7,1,0.595890016918948
9,8,1,0.48682328110584
9,9,1,0.53349287931543
9,10,1,0.574422161847641
9,11,1,0.614096357877304
9,12,1,0.741712746719672
9,13,1,0.542234529046584
9,14,1,0.442152212479271
9,15,1,0.508230095428745
9,16,1,0.555425776283883
9,17,1,0.387902945393029
9,18,1,0.33394756478158
9,19,1,0.236919584607895
9,20,1,0.196129666352014
10,1,1,0.63241049324261
10,2,1,0.769973617531981
10,3,1,0.392126502642044
10,4,1,0.283478022667955
10,5,1,0.376512494791946
10,6,1,0.580117038207509
10,7,1,0.687684106737469
10,8,1,0.481821960291069
10,9,1,0.451494347214148
10,10,1,0.798505870411163
10,11,1,0.415631041403945
10,12,1,0.699343535697511
10,13,1,0.597666456381012
10,14,1,0.272013366990263
10,15,1,0.436870867821963
10,16,1,0.457589235064368
10,17,1,0.0185821625836209
10,18,1,0.0746783517623457
10,19,1,0.293258852515041
10,20,1,0.330070423927972
