"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;6;14;1;1;7
1;6;15;0;0;1
1;6;16;0;2;1
1;6;17;0;4;0
1;6;18;1;2;0
1;6;19;1;1;0
1;6;20;1;0;5
1;6;21;1;2;2
1;6;22;0;3;0
1;6;23;2;4;8
1;6;24;0;0;0
1;6;25;0;1;0
1;6;26;0;2;1
1;6;27;1;0;3
1;6;28;0;1;1
1;6;29;0;6;3
1;6;30;0;1;0
1;6;31;0;21;2
1;6;32;0;3;0
1;6;33;1;0;1
1;6;34;0;1;11
1;6;35;0;0;4
1;6;36;0;1;1
1;6;37;0;0;1
1;6;38;0;0;18
1;6;39;2;0;1
1;6;40;0;1;1
1;6;41;2;0;0
1;6;42;0;1;0
1;6;43;2;0;1
1;6;44;2;1;1
1;6;45;0;7;2
1;6;46;0;1;7
1;6;47;1;0;0
1;6;48;0;0;1
1;6;49;1;3;0
1;6;50;0;0;3
1;7;1;0;4;4
1;7;2;0;1;31
1;7;3;2;6;2
1;7;4;2;0;0
1;7;5;2;0;0
1;7;6;0;1;5
1;7;7;2;4;3
1;7;8;0;20;3
1;7;9;0;4;5
1;7;10;1;3;2
1;7;11;3;3;2
1;7;12;0;2;0
1;7;13;2;0;0
1;7;14;2;0;0
1;7;15;1;3;12
1;7;16;1;12;0
1;7;17;0;3;1
1;7;18;1;1;0
1;7;19;0;2;1
1;7;20;1;6;1
1;7;21;0;14;5
1;7;22;0;0;8
1;7;23;3;1;0
1;7;24;1;1;3
1;7;25;0;4;1
1;7;26;1;1;8
1;7;27;0;1;1
1;7;28;1;2;0
1;7;29;0;10;2
1;7;30;0;1;3
1;7;31;1;0;0
1;7;32;0;0;1
1;7;33;0;0;1
1;7;34;0;13;4
1;7;35;1;1;4
1;7;36;1;1;0
1;7;37;0;0;1
1;7;38;2;1;0
1;7;39;0;0;1
1;7;40;2;0;1
1;7;41;0;1;1
1;7;42;0;6;3
1;7;43;1;4;1
1;7;44;1;0;9
1;7;45;3;1;0
1;7;46;0;3;0
1;7;47;0;0;3
1;7;48;1;0;0
1;7;49;0;0;0
1;7;50;0;3;0
1;8;1;1;3;3
1;8;2;0;38;0
1;8;3;3;8;2
1;8;4;0;2;0
1;8;5;0;3;1
1;8;6;0;15;5
1;8;7;1;2;6
1;8;8;1;1;0
1;8;9;0;13;1
1;8;10;1;0;8
1;8;11;0;3;1
1;8;12;1;10;3
1;8;13;0;3;35
1;8;14;0;0;25
1;8;15;1;3;5
1;8;16;1;4;0
1;8;17;2;1;0
1;8;18;0;2;4
1;8;19;2;3;2
1;8;20;0;1;1
1;8;21;1;0;1
1;8;22;0;8;2
1;8;23;1;6;0
1;8;24;0;1;5
1;8;25;0;1;7
1;8;26;0;1;1
1;8;27;1;7;1
1;8;28;0;0;2
1;8;29;0;12;3
1;8;30;0;2;2
1;8;31;0;2;4
1;8;32;2;0;0
1;8;33;0;2;0
1;8;34;0;0;4
1;8;35;0;2;6
1;8;36;0;2;11
1;8;37;0;1;4
1;8;38;1;2;1
1;8;39;1;2;5
1;8;40;0;1;6
1;8;41;4;1;1
1;8;42;2;0;0
1;8;43;0;1;1
1;8;44;0;5;0
1;8;45;0;0;0
1;8;46;0;1;0
1;8;47;0;2;2
1;8;48;1;4;0
1;8;49;0;3;1
1;8;50;1;1;2
1;9;1;0;5;1
1;9;2;0;1;0
1;9;3;5;15;5
1;9;4;0;8;5
1;9;5;1;0;3
1;9;6;1;7;8
1;9;7;2;1;2
1;9;8;0;1;6
1;9;9;1;1;19
1;9;10;0;6;0
1;9;11;0;0;10
1;9;12;1;5;2
1;9;13;1;2;2
1;9;14;0;0;15
1;9;15;1;0;0
1;9;16;2;0;0
1;9;17;0;20;0
1;9;18;1;0;3
1;9;19;2;0;0
1;9;20;0;3;1
1;9;21;3;0;1
1;9;22;1;2;1
1;9;23;2;0;18
1;9;24;0;10;4
1;9;25;1;0;5
1;9;26;0;6;0
1;9;27;0;0;19
1;9;28;0;8;4
1;9;29;1;1;4
1;9;30;0;3;1
1;9;31;1;2;3
1;9;32;0;0;0
1;9;33;2;0;0
1;9;34;1;10;1
1;9;35;0;1;0
1;9;36;1;0;0
1;9;37;1;1;1
1;9;38;1;0;0
1;9;39;1;1;1
1;9;40;0;0;0
1;9;41;0;2;6
1;9;42;0;1;3
1;9;43;1;1;3
1;9;44;0;2;3
1;9;45;0;4;0
1;9;46;0;0;9
1;9;47;0;4;0
1;9;48;2;2;2
1;9;49;0;1;9
1;9;50;0;1;1
1;10;1;0;8;2
1;10;2;0;0;0
1;10;3;3;10;6
1;10;4;0;2;20
1;10;5;2;10;1
1;10;6;0;13;0
1;10;7;1;3;2
1;10;8;0;1;1
1;10;9;1;0;2
1;10;10;0;1;7
1;10;11;1;13;3
1;10;12;2;0;1
1;10;13;2;4;20
1;10;14;0;1;2
1;10;15;2;7;5
1;10;16;0;1;0
1;10;17;0;0;1
1;10;18;0;0;4
1;10;19;4;3;5
1;10;20;0;1;1
1;10;21;0;3;0
1;10;22;0;3;0
1;10;23;0;0;2
1;10;24;0;0;8
1;10;25;0;5;0
1;10;26;1;0;2
1;10;27;1;8;5
1;10;28;0;0;0
1;10;29;0;4;4
1;10;30;1;1;1
1;10;31;0;2;1
1;10;32;1;3;2
1;10;33;1;0;0
1;10;34;1;2;0
1;10;35;0;2;2
1;10;36;0;1;2
1;10;37;0;1;1
1;10;38;0;0;12
1;10;39;0;0;0
