simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,absolute_quality
0,0,0,,2,0.00454487
0,0,1,,2,0.01004721
0,1,0,,2,0.00355549
0,1,1,,3,0.01366327
0,2,0,,5,0.01643412
0,2,1,,3,0.01366327
0,3,0,,5,0.01984252
0,3,1,,3,0.01366327
0,4,0,,3,0.00888419
0,4,1,,3,0.01366327
0,5,0,,5,0.01300188
0,5,1,,3,0.01366327
0,6,0,,5,0.01776035
0,6,1,,3,0.01366327
0,7,0,,5,0.01776035
0,7,1,,3,0.01366327
0,8,0,,5,0.01776035
0,8,1,,3,0.01366327
0,9,0,,5,0.01776035
0,9,1,,3,0.01366327
0,10,0,,5,0.01776035
0,10,1,,3,0.00458075
0,11,0,,5,0.01776035
0,11,1,,3,0.01366327
0,12,0,,5,0.01776035
0,12,1,,3,0.01366327
0,13,0,,5,0.01776035
0,13,1,,3,0.01366327
0,14,0,,5,0.01776035
0,14,1,,3,0.01366327
0,15,0,,5,0.01776035
0,15,1,,3,0.01366327
0,16,0,,5,0.01776035
0,16,1,,3,0.01366327
0,17,0,,5,0.01776035
0,17,1,,3,0.01366327
0,18,0,,5,0.01776035
0,18,1,,3,0.01366327
0,19,0,,5,0.01776035
0,19,1,,3,0.01366327
0,20,0,,5,0.01776035
0,20,1,,3,0.01366327
0,21,0,,5,0.01715987
0,21,1,,4,0.01134388
0,22,0,,5,0.01715987
0,22,1,,4,0.00479136
0,23,0,,5,0.01776035
0,23,1,,3,0.00578344
0,24,0,,5,0.01776035
0,24,1,,3,0.00638093
0,25,0,,5,0.01776035
0,25,1,,3,0.01366327
0,26,0,,5,0.01776035
0,26,1,,3,0.00639831
0,27,0,,5,0.01776035
0,27,1,,3,0.01366327
0,28,0,,5,0.01776035
0,28,1,,3,0.01366327
0,29,0,,5,0.01776035
0,29,1,,3,0.01366327
1,0,0,,3,0.00273234
1,0,1,,5,0.01700961
1,1,0,,5,0.01715207
1,1,1,,5,0.01700961
1,2,0,,5,0.0185418
1,2,1,,5,0.01700961
1,3,0,,4,0.00495164
1,3,1,,3,0.00613946
1,4,0,,5,0.00974851
1,4,1,,3,0.00478836
1,5,0,,4,0.0142173
1,5,1,,4,0.00483663
1,6,0,,5,0.0178282
1,6,1,,4,0.00966878
1,7,0,,5,0.0178282
1,7,1,,5,0.01218773
1,8,0,,5,0.0178282
1,8,1,,5,0.01728949
1,9,0,,5,0.0178282
1,9,1,,5,0.01728949
1,10,0,,5,0.0178282
1,10,1,,5,0.01728949
1,11,0,,5,0.0178282
1,11,1,,5,0.01728949
1,12,0,,5,0.0178282
1,12,1,,5,0.01728949
1,13,0,,5,0.0178282
1,13,1,,5,0.01728949
1,14,0,,5,0.0178282
1,14,1,,5,0.01728949
1,15,0,,5,0.0178282
1,15,1,,5,0.01728949
1,16,0,,5,0.0178282
1,16,1,,5,0.01728949
1,17,0,,5,0.0178282
1,17,1,,5,0.01728949
1,18,0,,5,0.0178282
1,18,1,,5,0.01728949
1,19,0,,5,0.0178282
1,19,1,,5,0.01728949
1,20,0,,5,0.0178282
1,20,1,,5,0.01728949
1,21,0,,5,0.0178282
1,21,1,,5,0.01728949
1,22,0,,5,0.0178282
1,22,1,,5,0.01728949
1,23,0,,5,0.0178282
1,23,1,,5,0.01728949
1,24,0,,5,0.0178282
1,24,1,,5,0.01728949
1,25,0,,5,0.0178282
1,25,1,,5,0.01728949
1,26,0,,5,0.0178282
1,26,1,,5,0.01728949
