"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
7,1,1,0.00961108,0.00278206,0.012,0.154651192612003
7,1,2,0.01166003,0.01622724,0.028,0.360852782761341
7,1,3,0.0144806,0.00279726,0.017,0.219089189533671
7,1,4,0.01954112,0.0045816,0.024,0.309302385224006
7,1,5,0.01111153,0.00573466,0.017,0.219089189533671
7,1,6,0.00164391,0.00928149,0.011,0.14176359322767
7,1,7,0.02320381,0.03880098,0.062,0.799031161828683
7,1,8,0.01485408,0.00735088,0.022,0.283527186455339
7,1,9,0.00279729,0.00199094,0.005,0.064437996921668
7,1,10,0.00124186,0.00282875,0.004,0.0515503975373344
7,1,11,0.01395433,0.02093247,0.035,0.451065978451676
7,1,12,0.00341865,0.00278404,0.006,0.0773255963060016
7,1,13,0.01703643,0.02650072,0.044,0.567054372910679
7,1,14,0.00124468,0.01949542,0.021,0.270639587071006
7,1,15,0.0019134,0.01068158,0.013,0.167538791996337
7,1,16,0.00254613,0.00442331,0.007,0.0902131956903352
7,1,17,0.00863917,0.00636903,0.015,0.193313990765004
7,1,18,0.00124559,0.0027873,0.004,0.0515503975373344
7,1,19,0.00672543,0.01930224,0.026,0.335077583992674
7,1,20,0.00124188,0.00281326,0.004,0.0515503975373344
7,1,21,0.01067968,0.00499453,0.016,0.206201590149338
7,1,22,0.00862385,0.02309325,0.032,0.412403180298675
7,1,23,0.00124582,0.0034748,0.005,0.064437996921668
7,1,24,0.01355501,0.02309325,0.037,0.476841177220343
7,1,25,0.00139779,0.00280542,0.004,0.0515503975373344
7,1,26,0.00569628,0.00748154,0.013,0.167538791996337
7,1,27,0.00968222,0.00124706,0.011,0.14176359322767
7,1,28,0.01502736,0.00799409,0.023,0.296414785839673
7,1,29,0.00125196,0.01524004,0.016,0.206201590149338
7,1,30,0.00416315,0.00124788,0.005,0.064437996921668
7,1,31,0.00868622,0.00728588,0.016,0.206201590149338
7,1,32,0.00851975,0.01074912,0.019,0.244864388302338
7,1,33,0.0012352,0.01543796,0.017,0.219089189533671
7,1,34,0.00281941,0.0150764,0.018,0.231976788918005
7,1,35,0.00957138,0.0215324,0.031,0.399515580914342
7,1,36,0.00281859,0.01694448,0.02,0.257751987686672
7,1,37,0.00818859,0.0207097,0.029,0.373740382145675
7,1,38,0.00911674,0.02170675,0.031,0.399515580914342
7,1,39,0.00288262,0.02170675,0.025,0.32218998460834
7,1,40,0.00280045,0.02170675,0.025,0.32218998460834
7,1,41,0.01494457,0.02021515,0.035,0.451065978451676
7,1,42,0.00280384,0.02170675,0.025,0.32218998460834
7,1,43,0.0098604,0.02170675,0.032,0.412403180298675
7,1,44,0.01025921,0.01952144,0.03,0.386627981530008
7,1,45,0.01139674,0.02170675,0.033,0.425290779683009
7,1,46,0.00278205,0.02170675,0.024,0.309302385224006
7,1,47,0.01460622,0.02170675,0.036,0.46395357783601
7,1,48,0.00279379,0.02170675,0.025,0.32218998460834
7,1,49,0.00729776,0.02170675,0.029,0.373740382145675
7,1,50,0.00281066,0.02170675,0.025,0.32218998460834
7,2,1,0.00279473,0.01907001,0.022,0.283527186455339
7,2,2,0.02374664,0.03779137,0.062,0.799031161828683
7,2,3,0.01795754,0.01438836,0.032,0.412403180298675
7,2,4,0.00386515,0.00737233,0.011,0.14176359322767
7,2,5,0.00754538,0.00859189,0.016,0.206201590149338
7,2,6,0.0050018,0.00032021,0.005,0.064437996921668
7,2,7,0.00279921,0.00124423,0.004,0.0515503975373344
7,2,8,0.00252829,0.00844957,0.011,0.14176359322767
7,2,9,0.00123194,0.01111186,0.012,0.154651192612003
7,2,10,0.00707052,0.01146473,0.019,0.244864388302338
7,2,11,0.0016064,0.00279876,0.004,0.0515503975373344
7,2,12,0.00823696,0.00123198,0.009,0.115988394459002
7,2,13,0.0106267,0.01868261,0.029,0.373740382145675
7,2,14,0.01127581,0.00410833,0.015,0.193313990765004
7,2,15,0.00660071,0.00885223,0.015,0.193313990765004
7,2,16,0.01164966,0.00281449,0.014,0.18042639138067
7,2,17,0.0093865,0.01484617,0.024,0.309302385224006
7,2,18,0.00411174,0.007807,0.012,0.154651192612003
7,2,19,0.00279892,0.01623667,0.019,0.244864388302338
7,2,20,0.01850716,0.00252869,0.021,0.270639587071006
7,2,21,0.00498577,0.00741776,0.012,0.154651192612003
7,2,22,0.01122152,0.011332,0.023,0.296414785839673
7,2,23,0.00124768,0.01508769,0.016,0.206201590149338
7,2,24,0.00124688,0.00970965,0.011,0.14176359322767
7,2,25,0.01212481,0.00725417,0.019,0.244864388302338
7,2,26,0.01756334,0.00163371,0.019,0.244864388302338
7,2,27,0.00719976,0.00438764,0.012,0.154651192612003
7,2,28,0.019829,0.00413946,0.024,0.309302385224006
7,2,29,0.01924661,0.01208847,0.031,0.399515580914342
7,2,30,0.00125148,0.0028087,0.004,0.0515503975373344
7,2,31,0.00060724,0.00497145,0.006,0.0773255963060016
7,2,32,0.00124672,0.01154099,0.013,0.167538791996337
7,2,33,0.00031248,0.02334854,0.024,0.309302385224006
7,2,34,0.00987341,0.00258852,0.012,0.154651192612003
7,2,35,0.00190825,0.00281678,0.005,0.064437996921668
7,2,36,0.00031217,0.00499581,0.005,0.064437996921668
7,2,37,0.00123718,0.00839435,0.01,0.128875993843336
7,2,38,0.01435513,0.01065978,0.025,0.32218998460834
7,2,39,0.01794394,0.01008169,0.028,0.360852782761341
7,2,40,0.00278907,0.00903658,0.012,0.154651192612003
7,2,41,0.00252878,0.01836651,0.021,0.270639587071006
7,2,42,0.00899086,0.02203515,0.031,0.399515580914342
7,2,43,0.01271363,0.00977115,0.022,0.283527186455339
7,2,44,0.01500455,0.02056139,0.036,0.46395357783601
7,2,45,0.01562757,0.01760047,0.033,0.425290779683009
7,2,46,0.01480079,0.02203515,0.037,0.476841177220343
7,2,47,0.01132395,0.02203515,0.033,0.425290779683009
7,2,48,0.0143063,0.02056139,0.035,0.451065978451676
7,2,49,0.01696921,0.02203515,0.039,0.502616375989011
7,2,50,0.01945024,0.02203515,0.041,0.528391574757678
7,3,1,0.01398416,0.00382495,0.018,0.231976788918005
7,3,2,0.00714013,0.00889351,0.016,0.206201590149338
7,3,3,0.0081107,0.01584502,0.024,0.309302385224006
7,3,4,0.00523814,0.00168871,0.007,0.0902131956903352
7,3,5,0.00198303,0.00280796,0.005,0.064437996921668
7,3,6,0.00651261,0.01025961,0.017,0.219089189533671
7,3,7,0.0098604,0.02153371,0.031,0.399515580914342
7,3,8,0.02414288,0.04494956,0.069,0.889244357519019
7,3,9,0.00791594,0.00031217,0.008,0.103100795074669
7,3,10,0.0087118,0.00494681,0.014,0.18042639138067
7,3,11,0.00124047,0.0127748,0.014,0.18042639138067
7,3,12,0.01111193,0.00131425,0.012,0.154651192612003
7,3,13,0.01289288,0.00164625,0.015,0.193313990765004
7,3,14,0.02875061,0.02259759,0.051,0.657267568601014
7,3,15,0.01372528,0.00031299,0.014,0.18042639138067
7,3,16,0.00124459,0.01555423,0.017,0.219089189533671
7,3,17,0.01123784,0.00122729,0.012,0.154651192612003
7,3,18,0.01039506,0.01064024,0.021,0.270639587071006
7,3,19,0.00124993,0.01462884,0.016,0.206201590149338
7,3,20,0.02066339,0.03432929,0.055,0.708817966138348
7,3,21,0.01555734,0.00944189,0.025,0.32218998460834
7,3,22,0.00744517,0.00934426,0.017,0.219089189533671
7,3,23,0.01066119,0.01461708,0.025,0.32218998460834
7,3,24,0.00280339,0.01099375,0.014,0.18042639138067
7,3,25,0.00124581,0.00824461,0.009,0.115988394459002
7,3,26,0.00137033,0.01261063,0.014,0.18042639138067
7,3,27,0.00461996,0.00280162,0.007,0.0902131956903352
7,3,28,0.00671109,0.00278952,0.01,0.128875993843336
7,3,29,0.01961857,0.00550021,0.025,0.32218998460834
7,3,30,0.02030399,0.00125022,0.022,0.283527186455339
7,3,31,0.00832995,0.0034229,0.012,0.154651192612003
7,3,32,0.0014008,0.00281702,0.004,0.0515503975373344
7,3,33,0.0046156,0.0024998,0.007,0.0902131956903352
7,3,34,0.01795645,0.00282667,0.021,0.270639587071006
7,3,35,0.0024604,0.00847592,0.011,0.14176359322767
7,3,36,0.00123959,0.00281612,0.004,0.0515503975373344
7,3,37,0.00279556,0.00125357,0.004,0.0515503975373344
7,3,38,0.00124813,0.00279617,0.004,0.0515503975373344
7,3,39,0.00586537,0.00124417,0.007,0.0902131956903352
7,3,40,0.01580446,0.00124457,0.017,0.219089189533671
7,3,41,0.00279062,0.00124058,0.004,0.0515503975373344
7,3,42,0.01224509,0.00241499,0.015,0.193313990765004
7,3,43,0.0028355,0.01548352,0.018,0.231976788918005
7,3,44,0.00282843,0.00139283,0.004,0.0515503975373344
7,3,45,0.0106502,0.022364,0.033,0.425290779683009
7,3,46,0.01081327,0.00125099,0.012,0.154651192612003
7,3,47,0.01543013,0.01047048,0.026,0.335077583992674
7,3,48,0.01745979,0.00123627,0.019,0.244864388302338
7,3,49,0.00976606,0.00123966,0.011,0.14176359322767
7,3,50,0.0026314,0.0044238,0.007,0.0902131956903352
7,4,1,0.01317117,0.0060811,0.019,0.244864388302338
7,4,2,0.02161355,0.03777422,0.059,0.760368363675683
7,4,3,0.00447081,0.00228962,0.007,0.0902131956903352
7,4,4,0.00784457,0.01565266,0.023,0.296414785839673
7,4,5,0.00279316,0.00124435,0.004,0.0515503975373344
7,4,6,0.0003117,0.00884389,0.009,0.115988394459002
7,4,7,0.01532586,0.00311993,0.018,0.231976788918005
7,4,8,0.01697811,0.00249305,0.019,0.244864388302338
7,4,9,0.00280908,0.01290867,0.016,0.206201590149338
7,4,10,0.02905043,0.02239907,0.051,0.657267568601014
7,4,11,0.02040584,0.03942916,0.06,0.773255963060016
7,4,12,0.01323099,0.00954381,0.023,0.296414785839673
7,4,13,0.00279892,0.00124913,0.004,0.0515503975373344
7,4,14,0.00796594,0.04298439,0.051,0.657267568601014
7,4,15,0.01989582,0.00282875,0.023,0.296414785839673
7,4,16,0.01485301,0.00132872,0.016,0.206201590149338
7,4,17,0.00124171,0.00689253,0.008,0.103100795074669
7,4,18,0.00047895,0.00501623,0.005,0.064437996921668
7,4,19,0.00668499,0.00031229,0.007,0.0902131956903352
7,4,20,0.01415566,0.00575883,0.02,0.257751987686672
7,4,21,0.0012418,0.00278284,0.004,0.0515503975373344
7,4,22,0.00281419,0.00125093,0.004,0.0515503975373344
7,4,23,0.00507285,0.01376615,0.019,0.244864388302338
7,4,24,0.01200519,0.00280479,0.015,0.193313990765004
7,4,25,0.013254,0.00497895,0.018,0.231976788918005
7,4,26,0.04417851,0.02046724,0.065,0.837693959981684
7,4,27,0.00280485,0.00124552,0.004,0.0515503975373344
7,4,28,0.00331064,0.00309501,0.006,0.0773255963060016
7,4,29,0.01539145,0.00282298,0.018,0.231976788918005
7,4,30,0.00530246,0.00276096,0.008,0.103100795074669
7,4,31,0.00791479,0.0012375,0.009,0.115988394459002
7,4,32,0.00826404,0.00281913,0.011,0.14176359322767
7,4,33,0.00325992,0.00124969,0.005,0.064437996921668
7,4,34,0.00124953,0.00278635,0.004,0.0515503975373344
7,4,35,0.00572839,0.00125538,0.007,0.0902131956903352
7,4,36,0.02036124,0.00493497,0.025,0.32218998460834
7,4,37,0.0012483,0.00335131,0.005,0.064437996921668
7,4,38,0.02081641,0.00125782,0.022,0.283527186455339
7,4,39,0.00281638,0.00124696,0.004,0.0515503975373344
7,4,40,0.00324329,0.00488736,0.008,0.103100795074669
7,4,41,0.00124561,0.00277583,0.004,0.0515503975373344
7,4,42,0.00124714,0.00279971,0.004,0.0515503975373344
7,4,43,0.00124511,0.0027936,0.004,0.0515503975373344
7,4,44,0.00123655,0.00282867,0.004,0.0515503975373344
7,4,45,0.00500699,0.00279789,0.008,0.103100795074669
7,4,46,0.00280672,0.00124768,0.004,0.0515503975373344
7,4,47,0.00761803,0.00280287,0.01,0.128875993843336
7,4,48,0.01815901,0.00280076,0.021,0.270639587071006
7,4,49,0.00279968,0.0107742,0.014,0.18042639138067
7,4,50,0.02135331,0.00767041,0.029,0.373740382145675
7,5,1,0.02431419,0.0343626,0.059,0.760368363675683
7,5,2,0.00124521,0.01274346,0.014,0.18042639138067
7,5,3,0.00737992,0.0075055,0.015,0.193313990765004
7,5,4,0.02165489,0.04612026,0.068,0.876356758134685
7,5,5,0.04608653,0.0181839,0.064,0.824806360597351
7,5,6,0.02173924,0.0484586,0.07,0.902131956903352
7,5,7,0.0074921,0.00282072,0.01,0.128875993843336
