"arrayNumber","simulation","bout","bee","similarityIndex"
1,1,1,1,0.25
1,1,1,2,0
1,1,2,1,0.25
1,1,2,2,0
1,1,3,1,0.407407407407407
1,1,3,2,0.375
1,1,4,1,0.130434782608696
1,1,4,2,0.375
1,1,5,1,0.130434782608696
1,1,5,2,0
1,1,6,1,0
1,1,6,2,0.0857142857142857
1,1,7,1,0
1,1,7,2,0.442857142857143
1,1,8,1,0.5
1,1,8,2,0.387096774193548
1,1,9,1,0.176470588235294
1,1,9,2,0.272727272727273
1,1,10,1,0.176470588235294
1,1,10,2,0
1,1,11,1,0.333333333333333
1,1,11,2,0
1,1,12,1,0.166666666666667
1,1,12,2,0.446428571428571
1,1,13,1,0.318181818181818
1,1,13,2,0.535714285714286
1,1,14,1,0.318181818181818
1,1,14,2,0
1,1,15,1,0
1,1,15,2,0
1,1,16,1,0
1,1,16,2,0
1,1,17,1,0
1,1,17,2,0.333333333333333
1,1,18,1,0
1,1,18,2,0.222222222222222
1,1,19,1,0.176470588235294
1,1,19,2,0.3
1,1,20,1,0.176470588235294
1,1,20,2,0.391304347826087
1,1,21,1,0
1,1,21,2,0.41304347826087
1,1,22,1,0
1,1,22,2,0.277777777777778
1,1,23,1,0
1,1,23,2,0
1,1,24,1,0.235294117647059
1,1,24,2,0
1,1,25,1,0.416666666666667
1,1,25,2,0.333333333333333
1,1,26,1,0.1875
1,1,26,2,0
1,1,27,1,0.40625
1,1,27,2,0
1,1,28,1,0
1,1,28,2,0
1,1,29,1,0.5
1,1,29,2,0.4
1,1,30,1,0.520408163265306
1,1,30,2,0.375
1,1,31,1,0.469387755102041
1,1,31,2,0.45
1,1,32,1,0.625
1,1,32,2,0.522727272727273
1,1,33,1,0
1,1,33,2,0.594594594594595
1,1,34,1,0.461538461538462
1,1,34,2,0.52027027027027
1,1,35,1,0.461538461538462
1,1,35,2,0
1,1,36,1,0.333333333333333
1,1,36,2,0.538461538461538
1,1,37,1,1
1,1,37,2,0.470588235294118
1,1,38,1,0.444444444444444
1,1,38,2,0.294117647058824
1,1,39,1,0.444444444444444
1,1,39,2,0.583333333333333
1,1,40,1,0.833333333333333
1,1,40,2,1
1,1,41,1,0.833333333333333
1,1,41,2,0.714285714285714
1,1,42,1,0.666666666666667
1,1,42,2,0
1,1,43,1,0.666666666666667
1,1,43,2,0.3
1,1,44,1,1
1,1,44,2,0
1,1,45,1,0.833333333333333
1,1,45,2,0.25
1,1,46,1,0.833333333333333
1,1,46,2,0.541666666666667
1,1,47,1,1
1,1,47,2,0.875
1,1,48,1,1
1,1,48,2,0.53448275862069
1,1,49,1,1
1,1,49,2,0.897058823529412
1,2,1,1,0
1,2,1,2,0.269230769230769
1,2,2,1,0
1,2,2,2,0.192307692307692
1,2,3,1,0
1,2,3,2,0
1,2,4,1,0.15
1,2,4,2,0
1,2,5,1,0.15
1,2,5,2,0
1,2,6,1,0
1,2,6,2,0.3
1,2,7,1,0.204081632653061
1,2,7,2,0
1,2,8,1,0.102040816326531
1,2,8,2,0
1,2,9,1,0
1,2,9,2,0
1,2,10,1,0
1,2,10,2,0
1,2,11,1,0.333333333333333
1,2,11,2,0.326086956521739
1,2,12,1,0.388888888888889
1,2,12,2,0.260869565217391
1,2,13,1,0.166666666666667
1,2,13,2,0.239583333333333
1,2,14,1,0.259259259259259
1,2,14,2,0.239583333333333
1,2,15,1,0.314814814814815
1,2,15,2,0
1,2,16,1,0.276315789473684
