simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,relative_quality,absolute_quality
0,0,0,2.504859182479448,1,0.0015723,0.08249277932407653
0,0,1,2.5048591824794486,1,0.0015723,0.08249277932407653
0,1,0,3.0343281280693373,1,0.00120237,0.06308391723964249
0,1,1,3.15004780801348,2,0.00525607,0.2757665983730197
0,2,0,3.818680657675679,2,0.00581829,0.3052642072209383
0,2,1,3.7089327957913443,2,0.00525607,0.2757665983730197
0,3,0,4.179544313555149,2,0.00581829,0.3052642072209383
0,3,1,4.17954431355515,2,0.00525607,0.2757665983730197
0,4,0,4.461911224213432,2,0.00581829,0.3052642072209383
0,4,1,4.461911224213432,2,0.00525607,0.2757665983730197
0,5,0,4.631331370608401,2,0.00581829,0.3052642072209383
0,5,1,4.631331370608401,2,0.00525607,0.2757665983730197
0,6,0,4.732983458445383,2,0.00581829,0.3052642072209383
0,6,1,4.732983458445384,2,0.00525607,0.2757665983730197
0,7,0,4.793974711147572,2,0.00581829,0.3052642072209383
0,7,1,4.793974711147572,2,0.00525607,0.2757665983730197
0,8,0,4.830569462768886,2,0.00581829,0.3052642072209383
0,8,1,4.830569462768886,2,0.00525607,0.2757665983730197
0,9,0,4.852526313741674,2,0.00581829,0.3052642072209383
0,9,1,4.852526313741674,2,0.00525607,0.2757665983730197
1,0,0,4.865700424325346,2,0.00581829,0.3052642072209383
1,0,1,4.865700424325347,2,0.00525607,0.2757665983730197
1,1,0,4.8736048906755505,2,0.00581829,0.3052642072209383
1,1,1,4.8736048906755505,2,0.00525607,0.2757665983730197
1,2,0,4.878347570485673,2,0.00581829,0.3052642072209383
1,2,1,4.878347570485673,2,0.00525607,0.2757665983730197
1,3,0,4.8811931783717455,2,0.00581829,0.3052642072209383
1,3,1,4.8811931783717455,2,0.00525607,0.2757665983730197
1,4,0,4.88290054310339,2,0.00581829,0.3052642072209383
1,4,1,4.882900543103389,2,0.00525607,0.2757665983730197
1,5,0,4.883924961942376,2,0.00581829,0.3052642072209383
1,5,1,4.883924961942376,2,0.00525607,0.2757665983730197
1,6,0,4.884539613245768,2,0.00581829,0.3052642072209383
1,6,1,4.884539613245768,2,0.00525607,0.2757665983730197
1,7,0,4.8849084040278035,2,0.00581829,0.3052642072209383
1,7,1,4.8849084040278035,2,0.00525607,0.2757665983730197
1,8,0,4.885129678497024,2,0.00581829,0.3052642072209383
1,8,1,4.885129678497025,2,0.00525607,0.2757665983730197
1,9,0,4.885262443178557,2,0.00581829,0.3052642072209383
1,9,1,4.885262443178557,2,0.00525607,0.2757665983730197
2,0,0,4.885342101987477,2,0.00581829,0.3052642072209383
2,0,1,4.885342101987477,2,0.00525607,0.2757665983730197
2,1,0,4.885389897272828,2,0.00581829,0.3052642072209383
2,1,1,4.8853898972728285,2,0.00525607,0.2757665983730197
2,2,0,4.8854185744440395,2,0.00581829,0.3052642072209383
2,2,1,4.885418574444039,2,0.00525607,0.2757665983730197
2,3,0,4.885435780746765,2,0.00581829,0.3052642072209383
2,3,1,4.885435780746766,2,0.00525607,0.2757665983730197
2,4,0,4.885446104528403,2,0.00581829,0.3052642072209383
2,4,1,4.885446104528402,2,0.00525607,0.2757665983730197
2,5,0,4.885452298797383,2,0.00581829,0.3052642072209383
2,5,1,4.885452298797383,2,0.00525607,0.2757665983730197
2,6,0,4.8854560153587725,2,0.00581829,0.3052642072209383
2,6,1,4.8854560153587725,2,0.00525607,0.2757665983730197
2,7,0,4.885458245295605,2,0.00581829,0.3052642072209383
2,7,1,4.885458245295605,2,0.00525607,0.2757665983730197
2,8,0,4.885459583257705,2,0.00581829,0.3052642072209383
2,8,1,4.885459583257705,2,0.00525607,0.2757665983730197
2,9,0,4.885460386034966,2,0.00581829,0.3052642072209383
2,9,1,4.885460386034966,2,0.00525607,0.2757665983730197
3,0,0,4.885460867701322,2,0.00581829,0.3052642072209383
3,0,1,4.8854608677013225,2,0.00525607,0.2757665983730197
3,1,0,4.885461156701136,2,0.00581829,0.3052642072209383
3,1,1,4.885461156701136,2,0.00525607,0.2757665983730197
3,2,0,4.885461330101023,2,0.00581829,0.3052642072209383
3,2,1,4.885461330101023,2,0.00525607,0.2757665983730197
3,3,0,4.885461434140956,2,0.00581829,0.3052642072209383
