"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;1;2;0;1
1;2;0;0;0
1;3;4;2;44
1;4;0;1;1
1;5;0;1;1
1;6;0;2;0
1;7;1;0;0
1;8;0;0;2
1;9;0;0;0
1;10;4;12;8
1;11;1;1;12
1;12;0;0;0
1;13;0;1;1
1;14;6;16;14
1;15;0;2;4
1;16;2;9;4
1;17;2;0;0
1;18;0;1;1
1;19;0;0;19
1;20;1;0;0
1;21;0;0;0
1;22;5;4;3
1;23;0;17;0
1;24;0;2;0
1;25;0;3;0
1;26;0;1;1
1;27;8;6;16
1;28;0;11;1
1;29;0;1;1
1;30;1;0;1
1;31;1;0;0
1;32;1;0;0
1;33;2;3;0
1;34;0;1;1
1;35;2;0;0
1;36;0;0;0
1;37;0;1;5
1;38;1;0;5
1;39;0;4;7
1;40;1;1;3
1;41;0;6;0
1;42;2;14;1
1;43;0;0;2
1;44;0;8;3
1;45;0;20;1
1;46;0;3;1
1;47;0;5;1
1;48;0;1;4
1;49;3;12;3
1;50;1;7;5
2;1;1;0;0
2;2;0;1;1
2;3;0;2;0
2;4;2;0;5
2;5;0;1;0
2;6;0;0;0
2;7;2;10;1
2;8;0;0;0
2;9;0;4;5
2;10;0;1;1
2;11;2;0;0
2;12;0;5;0
2;13;2;17;3
2;14;3;0;19
2;15;0;1;1
2;16;0;0;0
2;17;2;5;32
2;18;0;0;4
2;19;0;1;1
2;20;0;0;1
2;21;0;0;0
2;22;2;0;0
2;23;2;0;1
2;24;2;6;53
2;25;4;11;5
2;26;2;3;19
2;27;2;4;3
2;28;0;1;0
2;29;0;0;1
2;30;0;1;8
2;31;2;0;0
2;32;0;2;2
2;33;1;2;0
2;34;1;1;0
2;35;0;0;1
2;36;0;0;0
2;37;0;21;1
2;38;2;0;0
2;39;0;0;0
2;40;0;4;16
2;41;0;0;3
2;42;0;3;0
2;43;0;5;0
2;44;4;7;6
2;45;2;0;0
2;46;0;1;2
2;47;0;0;23
2;48;0;6;3
2;49;0;3;2
2;50;2;4;4
3;1;0;45;0
3;2;0;1;2
3;3;0;1;1
3;4;7;36;21
3;5;2;0;0
3;6;2;0;0
3;7;0;1;2
3;8;2;0;0
3;9;1;4;22
3;10;0;1;1
3;11;0;0;0
3;12;1;3;7
3;13;2;1;0
3;14;2;0;0
3;15;0;5;0
3;16;2;0;2
3;17;0;1;41
3;18;0;8;0
3;19;0;0;2
3;20;0;6;0
