"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
3,1,1,0.00123961,0.01995658,0.021,0.297410994802955
3,1,2,0.02413049,0.00272344,0.027,0.382385564746657
3,1,3,0.00499911,0.01181362,0.017,0.240761281507154
3,1,4,0.00751717,0.0301074,0.038,0.53817227631011
3,1,5,0.00606263,0.01867811,0.025,0.354060708098756
3,1,6,0.0234764,0.00332882,0.027,0.382385564746657
3,1,7,0.00278166,0.03673927,0.04,0.56649713295801
3,1,8,0.01226011,0.00480498,0.017,0.240761281507154
3,1,9,0.03984944,0.00337485,0.043,0.608984417929861
3,1,10,0.00862586,0.00848338,0.017,0.240761281507154
3,1,11,0.00611021,0.01485307,0.021,0.297410994802955
3,1,12,0.00266929,0.04266854,0.045,0.637309274577761
3,1,13,0.01129319,0.0103185,0.022,0.311573423126906
3,1,14,0.02566616,0.002795,0.028,0.396547993070607
3,1,15,0.01356682,0.04042015,0.054,0.764771129493314
3,1,16,0.00579178,0.00052972,0.006,0.0849745699437015
3,1,17,0.00820418,0.00281975,0.011,0.155786711563453
3,1,18,0.00281166,0.03776455,0.041,0.58065956128196
3,1,19,0.02025404,0.00248431,0.023,0.325735851450856
3,1,20,0.01169586,0.01765255,0.029,0.410710421394557
3,1,21,0.0097861,0.01099443,0.021,0.297410994802955
3,1,22,0.01851588,0.00410773,0.023,0.325735851450856
3,1,23,0.00495316,0.00494092,0.01,0.141624283239503
3,1,24,0.02232835,0.00898193,0.031,0.439035278042458
3,1,25,0.00217578,0.00276821,0.005,0.0708121416197513
3,1,26,0.01454063,0.00278777,0.017,0.240761281507154
3,1,27,0.00279607,0.01958003,0.022,0.311573423126906
3,1,28,0.01349418,0.03467356,0.048,0.679796559549612
3,1,29,0.0250054,0.00280596,0.028,0.396547993070607
3,1,30,0.01839617,0.00278574,0.021,0.297410994802955
3,1,31,0.01726551,0.00125921,0.019,0.269086138155055
3,1,32,0.02323794,0.00279422,0.026,0.368223136422707
3,1,33,0.04150566,0.00279382,0.044,0.623146846253811
3,1,34,0.00388469,0.0081013,0.012,0.169949139887403
3,1,35,0.00499894,0.00868348,0.014,0.198273996535304
3,1,36,0.02472112,0.00278108,0.028,0.396547993070607
3,1,37,0.00278797,0.0245862,0.027,0.382385564746657
3,1,38,0.0026955,0.00895417,0.012,0.169949139887403
3,1,39,0.03679541,0.00124145,0.038,0.53817227631011
3,1,40,0.017298,0.00280826,0.02,0.283248566479005
3,1,41,0.00124309,0.01496332,0.016,0.226598853183204
3,1,42,0.01486358,0.00282785,0.018,0.254923709831105
3,1,43,0.00281675,0.02573835,0.029,0.410710421394557
3,1,44,0.02581281,0.0012395,0.027,0.382385564746657
3,1,45,0.00281116,0.0181841,0.021,0.297410994802955
3,1,46,0.00281437,0.03685327,0.04,0.56649713295801
3,1,47,0.0011786,0.00880892,0.01,0.141624283239503
3,1,48,0.00501973,0.01696152,0.022,0.311573423126906
3,1,49,0.01708004,0.0082076,0.025,0.354060708098756
3,1,50,0.03418496,0.00723145,0.041,0.58065956128196
3,2,1,0.01402197,0.02779383,0.042,0.594821989605911
3,2,2,0.00410049,0.03583832,0.04,0.56649713295801
3,2,3,0.00815366,0.00273876,0.011,0.155786711563453
3,2,4,0.01197031,0.02822077,0.04,0.56649713295801
3,2,5,0.00089947,0.02618162,0.027,0.382385564746657
3,2,6,0.014596,0.00497551,0.02,0.283248566479005
3,2,7,0.00689392,0.03714456,0.044,0.623146846253811
3,2,8,0.00493962,0.00485661,0.01,0.141624283239503
3,2,9,0.02934457,0.00281831,0.032,0.453197706366408
3,2,10,0.0206524,0.02964464,0.05,0.708121416197513
3,2,11,0.03197904,0.00282546,0.035,0.495684991338259
3,2,12,0.03392388,0.00270401,0.037,0.524009847986159
3,2,13,0.00499533,0.00476342,0.01,0.141624283239503
3,2,14,0.00655663,0.00497311,0.012,0.169949139887403
3,2,15,0.0048945,0.03229612,0.037,0.524009847986159
3,2,16,0.01153186,0.00124135,0.013,0.184111568211353
3,2,17,0.02739366,0.01443719,0.042,0.594821989605911
3,2,18,0.00498015,0.00478288,0.01,0.141624283239503
3,2,19,0.00821134,0.03640036,0.045,0.637309274577761
3,2,20,0.03799717,0.00278587,0.041,0.58065956128196
3,2,21,0.01014712,0.0142395,0.024,0.339898279774806
3,2,22,0.01666891,0.00281561,0.019,0.269086138155055
3,2,23,0.03232646,0.00297576,0.035,0.495684991338259
3,2,24,0.01846423,0.0027918,0.021,0.297410994802955
3,2,25,0.00188398,0.01796323,0.02,0.283248566479005
3,2,26,0.00492495,0.01300527,0.018,0.254923709831105
3,2,27,0.00416454,0.02193751,0.026,0.368223136422707
3,2,28,0.00282513,0.02935796,0.032,0.453197706366408
3,2,29,0.00278948,0.02562497,0.028,0.396547993070607
3,2,30,0.03601217,0.00280192,0.039,0.55233470463406
3,2,31,0.04704157,0.00315337,0.05,0.708121416197513
3,2,32,0.02971666,0.00273666,0.032,0.453197706366408
3,2,33,0.05104272,0.00278173,0.054,0.764771129493314
3,2,34,0.00276446,0.00124259,0.004,0.056649713295801
3,2,35,0.00407902,0.00280134,0.007,0.0991369982676518
3,2,36,0.00280886,0.00468445,0.007,0.0991369982676518
3,2,37,0.00124611,0.00276247,0.004,0.056649713295801
3,2,38,0.00279129,0.01473918,0.018,0.254923709831105
3,2,39,0.00125239,0.0053571,0.007,0.0991369982676518
3,2,40,0.024473,0.00282119,0.027,0.382385564746657
3,2,41,0.00267606,0.00278706,0.005,0.0708121416197513
3,2,42,0.00124502,0.00280375,0.004,0.056649713295801
3,2,43,0.00281838,0.00124123,0.004,0.056649713295801
3,2,44,0.01776534,0.00279065,0.021,0.297410994802955
