simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,relative_quality,absolute_quality
0,0,0,2.432421052272124,2,0.01230511,0.44267348652349187
0,0,1,2.432421052272124,5,0.01307679,0.47043449606184207
0,1,0,3.5295987731810934,2,0.00965679,0.34740078698404087
0,1,1,3.5295987731810934,3,0.00673786,0.242392955276887
0,2,0,4.349818570607323,3,0.02172778,0.7816518606510138
0,2,1,4.451814518406677,2,0.00315322,0.11343636027435797
0,3,0,5.200447486651774,4,0.02052918,0.7385325028438054
0,3,1,6.145515170940071,3,0.00311848,0.11218659680846241
0,4,0,6.023591629729905,3,0.0061149,0.21998211334498438
0,4,1,5.893949840164314,3,0.00258234,0.09289908429823658
0,5,0,6.332799567828804,4,0.01087092,0.39107883294972234
0,5,1,6.332799567828803,3,0.00572682,0.20602102509384015
0,6,0,6.717411154318066,3,0.01154766,0.4154243979442578
0,6,1,6.70419247948327,4,0.01018102,0.3662598399986186
0,7,0,7.020484040486872,3,0.01154766,0.4154243979442578
0,7,1,7.427168638770489,4,0.00475385,0.17101865435658045
0,8,0,8.14821026365477,3,0.00774684,0.27869077743633724
0,8,1,7.579664396284618,4,0.00474217,0.17059846905774168
0,9,0,8.104111663326856,3,0.00774684,0.27869077743633724
0,9,1,7.661112830200884,4,0.00499185,0.17958064931579587
1,0,0,8.35342333481086,3,0.00264978,0.09532522270180586
1,0,1,8.087624034935274,4,0.01018102,0.3662598399986186
1,1,0,8.572316441790791,3,0.00429464,0.15449868080523044
1,1,1,8.28127736374249,4,0.01018102,0.3662598399986186
1,2,0,8.530509145402078,3,0.00649677,0.23371979828227674
1,2,1,8.434821397446871,4,0.01018102,0.3662598399986186
1,3,0,8.837917086469934,3,0.0128542,0.4624268722888515
1,3,1,8.837917086469934,4,0.00956187,0.34398606193560083
1,4,0,8.910416733235449,3,0.0128542,0.4624268722888515
1,4,1,8.91041673323545,4,0.01018102,0.3662598399986186
1,5,0,9.394311303164868,3,0.0087897,0.3162074247605699
1,5,1,8.598756341993603,4,0.00583947,0.21007358279197302
