"arrayNumber","simulation","bout","bee","similarityIndex"
1,1,1,1,0.35
1,1,1,2,0.833333333333333
1,1,2,1,0
1,1,2,2,0
1,1,3,1,0
1,1,3,2,0
1,1,4,1,0
1,1,4,2,0.428571428571429
1,1,5,1,0.347222222222222
1,1,5,2,0.528571428571429
1,1,6,1,0.805555555555556
1,1,6,2,0.519230769230769
1,1,7,1,0.648148148148148
1,1,7,2,0.346153846153846
1,1,8,1,0.571428571428571
1,1,8,2,0.345238095238095
1,1,9,1,0.285714285714286
1,1,9,2,0
1,1,10,1,0.423076923076923
1,1,10,2,0
1,1,11,1,0.346153846153846
1,1,11,2,0.54
1,1,12,1,0
1,1,12,2,0.54
1,1,13,1,0.314285714285714
1,1,13,2,0.454545454545455
1,1,14,1,0.557142857142857
1,1,14,2,0.818181818181818
1,1,15,1,0.636363636363636
1,1,15,2,0.5
1,1,16,1,0.590909090909091
1,1,16,2,0
1,1,17,1,0.603448275862069
1,1,17,2,0
1,1,18,1,0.772727272727273
1,1,18,2,0.75
1,1,19,1,0.666666666666667
1,1,19,2,0.423076923076923
1,1,20,1,0.823529411764706
1,1,20,2,0.653846153846154
1,1,21,1,0.583333333333333
1,1,21,2,0.583333333333333
1,1,22,1,0.602564102564103
1,1,22,2,0.894736842105263
1,1,23,1,0.620253164556962
1,1,23,2,0.368421052631579
1,1,24,1,0.518987341772152
1,1,24,2,0
1,1,25,1,0.409090909090909
1,1,25,2,0
1,1,26,1,0.547169811320755
1,1,26,2,0.30952380952381
1,1,27,1,0.83125
1,1,27,2,0.380952380952381
1,1,28,1,0.69375
1,1,28,2,0.464285714285714
1,1,29,1,0.828125
1,1,29,2,0.903225806451613
1,1,30,1,0.840909090909091
1,1,30,2,0.741071428571429
1,1,31,1,0.8
1,1,31,2,0.696428571428571
1,1,32,1,0.625
1,1,32,2,0.583333333333333
1,1,33,1,0.583333333333333
1,1,33,2,0.333333333333333
1,1,34,1,0.783333333333333
1,1,34,2,0.545454545454545
1,1,35,1,0.935483870967742
1,1,35,2,0.590909090909091
1,1,36,1,0.868421052631579
1,1,36,2,0.666666666666667
1,1,37,1,0.789473684210526
1,1,37,2,0.476190476190476
1,1,38,1,0.639240506329114
1,1,38,2,0.523809523809524
1,1,39,1,0.563291139240506
1,1,39,2,0.865079365079365
1,1,40,1,0.588235294117647
1,1,40,2,0.5
1,1,41,1,0.944444444444444
1,1,41,2,0.438775510204082
1,1,42,1,0.945945945945946
1,1,42,2,0.602040816326531
1,1,43,1,0.877551020408163
1,1,43,2,0.970588235294118
1,1,44,1,0.673469387755102
1,1,44,2,0.90625
1,1,45,1,0.833333333333333
1,1,45,2,0.964285714285714
1,1,46,1,0.819444444444444
1,1,46,2,0.714285714285714
1,1,47,1,0.583333333333333
1,1,47,2,0.785714285714286
1,1,48,1,0.571428571428571
1,1,48,2,0.588235294117647
1,1,49,1,0.714285714285714
1,1,49,2,0.722222222222222
1,2,1,1,0
1,2,1,2,0
1,2,2,1,0
1,2,2,2,0.333333333333333
1,2,3,1,0
1,2,3,2,0
1,2,4,1,0.42
1,2,4,2,0.4
1,2,5,1,0.230769230769231
1,2,5,2,0
1,2,6,1,0.6
1,2,6,2,0.565217391304348
1,2,7,1,0.642857142857143
1,2,7,2,0.5
1,2,8,1,0
1,2,8,2,0.409090909090909
1,2,9,1,0
1,2,9,2,0
1,2,10,1,0
1,2,10,2,0
1,2,11,1,0.535714285714286
1,2,11,2,0.75
1,2,12,1,0.428571428571429
1,2,12,2,0.486666666666667
1,2,13,1,0.493333333333333
1,2,13,2,0.546666666666667
1,2,14,1,0.64
1,2,14,2,0.666666666666667
1,2,15,1,0.56
1,2,15,2,0.416666666666667
1,2,16,1,0.541666666666667
1,2,16,2,0.614285714285714
1,2,17,1,0.729166666666667
1,2,17,2,0.628571428571429
1,2,18,1,0.681818181818182
1,2,18,2,0.59375
1,2,19,1,0.627118644067797
1,2,19,2,0.84375
1,2,20,1,0.694915254237288
