ID,initialize_Q_table,starting_bout_for_naive,different_experience_simulation,route_compare,max_distance_travelled,max_crop,dynamic_beta,beta_QL_vector,leave_after_max_fail,max_fails,forbid_reverse_vector,allow_nest_return,beta_QL,alpha_pos,alpha_neg,gamma_QL,use_Q_learning,online_reinforcement,cost_of_flying,learning_factor,abandon_factor
0,distance,,False,False,3000,5,False,,False,2,True,True,15,0.4,0.4,0,False,True,False,1.0,0.75
1,distance,,False,False,3000,5,False,,False,2,True,True,15,0.4,0.4,0,False,True,False,1.0,0.75
