"arrayNumber";"simulation";"bout";"H2";"Q";"Qnorm"
1;1;1;0,0996311955960734;0,166666666666667;0,375
1;1;2;0,703918089034134;0,333333333333333;0,888888888888889
1;1;3;0;0,2;0,416666666666667
1;1;4;0,592163821931731;0,296296296296296;0,666666666666667
1;1;5;0,653857292079588;0,27810650887574;0,783333333333333
1;1;6;0;0,21301775147929;0,6
1;1;7;0;0,25;0,666666666666667
1;1;8;0;0,208333333333333;0,555555555555556
1;1;9;0,333333333333333;0,333333333333333;0,666666666666667
1;1;10;0;0,198347107438017;0,428571428571429
1;1;11;0;0,296296296296296;0,6
1;1;12;0;0,32;0,666666666666667
1;1;13;0,5;0,296296296296296;0,857142857142857
1;1;14;0,594360937770434;0,378698224852071;0,8
1;1;15;0,160921820349582;0,165289256198347;0,416666666666667
1;1;16;0,0768757320248122;0,10969387755102;0,244318181818182
1;1;17;0;0,333333333333333;0,666666666666667
1;1;18;0;0,244897959183673;0,5
1;1;19;1,946;0,408163265306122;1
1;1;20;0;0,177514792899408;0,5
1;1;21;0,0579810747423457;0,175;0,466666666666667
1;1;22;0,499999999999999;0,28;0,875
1;1;23;0,203918089034135;0,15916955017301;0,383333333333333
1;1;24;0,5;0,395061728395062;0,8
1;1;25;0,172270623229357;0,234567901234568;0,493506493506494
1;1;26;1,609;0,48;1
1;1;27;1,946;0,408163265306122;1
1;1;28;0,140380362325801;0,179930795847751;0,433333333333333
1;1;29;0,160125217975884;0,18140589569161;0,5
1;1;30;0;0,246913580246914;0,714285714285714
1;2;1;0,552096327171516;0,25;0,75
1;2;2;0,18596196376742;0,234375;0,545454545454545
1;2;3;0;0,144628099173554;0,411764705882353
1;2;4;0;0,36734693877551;0,75
1;2;5;0,420619835714304;0,24;0,75
1;2;6;0,420619835714305;0,246913580246914;0,714285714285714
1;2;7;1,946;0,408163265306122;1
1;2;8;0,156802637393764;0,203125;0,412698412698413
1;2;9;0,5;0,32;0,666666666666667
1;2;10;0,18596196376742;0,214285714285714;0,466666666666667
1;2;11;0,234528200341381;0,15625;0,333333333333333
1;2;12;0,456887652641057;0,346938775510204;0,708333333333333
1;2;13;1;0,375;1
1;2;14;0,0518765302320162;0,121107266435986;0,277777777777778
1;2;15;0;0,2;0,625
1;2;16;0,313605274787529;0,248888888888889;0,5
1;2;17;0,480912541715775;0,305785123966942;0,660714285714286
1;2;18;0,207992759790712;0,221453287197232;0,484848484848485
1;2;19;0;0,197530864197531;0,4
1;2;20;0,156802637393765;0,186666666666667;0,375
1;2;21;0,666666666666667;0,347107438016529;0,875
1;2;22;0;0,148760330578512;0,321428571428571
1;2;23;0;0,189349112426035;0,457142857142857
1;2;24;0;0,12396694214876;0,375
1;2;25;0;0,395061728395062;0,8
1;2;26;0,219002130402278;0,2;0,4
1;2;27;0,351959044517067;0,247933884297521;0,705882352941177
1;2;28;0,364036340179347;0,227810650887574;0,578947368421053
1;2;29;0,2;0,186666666666667;0,477272727272727
1;2;30;0,296081910965865;0,247933884297521;0,625
1;3;1;0;0,32;0,666666666666667
1;3;2;0;0,326530612244898;0,8
1;3;3;0,0447878116876162;0,158730158730159;0,364583333333333
1;3;4;0,339634821583105;0,18595041322314;0,529411764705882
1;3;5;0,441162658655672;0,2784;0,690476190476191
1;3;6;0;0,333333333333333;0,75
1;3;7;0,25;0,277777777777778;0,625
1;3;8;0,124224640492375;0,166204986149584;0,357142857142857
1;3;9;0,333333333333334;0,244897959183673;0,5
1;3;10;0;0,246913580246914;0,714285714285714
1;3;11;0;0;0
1;3;12;1,609;0,48;1
1;3;13;0;0,333333333333333;0,75
1;3;14;0,142857142857143;0,185185185185185;0,416666666666667
1;3;15;0,0945123329686735;0,1568;0,340277777777778
1;3;16;0,188507801448961;0,159122085048011;0,414285714285714
1;3;17;0,0666311024689678;0,09375;0,194331983805668
1;3;18;0;0,16;0,333333333333333
1;3;19;0,228443826320529;0,285714285714286;0,583333333333333
1;3;20;0,148040955482933;0,199445983379501;0,461538461538462
1;3;21;0,223784950063127;0,169421487603306;0,39047619047619
1;3;22;0,285714285714286;0,259259259259259;0,545454545454545
1;3;23;0,380598062123421;0,264462809917355;0,547008547008547
1;3;24;0,420619835714304;0,3;0,714285714285714
1;3;25;0;0,214285714285714;0,636363636363636
1;3;26;0,339634821583104;0,260387811634349;0,602564102564102
1;3;27;0,228000183386739;0,200378071833648;0,401515151515152
1;3;28;0,6;0,357142857142857;0,714285714285714
1;3;29;0,529592087818706;0,32;0,666666666666667
1;3;30;0,333333333333333;0,333333333333333;0,75
1;4;1;0,0722008915855282;0,15;0,32967032967033
1;4;2;0;0,413223140495868;0,833333333333333
1;4;3;0,156802637393765;0,221453287197232;0,457142857142857
1;4;4;0;0,222222222222222;0,5
1;4;5;1,946;0,408163265306122;1
1;4;6;0,228443826320529;0,214876033057851;0,464285714285714
1;4;7;0;0,246913580246914;0,714285714285714
1;4;8;0;0,231111111111111;0,464285714285714
1;4;9;0;0,13840830449827;0,384615384615385
1;4;10;0,202421769137695;0,177685950413223;0,505882352941176
1;4;11;0;0,326530612244898;0,8
1;4;12;0,6;0,355555555555556;0,8
1;4;13;0,160290970155903;0,142857142857143;0,291666666666667
1;4;14;0;0,3125;0,833333333333333
1;4;15;0;0,24;0,75
1;4;16;0;0,277777777777778;0,571428571428571
1;4;17;0,18596196376742;0,24;0,482142857142857
1;4;18;0,5;0,296296296296296;0,857142857142857
1;4;19;0;0,296296296296296;0,666666666666667
1;4;20;0;0,296296296296296;0,666666666666667
1;4;21;0;0,222222222222222;0,5
1;4;22;0;0,25;0,5
1;4;23;0;0,29585798816568;0,625
1;4;24;0;0,227146814404432;0,455555555555555
1;4;25;0,280413223809537;0,262975778546713;0,527777777777778
1;4;26;0;0,244897959183673;0,5
1;4;27;0,499999999999999;0,416666666666667;0,833333333333333
1;4;28;0;0,165289256198347;0,333333333333333
1;4;29;0,0755732416096101;0,14268727705113;0,303030303030303
1;4;30;0,37192392753484;0,266666666666667;0,6
1;5;1;0,108905603375614;0,17687074829932;0,354545454545455
1;5;2;0;0,177514792899408;0,357142857142857
1;5;3;0;0,264462809917355;0,571428571428571
1;5;4;2,197;0,493827160493827;1
1;5;5;0,0647845515734292;0,15625;0,333333333333333
1;5;6;2,079;0,46875;1
1;5;7;1,946;0,408163265306122;1
1;5;8;0,0373711662000608;0,1184;0,2890625
1;5;9;0,0299023227655717;0,111111111111111;0,25
1;5;10;0,710309917857153;0,426666666666667;0,888888888888889
1;5;11;0,0493714511670939;0,16884661117717;0,348039215686274
1;5;12;0;0,3125;0,833333333333333
