"simulation";"bout";"interference";"exploitation1";"exploitation2"
7;18;1;0;41
7;19;0;7;1
7;20;4;27;5
7;21;2;18;52
7;22;0;9;2
7;23;0;4;2
7;24;9;55;57
7;25;1;0;4
7;26;0;3;0
7;27;0;2;0
7;28;0;5;1
7;29;3;0;1
7;30;1;4;27
7;31;0;11;0
7;32;2;2;2
7;33;1;3;18
7;34;0;0;3
7;35;0;0;18
7;36;4;2;3
7;37;2;0;2
7;38;3;0;0
7;39;1;0;1
7;40;0;0;2
7;41;1;0;0
7;42;0;4;0
7;43;0;2;8
7;44;0;0;1
7;45;0;1;0
7;46;3;1;8
7;47;3;0;0
7;48;4;14;37
7;49;1;1;2
7;50;0;1;0
8;1;0;0;9
8;2;1;36;1
8;3;0;0;1
8;4;1;0;8
8;5;7;8;22
8;6;0;0;3
8;7;0;1;16
8;8;7;18;29
8;9;0;6;1
8;10;3;7;6
8;11;0;0;14
8;12;3;13;0
8;13;0;1;6
8;14;1;3;1
8;15;0;5;0
8;16;0;0;1
8;17;3;0;0
8;18;0;1;59
8;19;2;0;3
8;20;0;7;1
8;21;1;56;6
8;22;0;7;3
8;23;1;5;1
8;24;1;1;2
8;25;1;1;9
8;26;1;0;1
8;27;1;1;3
8;28;0;4;4
8;29;0;9;3
8;30;5;10;47
8;31;2;0;0
8;32;0;0;1
8;33;1;2;1
8;34;0;1;0
8;35;0;0;3
8;36;1;1;2
8;37;0;2;0
8;38;3;21;13
8;39;0;0;3
8;40;0;1;1
8;41;1;1;0
8;42;2;0;0
8;43;0;12;2
8;44;1;0;1
8;45;0;0;0
8;46;0;2;56
8;47;0;0;1
8;48;2;0;0
8;49;0;1;0
8;50;0;1;0
9;1;0;5;60
9;2;0;20;7
9;3;7;0;5
9;4;0;1;4
9;5;0;16;0
9;6;0;3;0
9;7;0;2;3
9;8;0;6;0
9;9;0;6;0
9;10;13;41;50
9;11;1;3;0
9;12;2;2;7
9;13;0;7;0
9;14;0;9;3
9;15;2;11;5
9;16;2;4;5
9;17;1;0;2
9;18;0;0;5
9;19;1;4;62
9;20;0;1;2
9;21;0;3;4
9;22;0;0;0
9;23;0;1;1
9;24;0;2;5
9;25;0;21;3
9;26;0;5;3
9;27;0;1;14
9;28;0;2;0
9;29;1;1;3
9;30;0;0;4
9;31;0;0;4
9;32;1;8;2
9;33;3;1;5
9;34;3;0;0
9;35;0;0;5
9;36;1;0;4
9;37;0;1;3
9;38;0;0;1
9;39;0;0;5
9;40;0;0;2
9;41;2;0;0
9;42;0;0;3
9;43;4;19;27
9;44;1;2;1
9;45;1;0;2
9;46;0;1;1
9;47;0;2;1
9;48;0;3;1
9;49;0;0;0
9;50;2;0;0
10;1;0;1;2
10;2;1;4;11
10;3;5;8;22
10;4;0;0;7
10;5;0;5;10
10;6;0;0;14
10;7;0;0;3
10;8;0;4;14
10;9;2;2;4
10;10;2;6;0
10;11;0;20;0
10;12;2;4;2
10;13;0;3;2
10;14;0;2;3
10;15;0;6;0
10;16;1;0;0
10;17;0;1;1
10;18;0;2;0
10;19;0;1;0
10;20;0;1;3
10;21;0;1;1
10;22;0;3;0
10;23;1;5;0
10;24;0;19;3
10;25;0;3;2
10;26;5;0;0
10;27;1;2;2
10;28;0;0;1
10;29;5;4;0
10;30;2;3;0
10;31;1;37;2
10;32;1;2;0
10;33;0;0;5
10;34;0;12;0
10;35;0;1;6
10;36;0;0;0
10;37;0;4;55
10;38;1;1;1
10;39;3;0;0
10;40;0;2;0
10;41;0;0;2
10;42;0;2;2
10;43;2;0;19
10;44;0;2;1
10;45;0;1;0
10;46;1;1;0
10;47;2;0;0
10;48;1;2;16
10;49;1;0;0
10;50;1;3;1
11;1;1;2;5
11;2;0;35;1
11;3;0;7;1
11;4;0;0;2
11;5;0;0;2
11;6;0;3;2
11;7;0;0;6
11;8;0;2;13
11;9;1;1;3
11;10;4;7;13
11;11;0;6;14
11;12;0;5;0
11;13;1;3;1
11;14;1;9;7
11;15;0;0;11
11;16;2;11;7
11;17;0;4;6
11;18;0;7;0
11;19;0;3;2
11;20;0;0;2
11;21;1;1;3
11;22;0;3;3
11;23;1;3;5
11;24;0;0;3
11;25;1;1;0
11;26;0;0;2
11;27;2;11;0
11;28;0;0;2
11;29;0;1;2
11;30;1;2;9
11;31;0;2;2
11;32;1;0;5
11;33;0;2;0
11;34;2;1;0
11;35;0;0;2
11;36;2;0;0
11;37;0;0;3
11;38;3;0;1
11;39;0;18;1
11;40;0;0;0
11;41;1;2;1
11;42;1;0;2
11;43;0;6;0
11;44;0;4;0
11;45;0;1;0
11;46;0;0;3
11;47;1;0;0
11;48;1;0;9
11;49;0;1;3
11;50;0;0;0
12;1;1;24;1
12;2;0;3;7
12;3;2;8;3
12;4;3;7;4
12;5;0;0;6
12;6;3;9;23
12;7;16;46;56
12;8;0;54;2
12;9;11;7;7
12;10;2;11;24
12;11;1;9;8
12;12;0;3;6
12;13;1;33;3
12;14;0;8;1
12;15;0;0;1
12;16;1;1;13
12;17;0;0;1
12;18;1;0;1
12;19;0;1;1
12;20;0;1;0
12;21;0;1;0
12;22;2;6;2
12;23;1;11;2
12;24;1;5;61
12;25;1;6;2
12;26;2;12;0
12;27;1;4;1
12;28;0;10;0
12;29;3;0;0
12;30;0;0;1
12;31;0;14;21
12;32;0;4;0
12;33;1;1;4
12;34;0;0;10
12;35;0;6;0
12;36;3;0;0
12;37;0;1;2
12;38;1;1;0
12;39;2;2;2
12;40;0;2;0
12;41;1;8;6
12;42;0;1;1
12;43;0;0;0
12;44;0;1;1
12;45;0;0;0
12;46;2;23;10
12;47;2;6;1
12;48;0;1;0
12;49;1;1;0
12;50;3;0;27
13;1;3;7;14
13;2;5;10;25
13;3;1;39;1
13;4;0;2;5
13;5;0;5;7
13;6;0;7;1
13;7;0;3;9
13;8;0;1;6
13;9;1;8;17
13;10;1;2;4
13;11;1;11;2
13;12;0;1;1
13;13;0;3;3
13;14;0;0;1
13;15;3;7;19
13;16;0;1;1
13;17;0;5;3
13;18;0;2;1
13;19;0;1;0
13;20;1;3;1
13;21;1;0;1
13;22;0;0;6
13;23;1;1;2
13;24;2;1;5
13;25;1;9;4
13;26;0;0;0
13;27;5;61;26
13;28;1;2;3
13;29;0;3;0
13;30;1;1;5
13;31;0;0;2
13;32;0;2;0
13;33;0;1;3
13;34;2;5;3
13;35;0;8;0
13;36;0;2;1
