simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,absolute_quality,relative_quality
0,0,0,1.1910481550758232,4.0,0.01289541,0.27693448533271026
0,0,1,1.1910481550758232,5.0,0.0166473,0.3575079394667736
0,1,0,1.7699113475558477,3.0,0.00919373,0.19743931258004968
0,1,1,1.329053227758908,4.0,0.01167359,0.2506953744499068
0,2,0,1.9425217243631228,2.0,0.01004721,0.21576816327512346
0,2,1,2.133999517475102,5.0,0.01300707,0.2793324319379171
0,3,0,2.2511342731481383,2.0,0.00695933,0.14945460995893037
0,3,1,2.140066536957068,2.0,0.00446921,0.0959782101688742
0,4,0,3.0604037002858466,5.0,0.01587595,0.3409428659048329
0,4,1,3.0489630677332578,5.0,0.00905379,0.1944340407912923
0,5,0,2.816445352972523,3.0,0.01476066,0.3169915326671368
0,5,1,2.604567026578715,1.0,0.00144104,0.03094695482686078
0,6,0,3.554272037826988,2.0,0.00297835,0.06396134937862988
0,6,1,3.3242950363070958,5.0,0.01150032,0.24697432655196494
0,7,0,3.4195656541245114,2.0,0.00593604,0.12747901635654713
0,7,1,3.739332141697145,2.0,0.01004721,0.21576816327512346
0,8,0,3.80347432988247,3.0,0.01020703,0.21920036662855494
0,8,1,3.977546146117596,2.0,0.00400394,0.08598633647189596
0,9,0,4.174937212848994,5.0,0.02428342,0.5214969062494362
0,9,1,4.250024562042463,3.0,0.00777254,0.16691864505493842
0,10,0,4.75022056755672,4.0,0.01321341,0.2837636723330307
0,10,1,4.565519098544802,4.0,0.00565863,0.12152151709315441
0,11,0,4.859621510769244,5.0,0.02746755,0.5898774697819212
0,11,1,4.585520257680225,2.0,0.00341993,0.07344447011951506
0,12,0,5.375507557884261,5.0,0.01548668,0.3325831249500696
0,12,1,4.877782369992668,4.0,0.0077835,0.1671540157767105
0,13,0,5.399871666066567,5.0,0.01628261,0.34967606460153194
0,13,1,5.13161950573946,4.0,0.01118185,0.24013504609915978
0,14,0,5.091891326663429,2.0,0.00305727,0.06565619037883519
0,14,1,5.465440564615099,4.0,0.00888922,0.19089982914147238
0,15,0,5.185395405219802,2.0,0.01004721,0.21576816327512346
0,15,1,5.144663229297255,3.0,0.00711776,0.15285696246352395
0,16,0,5.774755801041738,5.0,0.01502797,0.3227321300792615
0,16,1,5.583225298586732,2.0,0.00376359,0.0808247166746412
0,17,0,5.827190790997243,2.0,0.00829098,0.17805236740854258
0,17,1,6.02708048046467,5.0,0.0147747,0.3172930477158302
0,18,0,6.800488439315349,5.0,0.01658705,0.3562140447599519
0,18,1,6.758944214845773,5.0,0.01473168,0.3163691746820133
0,19,0,6.962410131356575,5.0,0.02348783,0.5044112682444523
0,19,1,7.528660666700346,3.0,0.00377818,0.08113804321028484
0,20,0,7.149443964119114,2.0,0.00662579,0.14229169476368866
0,20,1,7.2588975381317224,4.0,0.01394449,0.2994639302959057
0,21,0,7.404975569623752,2.0,0.0065603,0.14088526879937738
0,21,1,7.568235451549938,4.0,0.01712263,0.36771585599778717
0,22,0,7.719341768611033,5.0,0.02447634,0.525639946362964
0,22,1,7.754725944659905,4.0,0.0053176,0.11419775092108121
0,23,0,8.178484795631627,4.0,0.01756383,0.37719081607496124
0,23,1,8.246421130051086,4.0,0.00534509,0.11478811051428503
0,24,0,8.49923245280564,5.0,0.02135254,0.45855499557176616
0,24,1,8.805548383416548,4.0,0.00506052,0.108676847166231
0,25,0,8.99132342236319,5.0,0.01424836,0.305989669458759
0,25,1,8.70751588955707,2.0,0.0054178,0.11634958908910671
0,26,0,8.731332097054233,5.0,0.01696679,0.36436912485901374
0,26,1,8.905968995969523,2.0,0.01004721,0.21576816327512346
0,27,0,8.434237245002393,5.0,0.0155072,0.3330238007904677
0,27,1,8.90366883128298,2.0,0.01004721,0.21576816327512346
0,28,0,8.866540289171573,5.0,0.03030667,0.650848794927675
0,28,1,9.087321077461851,4.0,0.00504857,0.10842021576794851
0,29,0,8.86511884355372,5.0,0.02306641,0.49536109218887037
0,29,1,9.242072624194341,5.0,0.00905218,0.19439946534767433
1,0,0,1.2794615189588847,4.0,0.01975037,0.4241477045771015
1,0,1,1.2794615189588847,2.0,0.00224677,0.048250353700345576
1,1,0,1.8252383361177311,2.0,0.00635074,0.13638487751702785
1,1,1,1.9737824483983186,5.0,0.02866018,0.6154897128391292
1,2,0,2.3948820671981568,5.0,0.02769347,0.5947291991124634
1,2,1,2.077937484996841,2.0,0.00454487,0.09760304126461081
1,3,0,2.8934313318061995,4.0,0.01640047,0.35220715887781423
1,3,1,2.9666622290666256,3.0,0.00578736,0.12428604930243504
1,4,0,3.3562337205315806,5.0,0.03785535,0.8129599500395578
1,4,1,2.3010696311606242,2.0,0.0035675,0.07661359944541847
1,5,0,3.3096580227850803,5.0,0.01645797,0.3534419961498847
1,5,1,3.1271391981299193,4.0,0.01294412,0.2779805535678851
1,6,0,3.7628370026569775,3.0,0.00571225,0.12267302969364868
1,6,1,3.6064229488942803,4.0,0.00767111,0.16474039210700606
