simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,relative_quality,absolute_quality
0,0,0,3.426678086471105,3,0.00224319,0.12761233257633336
0,0,1,3.426678086471105,3,0.00305533,0.1738139828059365
0,1,0,4.7384433299237205,3,0.00258045,0.14679864104092807
0,1,1,4.788875336485885,3,0.00259177,0.1474426219809127
0,2,0,5.675792038295089,4,0.00683629,0.38890816786284804
0,2,1,4.894998654257384,2,0.00217695,0.12384402007946224
0,3,0,5.850027564477269,2,0.00285163,0.16222573921275038
0,3,1,5.634570807676363,4,0.0041309,0.23500184319633
0,4,0,6.262869255019622,3,0.00246631,0.1403053561920019
0,4,1,5.92475335462146,3,0.0069005,0.3925609961452166
0,5,0,6.826379749829153,3,0.00437258,0.24875072248745037
0,5,1,6.805931032904237,3,0.00243861,0.13872953710741057
0,6,0,7.109246651596429,2,0.00284578,0.16189293987539083
0,6,1,6.511445932825927,4,0.00466815,0.26556533789657166
0,7,0,7.282363174770621,2,0.00193767,0.11023167384982274
0,7,1,6.505742861249604,4,0.01030947,0.5864931255603545
0,8,0,7.03161855876869,2,0.00134176,0.07633108357188693
0,8,1,6.550578254527672,4,0.00592481,0.3370551866634506
0,9,0,6.574801825755092,2,0.00293727,0.1670976939565916
0,9,1,6.574801825755092,4,0.01030947,0.5864931255603545
1,0,0,6.670334812984093,2,0.00298054,0.16955927127753986
1,0,1,6.670334812984093,4,0.00611074,0.3476325167139223
1,1,0,7.040183224796922,2,0.00239804,0.13642155948062826
1,1,1,6.712735648009574,4,0.00501557,0.2853296363214352
1,2,0,6.905706587527873,2,0.00185333,0.10543367451428365
1,2,1,6.8366418686669554,4,0.00572874,0.32590100442822234
1,3,0,6.875949532337276,2,0.00285163,0.16222573921275038
1,3,1,6.875949532337276,4,0.00413947,0.23548938000336783
1,4,0,6.997712568965118,2,0.00197965,0.11261986465022505
1,4,1,6.847254211351981,4,0.01030947,0.5864931255603545
1,5,0,6.875174526044745,2,0.00290184,0.16508212463648075
1,5,1,6.875174526044745,4,0.01030947,0.5864931255603545
1,6,0,7.092537626768141,2,0.00102838,0.05850327906902657
1,6,1,6.741805340420006,4,0.00434226,0.2470258548107424
1,7,0,6.785205974009352,2,0.00201012,0.11435326564327551
1,7,1,6.7310409652686225,4,0.01030947,0.5864931255603545
1,8,0,7.193580017505962,2,0.00159836,0.09092874339521316
1,8,1,6.481318930693951,4,0.0040281,0.22915367706290077
1,9,0,6.632762905945343,3,0.00456197,0.25952488770155696
1,9,1,6.634070085428719,3,0.00255921,0.14559032344682266
2,0,0,6.133586291980865,2,0.00267534,0.15219681695922668
2,0,1,6.1335862919808655,4,0.0043353,0.24662990893244802
2,1,0,6.281030034660221,3,0.00641617,0.36500805545062737
2,1,1,7.020624615293265,3,0.00579908,0.3299025609051232
2,2,0,6.54979090512167,3,0.00271294,0.15433583492242647
2,2,1,7.058487382980873,3,0.00322241,0.18331895943602747
2,3,0,6.84659024071804,4,0.00793408,0.4513600968474516
2,3,1,7.111096629426037,2,0.00132843,0.07557275619291212
2,4,0,7.739265750551358,2,0.00114793,0.06530433219404079
2,4,1,6.5710102902005705,4,0.01030947,0.5864931255603545
2,5,0,6.774879660630549,2,0.00155746,0.08860199247247721
2,5,1,6.533618540722036,4,0.00611074,0.3476325167139223
2,6,0,6.344060605322488,3,0.00641617,0.36500805545062737
2,6,1,6.713451870846734,3,0.00579908,0.3299025609051232
2,7,0,6.90268592958096,2,0.00285163,0.16222573921275038
2,7,1,6.4466134287950165,4,0.00501813,0.2854752715870148
2,8,0,6.786032292240592,3,0.00259201,0.14745627528706076
2,8,1,6.466242328040422,3,0.00373069,0.21223438630664418
2,9,0,6.0240900224631995,3,0.00459851,0.2616036035626027
2,9,1,6.615878535816436,3,0.00343729,0.19554321954061177
3,0,0,6.064983777297441,4,0.00479652,0.272868150022528
3,0,1,6.382232637762058,2,0.00257737,0.14662342361202765
3,1,0,5.867215715779744,3,0.00459851,0.2616036035626027
3,1,1,6.080259580586908,3,0.00579908,0.3299025609051232
3,2,0,6.268065112534222,4,0.00449077,0.2554744068776254
3,2,1,5.659250652720226,2,0.00470479,0.26764974263517916
3,3,0,5.915128061797631,4,0.00817512,0.46507256732217706
3,3,1,6.042954380681929,2,0.00257737,0.14662342361202765
3,4,0,6.0368388024572415,4,0.00817512,0.46507256732217706
