"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
5,1,1,0.0292273,0.01352579,0.043,0.311350018749788
5,1,2,0.02662638,0.04038115,0.067,0.485126773400832
5,1,3,0.02841119,0.0202588,0.049,0.354794207412549
5,1,4,0.01366682,0.05524776,0.069,0.499608169621752
5,1,5,0.01264441,0.04441632,0.057,0.41271979229623
5,1,6,0.03298342,0.00731881,0.04,0.289627924418407
5,1,7,0.02335349,0.03638863,0.06,0.434441886627611
5,1,8,0.05153113,0.01327015,0.065,0.470645377179912
5,1,9,0.01895919,0.03298342,0.052,0.376516301743929
5,1,10,0.0084769,0.02286769,0.031,0.224461641424266
5,1,11,0.01511884,0.04731947,0.062,0.448923282848531
5,1,12,0.03573726,0.03298342,0.069,0.499608169621752
5,1,13,0.04657456,0.02841119,0.075,0.543052358284513
5,1,14,0.04451262,0.01017552,0.055,0.39823839607531
5,1,15,0.00909716,0.04775241,0.057,0.41271979229623
5,1,16,0.01129701,0.01807493,0.029,0.209980245203345
5,1,17,0.00786183,0.07861894,0.086,0.622700037499575
5,1,18,0,0.1228421,0.123,0.890605867586602
5,1,19,0.07075646,0.00286847,0.074,0.535811660174053
5,1,20,0.01505404,0.013808,0.029,0.209980245203345
5,1,21,0.01910439,0.03638863,0.055,0.39823839607531
5,1,22,0.00347986,0.01185439,0.015,0.108610471656903
5,1,23,0.04730942,0.01244288,0.06,0.434441886627611
5,1,24,0.0240644,0.02841119,0.052,0.376516301743929
5,1,25,0.0506228,0.01965474,0.07,0.506848867732213
5,1,26,0.02952208,0.01817637,0.048,0.347553509302089
5,1,27,0.04231639,0.01825662,0.061,0.441682584738071
5,1,28,0.05990935,0.01354027,0.073,0.528570962063593
5,1,29,0.0506228,0.01045806,0.061,0.441682584738071
5,1,30,0.01450969,0.03638863,0.051,0.369275603633469
5,1,31,0.02694366,0.01032747,0.037,0.267905830087027
5,1,32,0.01390569,0.01354027,0.027,0.195498848982425
5,1,33,0.03083031,0.03638863,0.067,0.485126773400832
5,1,34,0.01282714,0.00979782,0.023,0.166536056540584
5,1,35,0.00750695,0.00654538,0.014,0.101369773546443
5,1,36,0.01193939,0.01286173,0.025,0.181017452761505
5,1,37,0.01954742,0.01171639,0.031,0.224461641424266
5,1,38,0.00750348,0.00655649,0.014,0.101369773546443
5,1,39,0.03717032,0.01965474,0.057,0.41271979229623
5,1,40,0.00628485,0.00687771,0.013,0.0941290754359823
5,1,41,0.00947616,0.00475178,0.014,0.101369773546443
5,1,42,0.0147605,0.01014061,0.025,0.181017452761505
5,1,43,0.00741769,0.00808402,0.016,0.115851169767363
5,1,44,0.03717032,0.01041308,0.048,0.347553509302089
5,1,45,0.00462737,0.01965474,0.024,0.173776754651044
5,1,46,0.01013466,0.00156179,0.012,0.0868883773255222
5,1,47,0.02113013,0.00776306,0.029,0.209980245203345
5,1,48,0.00775369,0.00656464,0.014,0.101369773546443
5,1,49,0.02891323,0.00840276,0.037,0.267905830087027
5,1,50,0.01019723,0.01032747,0.021,0.152054660319664
5,2,1,0.02388305,0.02489015,0.049,0.354794207412549
5,2,2,0.00672914,0.06413096,0.071,0.514089565842673
5,2,3,0.05545156,0.00909716,0.065,0.470645377179912
5,2,4,0.04773915,0.01866557,0.066,0.477886075290372
5,2,5,0.03573726,0.01017552,0.046,0.333072113081168
5,2,6,0.05711107,0.01164364,0.069,0.499608169621752
5,2,7,0.04657456,0.03638863,0.083,0.600977943168195
5,2,8,0.05990935,0,0.06,0.434441886627611
5,2,9,0.0212174,0.02619779,0.047,0.340312811191628
5,2,10,0.01450367,0.02541473,0.04,0.289627924418407
5,2,11,0.00919461,0.03610243,0.045,0.325831414970708
5,2,12,0.02635559,0.03638863,0.063,0.456163980958991
5,2,13,0.03786733,0.00731881,0.045,0.325831414970708
5,2,14,0.03717032,0.0074572,0.045,0.325831414970708
5,2,15,0.00665659,0.02658672,0.033,0.238943037645186
5,2,16,0.02841119,0.02542446,0.054,0.39099769796485
5,2,17,0.0071028,0.05464649,0.062,0.448923282848531
5,2,18,0.02662638,0.0146583,0.041,0.296868622528867
5,2,19,0.04666151,0.00909716,0.056,0.40547909418577
5,2,20,0.0212174,0.03298342,0.054,0.39099769796485
5,2,21,0.0181789,0.03144731,0.05,0.362034905523009
5,2,22,0.03573726,0.03144731,0.067,0.485126773400832
5,2,23,0.0100779,0.01884172,0.029,0.209980245203345
5,2,24,0.01896522,0.03638863,0.055,0.39823839607531
5,2,25,0.02841119,0.03638863,0.065,0.470645377179912
5,2,26,0.02115039,0.03638863,0.058,0.41996049040669
5,2,27,0.03717032,0.01884172,0.056,0.40547909418577
5,2,28,0.00507162,0.01851477,0.024,0.173776754651044
5,2,29,0.02113013,0.01839126,0.04,0.289627924418407
5,2,30,0.04231639,0.00498425,0.047,0.340312811191628
5,2,31,0.01858983,0.01884172,0.037,0.267905830087027
5,2,32,0.01126424,0.03638863,0.048,0.347553509302089
5,2,33,0.02694366,0.00345383,0.03,0.217220943313805
5,2,34,0.02651114,0.01694375,0.043,0.311350018749788
5,2,35,0.05990935,0.00769807,0.068,0.492367471511292
5,2,36,0.05990935,0.02402113,0.084,0.608218641278655
5,2,37,0.0109362,0.01884172,0.03,0.217220943313805
5,2,38,0.0173801,0.01884172,0.036,0.260665131976566
5,2,39,0.05990935,0.03638863,0.096,0.695107018604177
5,2,40,0.02694366,0.03638863,0.063,0.456163980958991
5,2,41,0.01562399,0.00928865,0.025,0.181017452761505
5,2,42,0.02694366,0.00556678,0.033,0.238943037645186
5,2,43,0.03209401,0.01271192,0.045,0.325831414970708
5,2,44,0.04773915,0.01742409,0.065,0.470645377179912
5,2,45,0.01835824,0.03638863,0.055,0.39823839607531
5,2,46,0.01858983,0.00978371,0.028,0.202739547092885
5,2,47,0.05990935,0.01884172,0.079,0.572015150726354
5,2,48,0.03717032,0.00983647,0.047,0.340312811191628
5,2,49,0.05990935,0.00822067,0.068,0.492367471511292
5,2,50,0.02113013,0.01723348,0.038,0.275146528197487
5,3,1,0.00558936,0.07293463,0.079,0.572015150726354
5,3,2,0.04067716,0.03018989,0.071,0.514089565842673
5,3,3,0.01164364,0.04070209,0.052,0.376516301743929
5,3,4,0.01922808,0.03012402,0.049,0.354794207412549
5,3,5,0.04610222,0.02637589,0.072,0.521330263953133
5,3,6,0.0305807,0.00786183,0.038,0.275146528197487
5,3,7,0.00762464,0.04985728,0.057,0.41271979229623
5,3,8,0.0171222,0.0064806,0.024,0.173776754651044
5,3,9,0.01714695,0.0196903,0.037,0.267905830087027
5,3,10,0.0292273,0.02258591,0.052,0.376516301743929
5,3,11,0.01016929,0.02610266,0.036,0.260665131976566
5,3,12,0.00893432,0.01149698,0.02,0.144813962209204
5,3,13,0.02510252,0.02235745,0.047,0.340312811191628
5,3,14,0.02402113,0.02826518,0.052,0.376516301743929
5,3,15,0.02290273,0.01258284,0.035,0.253424433866106
5,3,16,0.01120833,0.04431631,0.056,0.40547909418577
5,3,17,0.04067716,0.00652567,0.047,0.340312811191628
5,3,18,0.01004854,0.04731947,0.057,0.41271979229623
5,3,19,0.02691654,0.03190378,0.059,0.427201188517151
5,3,20,0.04520549,0.01836926,0.064,0.463404679069452
5,3,21,0.01816811,0.00419463,0.022,0.159295358430124
5,3,22,0.06056222,0.03638863,0.097,0.702347716714638
5,3,23,0.00392982,0.03465549,0.039,0.282387226307947
5,3,24,0.02271517,0.00476175,0.027,0.195498848982425
5,3,25,0.04815279,0.00591327,0.054,0.39099769796485
5,3,26,0.03744924,0.01211659,0.05,0.362034905523009
5,3,27,0.00371025,0.01594059,0.02,0.144813962209204
5,3,28,0.02362066,0.01680919,0.04,0.289627924418407
5,3,29,0.00790319,0.02476291,0.033,0.238943037645186
5,3,30,0.02752112,0.00633512,0.034,0.246183735755646
5,3,31,0.02691654,0.01503698,0.042,0.304109320639328
5,3,32,0.00683623,0.00872175,0.016,0.115851169767363
5,3,33,0.00582094,0.01368579,0.02,0.144813962209204
5,3,34,0.02213607,0.01511532,0.037,0.267905830087027
5,3,35,0.01596772,0.00491469,0.021,0.152054660319664
5,3,36,0.01214849,0.02103088,0.033,0.238943037645186
5,3,37,0.00365739,0.00836224,0.012,0.0868883773255222
5,3,38,0.0055118,0.00714424,0.013,0.0941290754359823
5,3,39,0.00404539,0.00943495,0.013,0.0941290754359823
5,3,40,0.01338768,0.0129806,0.026,0.188258150871965
5,3,41,0.01663138,0.01392414,0.031,0.224461641424266
5,3,42,0.01695502,0.0028972,0.02,0.144813962209204
5,3,43,0.03742061,0.00295739,0.04,0.289627924418407
5,3,44,0.00993572,0.0242342,0.034,0.246183735755646
5,3,45,0.06056222,0.00294849,0.064,0.463404679069452
5,3,46,0.01346651,0.04726379,0.061,0.441682584738071
5,3,47,0.06056222,0.02100613,0.082,0.593737245057735
5,3,48,0.01743462,0.01196642,0.029,0.209980245203345
5,3,49,0.01285682,0.02103088,0.034,0.246183735755646
5,3,50,0.00821745,0.04726379,0.055,0.39823839607531
5,4,1,0.02531947,0.05532386,0.081,0.586496546947275
5,4,2,0.04564767,0.01164364,0.057,0.41271979229623
5,4,3,0.01017552,0.05153113,0.062,0.448923282848531
5,4,4,0.01164364,0.04207094,0.054,0.39099769796485
5,4,5,0.03751821,0.00490606,0.042,0.304109320639328
