"ID","x","y","patch"
0,0,0,1
1,146.322588580351,-456.07773798525,2
2,145.019390826714,-216.298381448939,2
3,-16.4992939757561,-884.303818356962,2
4,586.581265659434,-396.494173282479,2
5,-297.059257445218,-266.985962670913,2
