ID,max_distance_travelled,max_crop,beta_vector,leave_after_max_fail,number_of_max_fails,forbid_reverse_vector,allow_nest_return,beta,alpha_pos,alpha_neg,gamma,learning_factor,abandon_factor,use_route_compare,use_online_reinforcement,use_Q_learning,initialize_Q_table,cost_of_flying,use_dynamic_beta,use_delay_start,starting_bout_for_naive,array_ID
0,3000,5,,False,2,True,True,15,0.4,0.4,0,1.0,0.75,False,True,True,distance,False,False,False,,Array-41-0-None-500_00
1,3000,5,,False,2,True,True,15,0.4,0.4,0,1.0,0.75,False,True,True,distance,False,False,False,,Array-41-0-None-500_00
