simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,relative_quality,absolute_quality
0,0,0,2.69056721308076,5,0.008529,0.5123445665885745
0,0,1,2.69056721308076,2,0.00243108,0.14603712380609118
0,1,0,4.062020488518455,1,0.0008422,0.050591698203880583
0,1,1,4.159145627888735,5,0.00982413,0.5901441701207425
0,2,0,4.679220061297247,1,0.00127455,0.07656334474680122
0,2,1,4.679220061297246,5,0.01518599,0.9122358382891813
0,3,0,5.419301738327828,2,0.00273961,0.16457079353637294
0,3,1,5.933341835536414,3,0.00301172,0.18091668168438757
0,4,0,6.510219114145519,5,0.01405859,0.8445119240704031
0,4,1,8.256727658958532,2,0.00101401,0.060912476722532596
0,5,0,7.411260443855311,5,0.01405859,0.8445119240704031
0,5,1,7.987815826372987,2,0.00108309,0.06506217336457021
0,6,0,8.263334710664765,4,0.00887067,0.5328689854027754
0,6,1,8.342314436491483,3,0.0054793,0.3291463927434373
0,7,0,7.973353173361344,5,0.01405859,0.8445119240704031
0,7,1,8.566407343967926,2,0.00243524,0.14628701868204483
0,8,0,8.685357835036525,4,0.00899749,0.5404871748663423
0,8,1,8.330139116985071,3,0.00363592,0.21841292725415992
0,9,0,10.059306629740693,4,0.00899749,0.5404871748663423
0,9,1,9.775485001248446,3,0.00421238,0.2530413888388298
1,0,0,10.476924258523082,3,0.00498975,0.2997386916561543
1,0,1,9.708856591791474,4,0.00748868,0.4498516249174026
1,1,0,9.822095512918972,3,0.00498975,0.2997386916561543
1,1,1,9.280593027511095,4,0.0053296,0.32015378146212536
1,2,0,10.01325011231284,4,0.00899749,0.5404871748663423
1,2,1,10.001412736645296,3,0.00295412,0.17745659878656816
1,3,0,9.819863152045784,3,0.00506109,0.30402414849522436
1,3,1,10.649375305713681,4,0.00389586,0.23402775274824295
1,4,0,9.782146446891211,4,0.00453265,0.27228029074307686
1,4,1,10.27353583861305,3,0.00267362,0.16060671592479125
1,5,0,10.203569268893828,4,0.00452421,0.2717732924851325
1,5,1,10.203569268893828,3,0.00312708,0.18784645882140927
1,6,0,10.584684084553107,2,0.00183666,0.11032978915119843
1,6,1,10.1235067135813,4,0.00678033,0.4073004144890972
1,7,0,10.965447420617892,3,0.00260576,0.15653030576079774
1,7,1,10.656224715958444,4,0.00473629,0.28451312548807595
1,8,0,10.128910740315952,4,0.00462131,0.2776061752868385
1,8,1,10.233633186178198,3,0.00424098,0.254759416111011
1,9,0,10.060519953408493,3,0.00281293,0.16897519072505557
1,9,1,10.316892002862966,4,0.00563166,0.3382987925752388
2,0,0,10.05709706876792,4,0.00924066,0.5550946116417372
2,0,1,10.175343617895967,3,0.00424098,0.254759416111011
2,1,0,10.442259496745391,4,0.00924066,0.5550946116417372
2,1,1,10.51320742622222,3,0.00424098,0.254759416111011
2,2,0,10.694641332374923,4,0.00924066,0.5550946116417372
2,2,1,10.694641332374921,3,0.00559447,0.33606475641256683
2,3,0,10.592603751551383,3,0.00250895,0.1507148435153481
2,3,1,10.965469556680015,4,0.00403437,0.24234817084159307
2,4,0,9.832320051487432,4,0.00484556,0.2910770709437136
2,4,1,9.74173479612472,3,0.00559447,0.33606475641256683
2,5,0,10.028663454773291,4,0.00924066,0.5550946116417372
2,5,1,10.308828338701021,3,0.00248272,0.14913918423740014
2,6,0,10.115967546819794,3,0.00282296,0.16957770168799183
2,6,1,10.085066202427377,4,0.00994572,0.5974481888628582
2,7,0,9.879261596900148,4,0.00500076,0.30040007208506037
2,7,1,9.879261596900148,3,0.00559447,0.33606475641256683
2,8,0,10.547392022662713,4,0.00518882,0.31169700246290627
2,8,1,9.761773188305554,3,0.00241997,0.14536973628882083
2,9,0,9.920463734431662,4,0.00924066,0.5550946116417372
2,9,1,9.960435492390603,3,0.00239308,0.14375443022766868
3,0,0,10.016214244392323,4,0.00924066,0.5550946116417372
3,0,1,10.016214244392323,3,0.00559447,0.33606475641256683
3,1,0,10.819013054113299,3,0.00512265,0.3077221120922689
3,1,1,10.021212543930721,3,0.00451828,0.2714170721451313
3,2,0,10.007803690573231,4,0.00910694,0.5470619330810356
3,2,1,10.426067932868278,3,0.00295178,0.17731603291884426
3,3,0,10.335480951982284,3,0.00258192,0.15509821589475584
3,3,1,9.938711670985308,4,0.00648396,0.3894972067039107
3,4,0,9.389269392262547,4,0.00924066,0.5550946116417372
3,4,1,9.849192920214556,3,0.00237733,0.14280831381029616
3,5,0,9.455429448480443,3,0.00519787,0.31224064395987267
3,5,1,9.521840575150076,3,0.00500622,0.3007280591097495
3,6,0,8.868095138644684,3,0.00519787,0.31224064395987267
3,6,1,8.8043772120933,3,0.00500622,0.3007280591097495
3,7,0,9.061987846470963,3,0.00519787,0.31224064395987267
3,7,1,8.84826789816982,4,0.00636196,0.3821685588995014
3,8,0,9.295466829663022,3,0.00519787,0.31224064395987267
3,8,1,9.273192732595291,4,0.00429375,0.2579293566408362
3,9,0,9.485141685061464,3,0.00519787,0.31224064395987267
3,9,1,9.390456580044354,4,0.00443157,0.2662083258244729
4,0,0,9.592913877356377,3,0.00519787,0.31224064395987267
4,0,1,9.536102814346112,4,0.00639862,0.38437075749384275
4,1,0,9.809779033708352,3,0.00246461,0.14805130053463086
4,1,1,9.667000010580196,4,0.00468511,0.28143869766324264
4,2,0,9.831809254573953,3,0.00212858,0.12786568150417493
4,2,1,9.811357271890259,4,0.00469414,0.28198113774253625
4,3,0,9.961264191477929,3,0.00244477,0.14685949420315975
4,3,1,10.061863680808028,4,0.00468511,0.28143869766324264
4,4,0,10.34590510090201,3,0.00478123,0.2872127109989788
4,4,1,9.627342456923444,4,0.00469414,0.28198113774253625
4,5,0,9.951380526285723,3,0.00264925,0.1591427884904187
4,5,1,9.520242939898584,4,0.00639862,0.38437075749384275
4,6,0,9.531307951758997,3,0.00646847,0.38856670871628524
4,6,1,9.531307951758997,4,0.00424416,0.25495044152099483
