simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,relative_quality,absolute_quality
0,0,0,3.140596291396216,1,0.00066246,0.0348493129930818
0,0,1,3.140596291396216,4,0.01084736,0.5706352742635566
0,1,0,3.5705061825820494,1,0.00233288,0.12272328185143352
0,1,1,3.5705061825820494,4,0.00456931,0.24037272341336618
0,2,0,4.423118953739753,2,0.00177641,0.09344966955595874
0,2,1,5.563206402858642,3,0.00280557,0.14758957077257567
0,3,0,5.055120159952034,4,0.00462281,0.24318713974813339
0,3,1,4.5092994323817255,1,0.00036171,0.019028084718666207
0,4,0,3.829635791279598,3,0.00704601,0.3706617876436075
0,4,1,4.300229191566395,2,0.00207077,0.10893474604758624
0,5,0,4.357148693458802,2,0.00122641,0.064516417516296
0,5,1,4.10795698949371,3,0.00265136,0.13947721295978224
0,6,0,4.946758612573792,3,0.00250185,0.13161210293714593
0,6,1,3.8873561557792415,2,0.00300731,0.15820228762072397
0,7,0,4.688818842675523,2,0.00116005,0.06102548914292868
0,7,1,4.793908122586494,3,0.00264634,0.13921313127752932
0,8,0,4.376657276977715,3,0.00381698,0.20079571703700352
0,8,1,4.219401106291899,2,0.00168986,0.08889662780317181
0,9,0,4.351891920437512,3,0.002699,0.14198335864554504
0,9,1,4.279554638623857,2,0.00161197,0.08479915325522756
1,0,0,4.799004844427935,2,0.00124644,0.0655701139496677
1,0,1,4.156466405675249,3,0.01001657,0.5269308079689541
1,1,0,4.269435041800273,3,0.00356426,0.18750115075434248
1,1,1,4.5304767462275475,2,0.0024851,0.13073095389775619
1,2,0,4.384509696539441,3,0.00477439,0.25116114401026446
1,2,1,4.607173369503128,2,0.0036299,0.19095420287049422
1,3,0,4.934632821711154,2,0.00323007,0.16992078075591538
1,3,1,4.454576349430091,3,0.00339478,0.17858550065310239
1,4,0,4.771918819536827,2,0.00323007,0.16992078075591538
1,4,1,4.550652312790898,3,0.00971349,0.5109870079177159
1,5,0,4.792867725355705,2,0.00313156,0.16473857228604777
1,5,1,4.531705220328545,3,0.00606994,0.31931473433751006
1,6,0,4.771645284349829,2,0.00234336,0.1232745918175711
