"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
1,2,21,0.01127769,0.01006828,0.021,0.435019392543063
1,2,22,0.00924874,0.02237756,0.032,0.662886693398954
1,2,23,0.01485892,0.01083005,0.026,0.53859543838665
1,2,24,0.01609627,0.00784805,0.024,0.497165020049215
1,2,25,0.01136948,0.0025118,0.014,0.290012928362042
1,2,26,0.01118658,0.00685201,0.018,0.372873765036911
1,2,27,0.00529991,0.00779479,0.013,0.269297719193325
1,2,28,0.02163578,0.00275591,0.024,0.497165020049215
1,2,29,0.00999894,0.01044642,0.02,0.414304183374346
1,2,30,0.00987602,0.02562573,0.036,0.745747530073823
1,3,1,0.00874912,0.00635074,0.015,0.31072813753076
1,3,2,0.01004721,0.01028015,0.02,0.414304183374346
1,3,3,0.00832028,0.01372837,0.022,0.455734601711781
1,3,4,0.00548717,0.00576414,0.011,0.22786730085589
1,3,5,0.01709775,0.00600461,0.023,0.476449810880498
1,3,6,0.01265606,0.01856812,0.031,0.642171484230236
1,3,7,0.00663184,0.00884238,0.015,0.31072813753076
1,3,8,0.01109422,0.00738085,0.018,0.372873765036911
1,3,9,0.01593232,0.00880458,0.025,0.517880229217933
1,3,10,0.01302004,0.0140637,0.027,0.559310647555367
1,3,11,0.00787823,0.02134527,0.029,0.600741065892802
1,3,12,0.00829098,0.01288318,0.021,0.435019392543063
1,3,13,0.00730313,0.00925984,0.017,0.352158555868194
1,3,14,0.01176244,0.00779317,0.02,0.414304183374346
1,3,15,0.01756383,0.00635074,0.024,0.497165020049215
1,3,16,0.01154441,0.00403599,0.016,0.331443346699477
1,3,17,0.01004721,0.01877583,0.029,0.600741065892802
1,3,18,0.01597699,0.00748905,0.023,0.476449810880498
1,3,19,0.01268843,0.00894482,0.022,0.455734601711781
1,3,20,0.0180468,0.01166977,0.03,0.621456275061519
1,3,21,0.01500051,0.00508662,0.02,0.414304183374346
1,3,22,0.00716254,0.01286407,0.02,0.414304183374346
1,3,23,0.02366494,0.00283346,0.026,0.53859543838665
1,3,24,0.00215047,0.02006106,0.022,0.455734601711781
1,3,25,0.01765028,0.0106848,0.028,0.580025856724084
1,3,26,0.00757396,0.01998347,0.028,0.580025856724084
1,3,27,0.00724938,0.02134527,0.029,0.600741065892802
1,3,28,0.0172049,0.00943783,0.027,0.559310647555367
1,3,29,0.02564474,0.00444462,0.03,0.621456275061519
1,3,30,0.01779651,0.00117509,0.019,0.393588974205629
1,4,1,0.0056753,0.00497118,0.011,0.22786730085589
1,4,2,0.00971554,0.00643029,0.016,0.331443346699477
1,4,3,0.01257372,0.00304509,0.016,0.331443346699477
1,4,4,0.01671964,0.00499855,0.022,0.455734601711781
1,4,5,0.00888843,0.0061976,0.015,0.31072813753076
1,4,6,0.00550228,0.00834032,0.014,0.290012928362042
1,4,7,0.01414774,0.00366861,0.018,0.372873765036911
1,4,8,0.01841588,0.009535,0.028,0.580025856724084
1,4,9,0.01090811,0.00176919,0.013,0.269297719193325
1,4,10,0.00487958,0.00746828,0.012,0.248582510024608
1,4,11,0.0061222,0.01824283,0.024,0.497165020049215
1,4,12,0.01020121,0.01564024,0.026,0.53859543838665
1,4,13,0.02227805,0.00643145,0.029,0.600741065892802
1,4,14,0.02134305,0.00335242,0.025,0.517880229217933
1,4,15,0.00843011,0.01329203,0.022,0.455734601711781
1,4,16,0.01832133,0.00804388,0.026,0.53859543838665
1,4,17,0.01524673,0.0058136,0.021,0.435019392543063
1,4,18,0.01828984,0.0069401,0.025,0.517880229217933
1,4,19,0.0160622,0.0032073,0.019,0.393588974205629
1,4,20,0.00483846,0.01610875,0.021,0.435019392543063
1,4,21,0.01562271,0.00415279,0.02,0.414304183374346
1,4,22,0.00817352,0.01476066,0.023,0.476449810880498
1,4,23,0.01863959,0.00593604,0.025,0.517880229217933
1,4,24,0.00424675,0.02248048,0.027,0.559310647555367
1,4,25,0.01308678,0.01819826,0.031,0.642171484230236
1,4,26,0.01466338,0.00372714,0.018,0.372873765036911
1,4,27,0.00640615,0.01476066,0.021,0.435019392543063
1,4,28,0.00522766,0.02181417,0.027,0.559310647555367
1,4,29,0.01308678,0.01601231,0.029,0.600741065892802
