simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,absolute_quality
0,0,0,,3,0.00938324
0,0,1,,4,0.00439733
0,1,0,,5,0.01467909
0,1,1,,4,0.0156789
0,2,0,,5,0.01795203
0,2,1,,3,0.00495032
0,3,0,,5,0.01950673
0,3,1,,3,0.00711244
0,4,0,,5,0.01950673
0,4,1,,5,0.00785709
0,5,0,,5,0.01950673
0,5,1,,5,0.01315168
0,6,0,,5,0.01950673
0,6,1,,5,0.01315168
0,7,0,,5,0.01950673
0,7,1,,4,0.0108226
0,8,0,,5,0.01950673
0,8,1,,4,0.0108226
0,9,0,,5,0.01950673
0,9,1,,4,0.0108226
0,10,0,,5,0.01950673
0,10,1,,5,0.01315168
0,11,0,,5,0.01950673
0,11,1,,4,0.0108226
0,12,0,,5,0.01950673
0,12,1,,5,0.01323118
0,13,0,,5,0.01950673
0,13,1,,5,0.01323118
0,14,0,,5,0.01950673
0,14,1,,5,0.01323118
0,15,0,,5,0.01950673
0,15,1,,5,0.01323118
0,16,0,,5,0.01950673
0,16,1,,5,0.01323118
0,17,0,,5,0.01950673
0,17,1,,5,0.01323118
0,18,0,,5,0.01950673
0,18,1,,5,0.01323118
0,19,0,,5,0.01950673
0,19,1,,5,0.01323118
0,20,0,,5,0.01950673
0,20,1,,5,0.01323118
0,21,0,,5,0.01950673
0,21,1,,5,0.01323118
0,22,0,,5,0.01950673
0,22,1,,5,0.01323118
0,23,0,,5,0.01950673
0,23,1,,5,0.01323118
0,24,0,,5,0.01950673
0,24,1,,5,0.01323118
0,25,0,,5,0.01950673
0,25,1,,5,0.01323118
0,26,0,,5,0.01950673
0,26,1,,5,0.01323118
0,27,0,,5,0.01950673
0,27,1,,5,0.01323118
0,28,0,,5,0.01950673
0,28,1,,5,0.01323118
0,29,0,,5,0.01950673
0,29,1,,5,0.01323118
1,0,0,,5,0.00727634
1,0,1,,2,0.00167723
1,1,0,,3,0.01060942
1,1,1,,4,0.01432375
1,2,0,,3,0.0036019
1,2,1,,4,0.00738299
1,3,0,,3,0.01060942
1,3,1,,4,0.01432375
1,4,0,,3,0.0116573
1,4,1,,3,0.00805711
1,5,0,,5,0.01210488
1,5,1,,3,0.00805711
1,6,0,,3,0.0116573
1,6,1,,4,0.01011881
1,7,0,,3,0.0116573
1,7,1,,3,0.00805711
1,8,0,,3,0.0116573
1,8,1,,5,0.00919896
1,9,0,,4,0.00479491
1,9,1,,5,0.01717074
1,10,0,,5,0.00929086
1,10,1,,5,0.01717074
1,11,0,,5,0.01429085
1,11,1,,5,0.01717074
1,12,0,,5,0.01429085
1,12,1,,5,0.01717074
1,13,0,,5,0.01429085
1,13,1,,5,0.01717074
1,14,0,,5,0.01429085
1,14,1,,5,0.01717074
1,15,0,,5,0.01429085
1,15,1,,5,0.01717074
1,16,0,,5,0.01429085
1,16,1,,5,0.01717074
1,17,0,,5,0.01429085
1,17,1,,5,0.01717074
1,18,0,,5,0.01429085
1,18,1,,5,0.01717074
1,19,0,,5,0.01429085
1,19,1,,5,0.01717074
1,20,0,,5,0.01429085
1,20,1,,5,0.01717074
1,21,0,,5,0.01429085
1,21,1,,5,0.01717074
1,22,0,,5,0.01429085
1,22,1,,5,0.01717074
1,23,0,,5,0.01429085
1,23,1,,5,0.01717074
1,24,0,,5,0.01429085
1,24,1,,5,0.01717074
1,25,0,,5,0.01429085
1,25,1,,5,0.01717074
1,26,0,,5,0.01429085
1,26,1,,5,0.01717074
1,27,0,,5,0.01429085
1,27,1,,5,0.01717074
1,28,0,,5,0.01429085
1,28,1,,5,0.01717074
1,29,0,,5,0.01429085
1,29,1,,5,0.01717074
2,0,0,,5,0.00934409
2,0,1,,4,0.00611523
2,1,0,,5,0.01057605
2,1,1,,4,0.0054984
2,2,0,,3,0.01131226
2,2,1,,3,0.00997576
2,3,0,,5,0.00819516
2,3,1,,3,0.00997576
2,4,0,,5,0.01467715
2,4,1,,5,0.01353995
2,5,0,,5,0.01467715
2,5,1,,3,0.01308678
2,6,0,,5,0.01467715
2,6,1,,3,0.01308678
2,7,0,,5,0.01467715
2,7,1,,3,0.01308678
2,8,0,,5,0.01467715
2,8,1,,3,0.01308678
2,9,0,,5,0.01467715
2,9,1,,5,0.01206922
2,10,0,,5,0.01467715
2,10,1,,3,0.00687797
2,11,0,,5,0.01467715
2,11,1,,3,0.01308678
2,12,0,,5,0.01467715
2,12,1,,3,0.01308678
2,13,0,,5,0.01467715
2,13,1,,3,0.01308678
2,14,0,,5,0.01467715
2,14,1,,3,0.01308678
2,15,0,,5,0.01467715
2,15,1,,3,0.01308678
2,16,0,,5,0.01467715
2,16,1,,3,0.01308678
2,17,0,,5,0.01467715
2,17,1,,3,0.01308678
2,18,0,,5,0.01467715
2,18,1,,3,0.01308678
2,19,0,,5,0.01467715
2,19,1,,3,0.01308678
2,20,0,,5,0.01467715
2,20,1,,3,0.01308678
2,21,0,,5,0.01467715
2,21,1,,3,0.01308678
2,22,0,,5,0.01467715
2,22,1,,3,0.01308678
2,23,0,,5,0.01467715
2,23,1,,3,0.01308678
2,24,0,,5,0.01467715
2,24,1,,3,0.01308678
2,25,0,,5,0.01467715
2,25,1,,3,0.01308678
2,26,0,,5,0.01467715
2,26,1,,3,0.01308678
2,27,0,,5,0.01467715
2,27,1,,3,0.01308678
2,28,0,,5,0.01467715
2,28,1,,3,0.01308678
2,29,0,,5,0.01467715
2,29,1,,3,0.01308678
3,0,0,,1,0.0025118
3,0,1,,3,0.01156804
3,1,0,,5,0.01719802
3,1,1,,3,0.01156804
3,2,0,,1,0.0025118
3,2,1,,3,0.00588328
3,3,0,,3,0.01022255
3,3,1,,3,0.00588328
3,4,0,,5,0.01724347
3,4,1,,3,0.01156804
3,5,0,,4,0.01194524
3,5,1,,3,0.01156804
3,6,0,,4,0.01194524
3,6,1,,3,0.01156804
3,7,0,,5,0.01718646
3,7,1,,3,0.01156804
3,8,0,,5,0.01718646
3,8,1,,3,0.01156804
3,9,0,,5,0.01718646
3,9,1,,3,0.01156804
3,10,0,,5,0.01718646
3,10,1,,4,0.00925083
3,11,0,,5,0.01718646
3,11,1,,4,0.00426164
3,12,0,,5,0.01718646
3,12,1,,4,0.00497653
3,13,0,,5,0.01718646
3,13,1,,4,0.01150837
3,14,0,,5,0.01718646
3,14,1,,4,0.00468624
3,15,0,,5,0.01718646
3,15,1,,4,0.00457566
3,16,0,,5,0.01718646
3,16,1,,4,0.00445037
