simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,relative_quality,absolute_quality
0,0,0,2.016794872348375,2,0.00347331,0.12495152399912797
0,0,1,2.016794872348375,3,0.0276865,0.9960154346147785
0,1,0,2.6768867029741,2,0.00577663,0.20781292832459025
0,1,1,2.8468799493063566,2,0.01230511,0.44267348652349187
0,2,0,3.399009224693397,3,0.0093805,0.33746131812991637
0,2,1,3.399009224693397,2,0.01235434,0.44444452438837495
0,3,0,4.487877642771997,3,0.00888736,0.3197207206753471
0,3,1,5.166096917632878,4,0.00495643,0.1783064230071597
0,4,0,5.225427992061583,3,0.00389757,0.14021417938314784
0,4,1,5.906118043774108,4,0.00423161,0.15223119113178782
0,5,0,6.082005859820468,3,0.00234487,0.08435615596645138
0,5,1,6.082005859820468,4,0.00737454,0.26529737103585027
0,6,0,6.426678609856698,3,0.0093805,0.33746131812991637
0,6,1,6.426678609856698,4,0.00981822,0.3532081939011255
0,7,0,6.632567171040019,3,0.0093805,0.33746131812991637
0,7,1,6.632567171040019,4,0.00457034,0.16441692454580056
0,8,0,6.723239198436717,3,0.0093805,0.33746131812991637
0,8,1,6.723239198436717,4,0.01357355,0.4883053221792364
0,9,0,7.376592794256789,3,0.00274943,0.09891010840636812
0,9,1,7.353371636341359,4,0.01357355,0.4883053221792364
1,0,0,7.644668821242858,3,0.00436653,0.1570849069296758
1,0,1,7.612046907674152,4,0.00983941,0.35397049925064555
1,1,0,7.65020475872883,3,0.0093805,0.33746131812991637
1,1,1,7.6502047587288295,4,0.00455067,0.16370930084475951
1,2,0,7.671594738328718,3,0.0093805,0.33746131812991637
1,2,1,7.671594738328717,4,0.00753407,0.2710364258923362
1,3,0,7.680150126212004,3,0.0093805,0.33746131812991637
1,3,1,7.680150126212004,4,0.00983941,0.35397049925064555
1,4,0,7.6788766263437305,3,0.0093805,0.33746131812991637
1,4,1,7.810436124466683,4,0.00515529,0.18546036551804027
1,5,0,7.700846806739626,3,0.0093805,0.33746131812991637
1,5,1,7.700846806739625,4,0.00457034,0.16441692454580056
1,6,0,7.821136933679964,4,0.00887361,0.31922606760522443
1,6,1,8.54734402518227,3,0.00553467,0.1991084732811795
1,7,0,7.506197726792187,4,0.00434796,0.15641685547424458
1,7,1,8.70332096841842,3,0.00414818,0.14922981617612668
1,8,0,8.263905266794016,3,0.0026957,0.09697718408217212
1,8,1,7.840076236275691,4,0.00597239,0.21485534905238862
1,9,0,7.872126340085534,4,0.00438277,0.15766913717395167
1,9,1,8.315266173207277,3,0.00763512,0.27467167627312905
2,0,0,8.379319724513259,3,0.0033473,0.12041834339067951
2,0,1,7.963841680963906,4,0.00537726,0.19344568493441439
2,1,0,8.25868927274474,3,0.00591984,0.21296487495530134
2,1,1,7.952668490007087,4,0.00571207,0.20549039725498122
2,2,0,8.08361507042067,3,0.0093805,0.33746131812991637
2,2,1,8.08361507042067,4,0.00499324,0.1796306542443392
2,3,0,8.158172770109369,3,0.0093805,0.33746131812991637
2,3,1,8.15817277010937,4,0.01261289,0.45374580084511923
2,4,0,8.322828705693853,4,0.00461082,0.16587318318424188
2,4,1,8.976004057996814,3,0.00763512,0.27467167627312905
2,5,0,8.231713386462644,4,0.00526324,0.18934384180311295
2,5,1,8.6302326149483,3,0.00553467,0.1991084732811795
2,6,0,8.748963152347946,3,0.00591984,0.21296487495530134
2,6,1,8.170862663276614,4,0.01357355,0.4883053221792364
2,7,0,8.528187902283928,3,0.00296384,0.10662345857109658
2,7,1,8.144195677735102,4,0.01022335,0.3677826519592219
2,8,0,8.261231010338614,3,0.00338549,0.12179221980871496
2,8,1,8.261231010338614,4,0.01357355,0.4883053221792364
2,9,0,8.321732655501146,3,0.0093805,0.33746131812991637
2,9,1,8.321732655501146,4,0.00399331,0.14365840374195155
3,0,0,8.319856753705533,3,0.0093805,0.33746131812991637
3,0,1,8.398792452579304,4,0.0043995,0.15827099505490827
3,1,0,8.248761990591014,4,0.00525777,0.18914705981812596
3,1,1,8.996406573546246,3,0.00763512,0.27467167627312905
3,2,0,8.64703073045234,3,0.00296057,0.1065058210773292
3,2,1,8.176803943080804,4,0.00521408,0.18757532217204143
3,3,0,8.170430061517077,4,0.00442597,0.15922324718335548
3,3,1,8.753944594631847,3,0.00575063,0.20687758433744907
3,4,0,8.628938635504294,3,0.00591678,0.21285479216296857
3,4,1,8.137218879654979,4,0.01357355,0.4883053221792364
3,5,0,8.131022853163119,4,0.01052416,0.3786042221427579
3,5,1,8.664505930705161,3,0.00709475,0.25523199049114914
3,6,0,8.6174217862918,3,0.00591984,0.21296487495530134
3,6,1,8.124566672440933,4,0.01357355,0.4883053221792364
3,7,0,8.082295251848443,4,0.01052416,0.3786042221427579
3,7,1,8.671585159705451,3,0.00556146,0.20007223733562227
3,8,0,8.079971026788456,4,0.01052416,0.3786042221427579
3,8,1,8.387203371537536,3,0.00763512,0.27467167627312905
3,9,0,8.749324418786104,3,0.00245438,0.08829575289075253
3,9,1,8.120071218238824,4,0.01357355,0.4883053221792364
4,0,0,8.150157996553169,4,0.01052416,0.3786042221427579
4,0,1,8.580761640662839,3,0.00240695,0.08658946960959461
4,1,0,8.769421368377678,3,0.00272592,0.09806434159338007
4,1,1,8.226776954724635,4,0.01357355,0.4883053221792364
4,2,0,8.645834415674301,3,0.0025401,0.09137951006681953
4,2,1,8.320247767482476,4,0.01357355,0.4883053221792364
4,3,0,8.515419024656907,3,0.00591984,0.21296487495530134
4,3,1,8.320067035741811,4,0.01357355,0.4883053221792364
4,4,0,8.381302758199011,3,0.0093805,0.33746131812991637
4,4,1,8.381302758199011,4,0.01261289,0.45374580084511923
4,5,0,8.547330693832652,3,0.00330063,0.1187394009337611
4,5,1,8.438029494670557,4,0.00878474,0.31602898990763834
4,6,0,8.506529194353899,3,0.00850039,0.3057995644175001
4,6,1,8.506529194353899,4,0.00603149,0.21698145788469797
4,7,0,8.473446299973986,3,0.0093805,0.33746131812991637
4,7,1,8.473446299973986,4,0.01261289,0.45374580084511923
4,8,0,8.453987470631969,4,0.00530217,0.19074433955001321
4,8,1,9.216982389398797,3,0.00763512,0.27467167627312905
4,9,0,8.45217498991445,4,0.01050689,0.37798293788668375
4,9,1,8.923077554536277,3,0.00494142,0.17776644172842934
