"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
5,1,1,0.02160833,0.04781541,0.069,0.482674098448727
5,1,2,0.01209203,0.06806318,0.08,0.559622143128959
5,1,3,0.03732869,0.05105926,0.088,0.615584357441855
5,1,4,0.03069545,0.05123783,0.082,0.573612696707183
5,1,5,0.05444185,0.06985235,0.124,0.867414321849887
5,1,6,0.06941596,0.02022613,0.09,0.629574911020079
5,1,7,0.02784633,0.06455536,0.092,0.643565464598303
5,1,8,0.04783252,0.07337149,0.121,0.846428491482551
5,1,9,0.04010262,0.08413905,0.124,0.867414321849887
5,1,10,0.06270602,0.07957438,0.142,0.993329304053903
5,1,11,0.05484118,0.01789283,0.073,0.510655205605175
5,1,12,0.08090786,0.06535888,0.146,1.02131041121035
5,1,13,0.06582544,0.04102587,0.107,0.748494616434983
5,1,14,0.07943598,0.04998448,0.129,0.902390705795447
5,1,15,0.0214844,0.07090722,0.092,0.643565464598303
5,1,16,0.02628063,0.06235923,0.089,0.622579634230967
5,1,17,0.03888203,0.06033269,0.099,0.692532402122087
5,1,18,0.07254335,0.07439742,0.147,1.02830568799946
5,1,19,0.05944241,0.06355604,0.123,0.860419045060775
5,1,20,0.07685253,0.03771201,0.115,0.804456830747879
5,1,21,0.07134004,0.03122965,0.103,0.720513509278535
5,1,22,0.05083315,0.07175011,0.123,0.860419045060775
5,1,23,0.05024197,0.06458211,0.115,0.804456830747879
5,1,24,0.07976667,0.04676871,0.127,0.888400152217223
5,1,25,0.05767056,0.03237032,0.09,0.629574911020079
5,1,26,0.035063,0.05756483,0.093,0.650560741387415
5,1,27,0.06441128,0.06315918,0.128,0.895395429006335
5,1,28,0.05092398,0.07439742,0.125,0.874409598638999
5,1,29,0.03125143,0.08120878,0.112,0.783471000380543
5,1,30,0.07159177,0.06012832,0.132,0.923376536162783
5,1,31,0.05530347,0.03126297,0.087,0.608589080652743
5,1,32,0.03981417,0.08120878,0.121,0.846428491482551
5,1,33,0.08413905,0.02909086,0.113,0.790466277169655
5,1,34,0.08413905,0.02200106,0.106,0.741499339645871
5,1,35,0.03049995,0.07957438,0.11,0.769480446802319
5,1,36,0.08413905,0.06613763,0.15,1.0492915183668
5,1,37,0.0697758,0.03237032,0.102,0.713518232489423
5,1,38,0.07892106,0.04986328,0.129,0.902390705795447
5,1,39,0.06833212,0.07957438,0.148,1.03530096478857
5,1,40,0.06890532,0.07153254,0.14,0.979338750475679
5,1,41,0.01675532,0.06628999,0.083,0.580607973496295
5,1,42,0.03646968,0.0750991,0.112,0.783471000380543
5,1,43,0.04727818,0.07439742,0.122,0.853423768271663
5,1,44,0.07907544,0.05795938,0.137,0.958352920108343
5,1,45,0.07892106,0.05717728,0.136,0.951357643319231
5,1,46,0.07907544,0.02837633,0.107,0.748494616434983
5,1,47,0.07892106,0.04110354,0.12,0.839433214693439
5,1,48,0.05414839,0.06341745,0.118,0.825442661115215
5,1,49,0.07908447,0.01989545,0.099,0.692532402122087
5,1,50,0.03010499,0.08120878,0.111,0.776475723591431
5,2,1,0.05246701,0.06123829,0.114,0.797461553958767
5,2,2,0.03178028,0.07140785,0.103,0.720513509278535
5,2,3,0.06540993,0.03735026,0.103,0.720513509278535
5,2,4,0.02889215,0.05816452,0.087,0.608589080652743
5,2,5,0.02976153,0.0619217,0.092,0.643565464598303
5,2,6,0.02141795,0.04089002,0.062,0.433707160924943
5,2,7,0.0166292,0.0634181,0.08,0.559622143128959
5,2,8,0.06482441,0.02234356,0.087,0.608589080652743
5,2,9,0.06789875,0.00968649,0.078,0.545631589550735
5,2,10,0.03408443,0.07213521,0.106,0.741499339645871
5,2,11,0.0148968,0.08142216,0.096,0.671546571754751
5,2,12,0.05436576,0.07605158,0.13,0.909385982584559
5,2,13,0.07241193,0.03942279,0.112,0.783471000380543
5,2,14,0.06307808,0.04787449,0.111,0.776475723591431
5,2,15,0.01720484,0.04039887,0.058,0.405726053768496
5,2,16,0.0589024,0.05627454,0.115,0.804456830747879
5,2,17,0.01853414,0.03988186,0.058,0.405726053768496
5,2,18,0.05765491,0.07990132,0.138,0.965348196897455
5,2,19,0.0594539,0.0296069,0.089,0.622579634230967
5,2,20,0.03558678,0.0706923,0.106,0.741499339645871
5,2,21,0.04051846,0.07319207,0.114,0.797461553958767
5,2,22,0.04753526,0.01332316,0.061,0.426711884135831
5,2,23,0.07349315,0.05505131,0.129,0.902390705795447
5,2,24,0.06588917,0.02120771,0.087,0.608589080652743
5,2,25,0.02407605,0.06143288,0.086,0.601593803863631
5,2,26,0.05025453,0.05258394,0.103,0.720513509278535
5,2,27,0.05462052,0.01513719,0.07,0.489669375237839
5,2,28,0.03818048,0.06895095,0.107,0.748494616434983
5,2,29,0.05315482,0.07312301,0.126,0.881404875428111
5,2,30,0.06557277,0.02761956,0.093,0.650560741387415
5,2,31,0.0257012,0.06318356,0.089,0.622579634230967
5,2,32,0.07907544,0.02077503,0.1,0.699527678911199
5,2,33,0.05886359,0.01831409,0.077,0.538636312761623
5,2,34,0.02593253,0.01879858,0.045,0.31478745551004
5,2,35,0.05639269,0.04828556,0.105,0.734504062856759
5,2,36,0.0266552,0.05561364,0.082,0.573612696707183
5,2,37,0.06465347,0.07205055,0.137,0.958352920108343
5,2,38,0.04299103,0.06984792,0.113,0.790466277169655
5,2,39,0.07907544,0.02258494,0.102,0.713518232489423
5,2,40,0.07892106,0.07926556,0.158,1.10525373267969
5,2,41,0.07892106,0.06318246,0.142,0.993329304053903
5,2,42,0.04429908,0.07888586,0.123,0.860419045060775
5,2,43,0.05523115,0.05981047,0.115,0.804456830747879
5,2,44,0.05668607,0.01471163,0.071,0.496664652026951
5,2,45,0.07892106,0.0138078,0.093,0.650560741387415
5,2,46,0.04335793,0.04428775,0.088,0.615584357441855
5,2,47,0.05123653,0.04631402,0.098,0.685537125332975
5,2,48,0.07892106,0.07889486,0.158,1.10525373267969
5,2,49,0.05985324,0.05866435,0.119,0.832437937904327
5,2,50,0.07156166,0.04300107,0.115,0.804456830747879
5,3,1,0.03285563,0.07710682,0.11,0.769480446802319
5,3,2,0.03931205,0.05850757,0.098,0.685537125332975
5,3,3,0.06348859,0.06889185,0.132,0.923376536162783
5,3,4,0.01397576,0.06487654,0.079,0.552626866339847
5,3,5,0.06679131,0.0608798,0.128,0.895395429006335
5,3,6,0.06223113,0.02325948,0.085,0.594598527074519
5,3,7,0.05886148,0.0652763,0.124,0.867414321849887
5,3,8,0.0646741,0.04108142,0.106,0.741499339645871
5,3,9,0.06062558,0.01300585,0.074,0.517650482394287
5,3,10,0.02405918,0.0677299,0.092,0.643565464598303
5,3,11,0.0652495,0.05865758,0.124,0.867414321849887
5,3,12,0.08047124,0.00315889,0.084,0.587603250285407
5,3,13,0.05754518,0.05649303,0.114,0.797461553958767
5,3,14,0.05036276,0.06744311,0.118,0.825442661115215
5,3,15,0.04465604,0.06348222,0.108,0.755489893224095
5,3,16,0.02683634,0.07989088,0.107,0.748494616434983
5,3,17,0.02784814,0.06539903,0.093,0.650560741387415
5,3,18,0.04448882,0.07092688,0.115,0.804456830747879
5,3,19,0.01941565,0.072338,0.092,0.643565464598303
5,3,20,0.02207319,0.0770021,0.099,0.692532402122087
5,3,21,0.01798977,0.05104589,0.069,0.482674098448727
5,3,22,0.05716789,0.02728866,0.084,0.587603250285407
5,3,23,0.03895879,0.06711551,0.106,0.741499339645871
5,3,24,0.02050489,0.06818392,0.089,0.622579634230967
5,3,25,0.05830827,0.02942816,0.088,0.615584357441855
5,3,26,0.07237584,0.06238427,0.135,0.944362366530119
5,3,27,0.06696797,0.03086452,0.098,0.685537125332975
5,3,28,0.02127042,0.06100009,0.082,0.573612696707183
5,3,29,0.06563321,0.00970069,0.075,0.524645759183399
5,3,30,0.04100211,0.07989332,0.121,0.846428491482551
5,3,31,0.06067179,0.07989332,0.141,0.986334027264791
5,3,32,0.03335286,0.07989332,0.113,0.790466277169655
5,3,33,0.0207099,0.07989332,0.101,0.706522955700311
5,3,34,0.03342088,0.07989332,0.113,0.790466277169655
5,3,35,0.05863121,0.07989332,0.139,0.972343473686567
5,3,36,0.04486768,0.07989332,0.125,0.874409598638999
5,3,37,0.05502183,0.00509771,0.06,0.41971660734672
5,3,38,0.05725457,0.07989332,0.137,0.958352920108343
5,3,39,0.03351618,0.07989332,0.113,0.790466277169655
5,3,40,0.05863121,0.07989332,0.139,0.972343473686567
5,3,41,0.02288475,0.07989332,0.103,0.720513509278535
5,3,42,0.04691563,0.07989332,0.127,0.888400152217223
5,3,43,0.05538091,0.07989332,0.135,0.944362366530119
5,3,44,0.04091164,0.07989332,0.121,0.846428491482551
5,3,45,0.03265654,0.07989332,0.113,0.790466277169655
5,3,46,0.06823483,0.05235803,0.121,0.846428491482551
5,3,47,0.03105185,0.07989332,0.111,0.776475723591431
5,3,48,0.05863121,0.07989332,0.139,0.972343473686567
5,3,49,0.03415061,0.07989332,0.114,0.797461553958767
5,3,50,0.05999827,0.07989332,0.14,0.979338750475679
5,4,1,0.05030372,0.05586009,0.106,0.741499339645871
5,4,2,0.04917098,0.04880476,0.098,0.685537125332975
5,4,3,0.0553099,0.05926174,0.115,0.804456830747879
5,4,4,0.06119056,0.02765585,0.089,0.622579634230967
5,4,5,0.03113288,0.0683187,0.099,0.692532402122087
5,4,6,0.02660895,0.07243529,0.099,0.692532402122087
5,4,7,0.04449332,0.0592599,0.104,0.727508786067647
5,4,8,0.06108985,0.03620352,0.097,0.678541848543863
5,4,9,0.05709172,0.04747313,0.105,0.734504062856759
5,4,10,0.07125104,0.01298137,0.084,0.587603250285407
5,4,11,0.02433927,0.04472674,0.069,0.482674098448727
5,4,12,0.04813959,0.03302792,0.081,0.566617419918071
5,4,13,0.07008537,0.053333,0.123,0.860419045060775
5,4,14,0.03912535,0.07805011,0.117,0.818447384326103
5,4,15,0.06101901,0.03852342,0.1,0.699527678911199
5,4,16,0.06289332,0.05593439,0.119,0.832437937904327
5,4,17,0.04364912,0.02214944,0.066,0.461688268081392
5,4,18,0.07805011,0.06423412,0.142,0.993329304053903
5,4,19,0.02649129,0.04142943,0.068,0.475678821659616
5,4,20,0.0464505,0.07945899,0.126,0.881404875428111
5,4,21,0.04459118,0.0681677,0.113,0.790466277169655
5,4,22,0.06347622,0.03529316,0.099,0.692532402122087
5,4,23,0.03970097,0.06010988,0.1,0.699527678911199
5,4,24,0.06604227,0.03733383,0.103,0.720513509278535
5,4,25,0.08359918,0.0616269,0.145,1.01431513442124
5,4,26,0.06727501,0.02465649,0.092,0.643565464598303
5,4,27,0.07805011,0.05655864,0.135,0.944362366530119
5,4,28,0.07805011,0.02226447,0.1,0.699527678911199
5,4,29,0.02763583,0.07762452,0.105,0.734504062856759
5,4,30,0.01786086,0.08413905,0.102,0.713518232489423
5,4,31,0.03441204,0.04058253,0.075,0.524645759183399
5,4,32,0.047779,0.02735623,0.075,0.524645759183399
5,4,33,0.07013078,0.01087745,0.081,0.566617419918071
5,4,34,0.02522359,0.07690558,0.102,0.713518232489423
5,4,35,0.07662396,0.06421257,0.141,0.986334027264791
5,4,36,0.04797351,0.07571109,0.124,0.867414321849887
5,4,37,0.05066578,0.07571109,0.126,0.881404875428111
5,4,38,0.07805011,0.05398502,0.132,0.923376536162783
5,4,39,0.07805011,0.07736221,0.155,1.08426790231236
5,4,40,0.07805011,0.04767228,0.126,0.881404875428111
5,4,41,0.07805011,0.05130456,0.129,0.902390705795447
5,4,42,0.07805011,0.07736221,0.155,1.08426790231236
5,4,43,0.07805011,0.04953222,0.128,0.895395429006335
5,4,44,0.07805011,0.07736221,0.155,1.08426790231236
5,4,45,0.07805011,0.06058541,0.139,0.972343473686567
5,4,46,0.07805011,0.04927876,0.127,0.888400152217223
5,4,47,0.07805011,0.05197974,0.13,0.909385982584559
5,4,48,0.07805011,0.07736221,0.155,1.08426790231236
5,4,49,0.07805011,0.07736221,0.155,1.08426790231236
5,4,50,0.07805011,0.07736221,0.155,1.08426790231236
5,5,1,0.01358812,0.06630825,0.08,0.559622143128959
5,5,2,0.05074341,0.07805011,0.129,0.902390705795447
5,5,3,0.06238427,0.04196236,0.104,0.727508786067647
5,5,4,0.05442819,0.0750294,0.129,0.902390705795447
5,5,5,0.07457905,0.05901995,0.134,0.937367089741007
5,5,6,0.07103529,0.02587841,0.097,0.678541848543863
5,5,7,0.02145446,0.06395481,0.085,0.594598527074519
5,5,8,0.07483518,0.04433843,0.119,0.832437937904327
5,5,9,0.02120185,0.05915165,0.08,0.559622143128959
5,5,10,0.06240583,0.04536299,0.108,0.755489893224095
5,5,11,0.03201381,0.06304324,0.095,0.664551294965639
5,5,12,0.04533202,0.04714751,0.092,0.643565464598303
5,5,13,0.06742788,0.02324128,0.091,0.636570187809191
5,5,14,0.04437172,0.07834305,0.123,0.860419045060775
5,5,15,0.06066697,0.03635337,0.097,0.678541848543863
5,5,16,0.07892106,0.03646477,0.115,0.804456830747879
5,5,17,0.07907165,0.01907676,0.098,0.685537125332975
5,5,18,0.06365011,0.04069977,0.104,0.727508786067647
5,5,19,0.08085981,0.02485761,0.106,0.741499339645871
5,5,20,0.03539834,0.07798499,0.113,0.790466277169655
5,5,21,0.04270495,0.03244054,0.075,0.524645759183399
5,5,22,0.07880955,0.06511991,0.144,1.00731985763213
5,5,23,0.06154563,0.01810999,0.08,0.559622143128959
5,5,24,0.03264385,0.06546968,0.098,0.685537125332975
5,5,25,0.07831631,0.08425448,0.163,1.14023011662525
5,5,26,0.03687126,0.06810557,0.105,0.734504062856759
5,5,27,0.03040844,0.08425448,0.115,0.804456830747879
5,5,28,0.0750991,0.04243133,0.118,0.825442661115215
5,5,29,0.07880955,0.0435288,0.122,0.853423768271663
5,5,30,0.05254948,0.07763459,0.13,0.909385982584559
5,5,31,0.0434439,0.04150739,0.085,0.594598527074519
5,5,32,0.0750991,0.03489371,0.11,0.769480446802319
5,5,33,0.07439742,0.05987981,0.134,0.937367089741007
5,5,34,0.0718428,0.01200651,0.084,0.587603250285407
5,5,35,0.0731299,0.05779391,0.131,0.916381259373671
5,5,36,0.08505257,0.03836463,0.123,0.860419045060775
5,5,37,0.06821943,0.04732553,0.116,0.811452107536991
5,5,38,0.08085981,0.04665193,0.128,0.895395429006335
5,5,39,0.0750991,0.06810557,0.143,1.00032458084301
5,5,40,0.07151788,0.06810557,0.14,0.979338750475679
5,5,41,0.0750991,0.04878762,0.124,0.867414321849887
5,5,42,0.0750991,0.04810817,0.123,0.860419045060775
5,5,43,0.0750991,0.06810557,0.143,1.00032458084301
5,5,44,0.08719169,0.05787666,0.145,1.01431513442124
5,5,45,0.08505257,0.02355364,0.109,0.762485170013207
5,5,46,0.0750991,0.06810557,0.143,1.00032458084301
5,5,47,0.0750991,0.06810557,0.143,1.00032458084301
5,5,48,0.0750991,0.06810557,0.143,1.00032458084301
5,5,49,0.0683477,0.06810557,0.136,0.951357643319231
5,5,50,0.0750991,0.06810557,0.143,1.00032458084301
5,6,1,0.03271346,0.05684739,0.09,0.629574911020079
5,6,2,0.04428737,0.06379733,0.108,0.755489893224095
5,6,3,0.02000194,0.07834305,0.098,0.685537125332975
5,6,4,0.08562832,0.01565278,0.101,0.706522955700311
5,6,5,0.07949974,0.0416657,0.121,0.846428491482551
5,6,6,0.06684156,0.03266164,0.1,0.699527678911199
5,6,7,0.05420967,0.02975499,0.084,0.587603250285407
5,6,8,0.06663514,0.05420199,0.121,0.846428491482551
5,6,9,0.04679117,0.04883615,0.096,0.671546571754751
5,6,10,0.00707855,0.07374347,0.081,0.566617419918071
5,6,11,0.05961053,0.03757564,0.097,0.678541848543863
5,6,12,0.06495711,0.02463526,0.09,0.629574911020079
5,6,13,0.00438915,0.07335135,0.078,0.545631589550735
5,6,14,0.0287107,0.07428127,0.103,0.720513509278535
5,6,15,0.04307724,0.06442548,0.108,0.755489893224095
5,6,16,0.07088954,0.01720484,0.088,0.615584357441855
5,6,17,0.02507086,0.07297753,0.098,0.685537125332975
5,6,18,0.07132197,0.03486227,0.106,0.741499339645871
5,6,19,0.06224744,0.02787286,0.09,0.629574911020079
5,6,20,0.04236335,0.06476682,0.107,0.748494616434983
5,6,21,0.03907731,0.02013579,0.059,0.412721330557608
5,6,22,0.08102773,0.0243892,0.105,0.734504062856759
5,6,23,0.0728028,0.07798499,0.151,1.05628679515591
5,6,24,0.04978071,0.03439292,0.084,0.587603250285407
5,6,25,0.02754404,0.05979385,0.087,0.608589080652743
5,6,26,0.06796848,0.06318849,0.131,0.916381259373671
5,6,27,0.05932649,0.07699743,0.136,0.951357643319231
5,6,28,0.02498981,0.07060372,0.096,0.671546571754751
5,6,29,0.07132197,0.04399242,0.115,0.804456830747879
5,6,30,0.03598785,0.07417944,0.11,0.769480446802319
5,6,31,0.08102773,0.05479652,0.136,0.951357643319231
5,6,32,0.08102773,0.04265128,0.124,0.867414321849887
5,6,33,0.07682128,0.07767805,0.154,1.07727262552325
5,6,34,0.08102773,0.04045063,0.121,0.846428491482551
5,6,35,0.05542754,0.0598735,0.115,0.804456830747879
5,6,36,0.07983844,0.03070597,0.111,0.776475723591431
5,6,37,0.07940053,0.07335135,0.153,1.07027734873413
5,6,38,0.08102773,0.03050432,0.112,0.783471000380543
5,6,39,0.08102773,0.03107336,0.112,0.783471000380543
5,6,40,0.08102773,0.07220748,0.153,1.07027734873413
5,6,41,0.08102773,0.06914072,0.15,1.0492915183668
5,6,42,0.07940053,0.07335135,0.153,1.07027734873413
5,6,43,0.08102773,0.06232706,0.143,1.00032458084301
5,6,44,0.05214029,0.06738574,0.12,0.839433214693439
5,6,45,0.08102773,0.0348421,0.116,0.811452107536991
5,6,46,0.08102773,0.03935848,0.12,0.839433214693439
5,6,47,0.08102773,0.03291628,0.114,0.797461553958767
5,6,48,0.08102773,0.04418009,0.125,0.874409598638999
5,6,49,0.08102773,0.030524,0.112,0.783471000380543
5,6,50,0.08102773,0.06164285,0.143,1.00032458084301
5,7,1,0.03394726,0.05266412,0.087,0.608589080652743
5,7,2,0.05354591,0.03030067,0.084,0.587603250285407
5,7,3,0.0355678,0.06452954,0.1,0.699527678911199
5,7,4,0.04608194,0.02404425,0.07,0.489669375237839
5,7,5,0.01736802,0.07670589,0.094,0.657556018176527
5,7,6,0.03330073,0.07173254,0.105,0.734504062856759
5,7,7,0.03874289,0.04069948,0.079,0.552626866339847
5,7,8,0.03226666,0.04867497,0.081,0.566617419918071
5,7,9,0.0209052,0.05874795,0.08,0.559622143128959
5,7,10,0.02816761,0.0604394,0.089,0.622579634230967
5,7,11,0.05290192,0.0462169,0.099,0.692532402122087
5,7,12,0.02601674,0.06830438,0.094,0.657556018176527
5,7,13,0.05432305,0.00504323,0.059,0.412721330557608
5,7,14,0.04806964,0.03804389,0.086,0.601593803863631
5,7,15,0.07989332,0.05024381,0.13,0.909385982584559
5,7,16,0.05894866,0.02814586,0.087,0.608589080652743
5,7,17,0.05789625,0.06623959,0.124,0.867414321849887
5,7,18,0.02589509,0.05580166,0.082,0.573612696707183
5,7,19,0.0753506,0.06421969,0.14,0.979338750475679
5,7,20,0.05320133,0.0418465,0.095,0.664551294965639
5,7,21,0.06135319,0.01712751,0.078,0.545631589550735
5,7,22,0.01597352,0.07597815,0.092,0.643565464598303
5,7,23,0.03072142,0.06199576,0.093,0.650560741387415
5,7,24,0.04661286,0.08003895,0.127,0.888400152217223
5,7,25,0.0755576,0.0401061,0.116,0.811452107536991
5,7,26,0.0492363,0.05110536,0.1,0.699527678911199
5,7,27,0.05990229,0.06046044,0.12,0.839433214693439
5,7,28,0.0216856,0.05520102,0.077,0.538636312761623
5,7,29,0.03932063,0.07831631,0.118,0.825442661115215
5,7,30,0.07552844,0.03589371,0.111,0.776475723591431
5,7,31,0.06046581,0.03872618,0.099,0.692532402122087
5,7,32,0.03679826,0.07184386,0.109,0.762485170013207
5,7,33,0.02523687,0.07239113,0.098,0.685537125332975
5,7,34,0.04827195,0.07831631,0.127,0.888400152217223
5,7,35,0.08425448,0.0351696,0.119,0.832437937904327
5,7,36,0.0761458,0.05812074,0.134,0.937367089741007
5,7,37,0.05938977,0.03670786,0.096,0.671546571754751
5,7,38,0.05471295,0.07123814,0.126,0.881404875428111
5,7,39,0.07240169,0.0300233,0.102,0.713518232489423
5,7,40,0.07240169,0.05973245,0.132,0.923376536162783
5,7,41,0.05502849,0.06964079,0.125,0.874409598638999
5,7,42,0.07240169,0.06305459,0.135,0.944362366530119
