"arrayNumber";"simulation";"bout";"H2";"Q";"Qnorm"
1;1;1;0,0742031521472452;0,114656571119524;0,28494623655914
1;1;2;0,0764033543265075;0,116343490304709;0,32183908045977
1;1;3;0,644754678724236;0,4;0,833333333333333
1;1;4;0,028729888708985;0,117647058823529;0,242857142857143
1;1;5;1;0,486111111111111;1
1;1;6;1;0,36281179138322;1
1;1;7;0,146889044354208;0,204158790170132;0,415384615384615
1;1;8;0,419692870256627;0,13840830449827;0,551724137931034
1;1;9;0;0,2;0,533333333333333
1;1;10;0,163070121084996;0,283950617283951;0,575
1;1;11;0,135278731003682;0,1875;0,4
1;1;12;0,492944172380136;0,3136;0,777777777777778
1;1;13;0,0163158777369655;0,0555555555555556;0,142045454545455
1;1;14;1;0,495867768595041;1
1;1;15;1;0,487534626038781;1
1;1;16;0;0,149659863945578;0,317307692307692
1;1;17;0,0269557328886844;0,12962962962963;0,2625
1;1;18;0;0,0624717066545948;0,280487804878049
1;1;19;0,117511920055646;0,1859410430839;0,394230769230769
1;1;20;0,0402501748984841;0,136363636363636;0,272727272727273
1;1;21;0,586882671435719;0,311418685121107;0,75
1;1;22;0;0,266666666666667;0,555555555555555
1;1;23;0,00826951384305244;0,088727931190584;0,181481481481481
1;1;24;0,625349107297391;0,282548476454294;0,728571428571429
1;1;25;0,50999094973839;0,225;0,6
1;1;26;0,177248779178589;0,0583910034602076;0,435483870967742
1;1;27;0,0773368262081533;0,190476190476191;0,428571428571429
1;1;28;0,0685148643568965;0,0785246876859012;0,277310924369748
1;1;29;0,254532446484033;0,176899063475546;0,653846153846154
1;1;30;0;0,167800453514739;0,336363636363636
1;1;31;0,333333333333334;0,355029585798817;0,75
1;1;32;0,210309917857153;0,222222222222222;0,5
1;1;33;0,418028484376156;0,118976799524093;0,571428571428572
1;1;34;0,0495166895141375;0,133136094674556;0,428571428571429
1;1;35;0,333333333333334;0,355029585798817;0,75
1;1;36;0,408618047798841;0,117787031528852;0,55
1;1;37;0,38625344285713;0,27;0,642857142857143
1;1;38;0,227772281474609;0,116873630387144;0,516129032258065
1;1;39;0,185961963767419;0,246913580246914;0,615384615384616
1;1;40;0,775380080723331;0,332409972299169;0,857142857142857
1;1;41;0,195605473311287;0,127551020408163;0,434782608695652
1;1;42;0,6;0,355555555555556;0,8
1;1;43;0,431374222662581;0,137345679012346;0,574193548387097
1;1;44;0,338004464206615;0,0854608976081698;0,578181818181818
1;1;45;0,333333333333333;0,275;0,733333333333333
1;1;46;0,259795222585336;0,254847645429363;0,547619047619048
1;1;47;0,17376534287144;0,207612456747405;0,5
1;1;48;0,65246931425712;0,346020761245675;0,833333333333333
1;1;49;0,459692808027789;0,104591836734694;0,643137254901961
1;1;50;0,228443826320528;0,266666666666667;0,6
1;2;1;0,0726567211369932;0,0968858131487889;0,296296296296296
1;2;2;0,00519878266997087;0,0532761015023355;0,109043927648579
1;2;3;0,438478403242736;0,214030915576694;0,75
1;2;4;1;0,498614958448753;1
1;2;5;0,111754267102404;0,207612456747405;0,428571428571429
1;2;6;0,214693855652093;0,0961196155215379;0,574468085106383
1;2;7;1;0,473372781065089;1
1;2;8;0,00756165701686152;0,0958024691358025;0,327702702702703
1;2;9;0,327558364433161;0,247933884297521;0,705882352941176
1;2;10;0,18022751737394;0,0886965927528394;0,369369369369369
1;2;11;0,158475890780084;0,111604938271605;0,424812030075188
1;2;12;0,0758595034121254;0,110192837465565;0,277777777777778
1;2;13;0,148546914290054;0,123309897241752;0,345454545454545
1;2;14;0;0,296296296296296;0,666666666666667
1;2;15;0,271096611167892;0,234567901234568;0,475
1;2;16;0,161449463562941;0,142857142857143;0,380952380952381
1;2;17;0;0,347222222222222;0,714285714285714
1;2;18;0,0816526031825053;0,149584487534626;0,5625
1;2;19;0,0285246477945375;0,123662306777646;0,254901960784314
1;2;20;0,0928254738593233;0,166666666666667;0,444444444444444
1;2;21;0,42554454071134;0,266389177939646;0,609523809523809
1;2;22;0,333333333333334;0,3;0,714285714285714
1;2;23;0,215791443746611;0,222222222222222;0,5
1;2;24;0,134677917453996;0,244897959183673;0,6
1;2;25;0,288409826603785;0,23046875;0,561904761904762
1;2;26;0;0,333333333333333;0,666666666666667
1;2;27;0,377632700113378;0,22189349112426;0,714285714285714
1;2;28;0,510789636745012;0,304709141274238;0,785714285714286
1;2;29;0;0,413223140495868;0,833333333333333
1;2;30;0;0,347222222222222;0,714285714285714
1;2;31;NA;0,5;1
1;2;32;0;0,413223140495868;0,833333333333333
1;2;33;0;0,347222222222222;0,714285714285714
1;2;34;0;0,413223140495868;0,833333333333333
1;2;35;0,327558364433161;0,247933884297521;0,705882352941176
1;2;36;0,18596196376742;0,246913580246914;0,615384615384615
1;2;37;1;0,486111111111111;1
1;2;38;0;0,413223140495868;0,833333333333333
1;2;39;0;0,347222222222222;0,714285714285714
1;2;40;0;0,413223140495868;0,833333333333333
1;2;41;0;0,413223140495868;0,833333333333333
1;2;42;0,55788589130226;0,3125;0,727272727272727
1;2;43;0;0,347222222222222;0,714285714285714
1;2;44;0;0,413223140495868;0,833333333333333
1;2;45;0,6;0,3515625;0,818181818181818
1;2;46;0;0,413223140495868;0,833333333333333
1;2;47;0;0,413223140495868;0,833333333333333
1;2;48;0,228443826320528;0,266666666666667;0,6
1;2;49;0;0,413223140495868;0,833333333333333
1;2;50;0;0,413223140495868;0,833333333333333
1;3;1;0,436344274382026;0,192307692307692;0,619047619047619
1;3;2;0,0347560136659286;0,103550882761357;0,209134615384615
1;3;3;0,102206987061875;0,14268727705113;0,303030303030303
1;3;4;1;0,473372781065089;1
1;3;5;1;0,495867768595041;1
1;3;6;0,19755344292887;0,104166666666667;0,487804878048781
1;3;7;1;0,48;1
1;3;8;0,69342640361727;0,398891966759003;0,818181818181818
1;3;9;1;0,4921875;1
1;3;10;0,0341747040526309;0,0891295293627655;0,191756272401434
1;3;11;0,0334021537243216;0,08;0,461538461538462
1;3;12;0,120579873949381;0,160714285714286;0,428571428571429
1;3;13;0,090237419300692;0,101224489795918;0,245059288537549
1;3;14;0,0337537864851562;0,14792899408284;0,303030303030303
1;3;15;0,277117257832166;0,246913580246914;0,535714285714286
1;3;16;0;0,114795918367347;0,391304347826087
1;3;17;1;0,495867768595041;1
1;3;18;0,0444737227447328;0,124567474048443;0,428571428571429
1;3;19;0;0,284023668639053;0,571428571428572
1;3;20;1;0,285374554102259;1
1;3;21;0;0,171745152354571;0,352272727272727
1;3;22;0,142857142857143;0,140625;0,36
1;3;23;0;0,149659863945578;0,366666666666667
1;3;24;0,0529201095237973;0,16;0,5
1;3;25;0,179013646327023;0,141519250780437;0,404761904761905
1;3;26;0,122633513729119;0,183813443072702;0,380681818181818
1;3;27;0;0,122448979591837;0,259615384615385
1;3;28;0,0894273289421794;0,142011834319527;0,3
1;3;29;0;0,234375;0,545454545454545
1;3;30;0,140206611904769;0,166204986149584;0,384615384615385
1;3;31;0,241900337650382;0,225921521997622;0,527777777777778
1;3;32;0;0,0867768595041322;0,2
1;3;33;0,204781858345795;0,189349112426035;0,380952380952381
1;3;34;0,148040955482932;0,222222222222222;0,45
1;3;35;0,18596196376742;0,246913580246914;0,615384615384615
1;3;36;0;0,166204986149584;0,384615384615385
1;3;37;0,140615159082961;0,166089965397924;0,615384615384615
1;3;38;0,235023840111292;0,158730158730159;0,357142857142857
1;3;39;0,228443826320528;0,293333333333333;0,611111111111111
1;3;40;0,4;0,311111111111111;0,7
1;3;41;0,612309959638335;0,308641975308642;0,769230769230769
1;3;42;0,4;0,311111111111111;0,7
1;3;43;0,322228111360651;0,11875;0,542857142857143
1;3;44;0,6;0,355555555555556;0,8
1;3;45;0,5;0,357142857142857;0,777777777777778
1;3;46;0,456887652641057;0,346666666666667;0,722222222222222
1;3;47;1;0,495867768595041;1
1;3;48;0;0,234375;0,545454545454545
1;3;49;0;0,244897959183674;0,5
1;3;50;0,304938628514241;0,277777777777778;0,692307692307692
1;4;1;1;0,473372781065089;1,14285714285714
1;4;2;0,2;0,190972222222222;0,578947368421053
1;4;3;0,088509936714158;0,0905612244897959;0,293388429752066
1;4;4;0;0,0707596253902185;0,653846153846154
1;4;5;0,00127559906703277;0,078125;0,256410256410256
1;4;6;0,141498880836998;0,1312;0,3203125
1;4;7;0;0,221606648199446;0,571428571428572
1;4;8;0;0,1;0,266666666666667
1;4;9;0;0,185185185185185;0,38961038961039
1;4;10;0,0396325916722834;0,109375;0,233333333333333
1;4;11;0,65120259025075;0,216682056017236;0,916666666666667
1;4;12;0,0631931321363074;0,116545265348595;0,239316239316239
1;4;13;0,0832593959273294;0,09375;0,284210526315789
1;4;14;0,0342560625241965;0,0509090909090909;0,261904761904762
1;4;15;0,186710166496324;0,204081632653061;0,5
1;4;16;0,0707382303816615;0,106666666666667;0,272727272727273
1;4;17;0,200446607878149;0,272727272727273;0,55
1;4;18;0,0862246947178846;0,125;0,290909090909091
1;4;19;0,189291327506538;0,211652794292509;0,449494949494949
1;4;20;0;0,138504155124654;0,297619047619048
1;4;21;0,0908137876745207;0,1015625;0,297142857142857
1;4;22;1;0,486111111111111;1
1;4;23;0,115974888551809;0,164609053497942;0,476190476190476
1;4;24;0,0400369871338845;0,170138888888889;0,342657342657343
1;4;25;0;0,16;0,333333333333333
1;4;26;0;0,357142857142857;0,714285714285714
1;4;27;0,50999094973839;0,296296296296296;0,666666666666667
1;4;28;0,0486717248930347;0,162570888468809;0,42156862745098
1;4;29;0,093966361150404;0,192;0,4
1;4;30;1;0,497777777777778;1
1;4;31;0,219002130402278;0,21875;0,529411764705882
1;4;32;0;0,166204986149584;0,428571428571429
1;4;33;0;0,0808080808080808;0,169230769230769
1;4;34;0,21003956871555;0,076;0,441860465116279
1;4;35;0;0,15916955017301;0,319444444444444
1;4;36;0,272723377888559;0,150891632373114;0,5
1;4;37;0;0,055363321799308;0,153846153846154
1;4;38;0,55329013918482;0,257088846880907;0,666666666666667
1;4;39;0,228443826320529;0,26530612244898;0,577777777777778
1;4;40;0,6;0,355555555555556;0,8
1;4;41;0,481173504639284;0,275;0,733333333333333
1;4;42;0,169422317308515;0,183673469387755;0,421052631578947
1;4;43;0;0,413223140495868;0,833333333333333
1;4;44;0,228443826320528;0,266666666666667;0,6
1;4;45;0,723458849848296;0,302457466918715;0,888888888888889
1;4;46;0,304938628514239;0,277008310249307;0,714285714285714
1;4;47;0,55788589130226;0,34375;0,733333333333333
1;4;48;NA;0,5;1
1;4;49;0;0,29585798816568;0,625
1;4;50;0,75;0,408163265306122;0,888888888888889
1;5;1;0,0941297651541403;0,121212121212121;0,272727272727273
1;5;2;0,0392248942295518;0,138888888888889;0,3125
1;5;3;0,0814937004156149;0,0879017013232514;0,340659340659341
1;5;4;0,0995031535397166;0,107142857142857;0,285714285714286
1;5;5;0,0632201725493669;0,09875;0,256493506493507
1;5;6;0,0386488375498901;0,0775;0,303921568627451
1;5;7;0;0,306122448979592;0,625
1;5;8;0,0788208940086797;0,0891161431701972;0,213286713286713
1;5;9;0,0419381945646371;0,162570888468809;0,358333333333333
1;5;10;0,256152144930321;0,277777777777778;0,692307692307693
1;5;11;0,128950935744847;0,191358024691358;0,402597402597403
1;5;12;0,0283281674815262;0,124869927159209;0,271493212669683
1;5;13;0;0,050701674966048;0,227642276422764
1;5;14;0;0,25;0,666666666666667
1;5;15;0,0958189639360588;0,166089965397924;0,342857142857143
1;5;16;0,1934080217158;0,166493236212279;0,380952380952381
1;5;17;0,0478594673622128;0,133174791914388;0,299465240641711
1;5;18;0;0,126984126984127;0,269230769230769
1;5;19;0,135667062516778;0,1640625;0,35
1;5;20;0;0,24;0,5
1;5;21;0,198333782123642;0,205761316872428;0,416666666666667
1;5;22;0,0610778603846552;0,128395061728395;0,26
1;5;23;0,0811413675821109;0,148760330578512;0,375
1;5;24;0,134608055467795;0,159779614325069;0,402777777777778
1;5;25;1;0,495867768595041;1
1;5;26;0;0,166666666666667;0,333333333333333
1;5;27;0;0,244897959183673;0,5
1;5;28;0;0,333333333333333;0,666666666666667
1;5;29;0,205752430154513;0,188271604938272;0,469230769230769
1;5;30;0,6;0,373333333333333;0,777777777777778
1;5;31;0,18596196376742;0,246913580246914;0,615384615384616
1;5;32;0,142857142857143;0,193771626297578;0,4
1;5;33;0,148040955482933;0,21606648199446;0,464285714285714
1;5;34;0;0,186851211072664;0,409090909090909
1;5;35;NA;0,5;1
1;5;36;0,124777186682996;0,137741046831956;0,535714285714286
1;5;37;0,24599701088503;0,163623082542001;0,391608391608392
1;5;38;0;0,166204986149584;0,384615384615385
1;5;39;0,122571746909032;0,0555555555555556;0,363636363636364
1;5;40;0,377863566412056;0,174817898022893;0,56
1;5;41;0,169378706816949;0,215;0,472527472527472
1;5;42;0,528591151831545;0,331360946745562;0,777777777777778
1;5;43;0,0409505446660064;0,100740740740741;0,265625
1;5;44;0;0,0865051903114187;0,297619047619048
1;5;45;0;0,347222222222222;0,714285714285714
1;5;46;0,228443826320528;0,266666666666667;0,6
1;5;47;0,17376534287144;0,207612456747405;0,5
1;5;48;0,6;0,3515625;0,818181818181818
1;5;49;0,633159781674395;0,4;0,833333333333333
1;5;50;0,800000000000001;0,435555555555555;0,875
1;6;1;1;0,484429065743945;1
1;6;2;1;0,444444444444444;1,06666666666667
1;6;3;0,296081910965865;0,222222222222222;0,5
1;6;4;0,0660477711117739;0,105889351576443;0,235449735449735
1;6;5;1;0,43213296398892;1
1;6;6;0,44211410869774;0,311418685121107;0,75
1;6;7;0,00490643360377304;0,061860876152001;0,157051282051282
1;6;8;0,00647498496973756;0,0466666666666667;0,19047619047619
1;6;9;0,079170869930075;0,126232741617357;0,274285714285714
1;6;10;0,609479651292763;0,275;0,733333333333333
1;6;11;0,387024197542117;0,165279429250892;0,709183673469388
1;6;12;1;0,486111111111111;1
1;6;13;0,387690040361665;0,246913580246914;0,615384615384616
1;6;14;0,789690082142847;0,4;0,9
1;6;15;0,038924936585768;0,1125;0,25
1;6;16;0,735409556021681;0,332179930795848;0,8
1;6;17;0,00435362936849187;0,0914285714285714;0,285714285714286
1;6;18;0,462108362512723;0,157439446366782;0,627586206896552
1;6;19;1;0,498614958448753;1
1;6;20;1;0,329861111111111;1
1;6;21;1;0,489795918367347;1
1;6;22;1;0,497777777777778;1
1;6;23;0,285448546592566;0,260416666666667;0,555555555555556
1;6;24;0,100129324777781;0,1728;0,397058823529412
1;6;25;0,0842057401518828;0,112244897959184;0,225641025641026
1;6;26;0,137639646658598;0,145061728395062;0,361538461538461
1;6;27;NA;0,5;1
1;6;28;0,52067640379871;0,102264426588751;0,811594202898551
1;6;29;0;0,4;0,8
1;6;30;0,132280246072287;0,162721893491124;0,523809523809524
1;6;31;0;0,253086419753086;0,532467532467533
1;6;32;0,0386927835916131;0,115384615384615;0,293233082706767
1;6;33;0;0,15625;0,473684210526316
1;6;34;0,174423981098247;0,0704;0,478260869565217
1;6;35;0,173564771624907;0,0855424370683894;0,524590163934426
1;6;36;0,673859757830008;0,339506172839506;0,846153846153846
1;6;37;0,13923186360582;0,144;0,45
1;6;38;0;0,135802469135802;0,275
