"arrayNumber","simulation","bout","bee","similarityIndex"
1,1,1,1,0
1,1,1,2,0.28125
1,1,2,1,0.272727272727273
1,1,2,2,0.326086956521739
1,1,3,1,0.333333333333333
1,1,3,2,0.260869565217391
1,1,4,1,0
1,1,4,2,0
1,1,5,1,0.222222222222222
1,1,5,2,0.375
1,1,6,1,0.177777777777778
1,1,6,2,0.1875
1,1,7,1,0.5
1,1,7,2,0.333333333333333
1,1,8,1,0
1,1,8,2,0
1,1,9,1,0
1,1,9,2,0.295081967213115
1,1,10,1,0
1,1,10,2,0.344262295081967
1,1,11,1,0
1,1,11,2,0.266666666666667
1,1,12,1,0.25
1,1,12,2,0
1,1,13,1,0.25
1,1,13,2,0
1,1,14,1,0
1,1,14,2,0
1,1,15,1,0.204545454545455
1,1,15,2,0
1,1,16,1,0.404761904761905
1,1,16,2,0
1,1,17,1,0
1,1,17,2,0.16
1,1,18,1,0.428571428571429
1,1,18,2,0.19
1,1,19,1,0
1,1,19,2,0.142857142857143
1,1,20,1,0
1,1,20,2,0.4
1,1,21,1,0.470588235294118
1,1,21,2,0.28
1,1,22,1,0.382352941176471
1,1,22,2,0
1,1,23,1,0
1,1,23,2,0.157894736842105
1,1,24,1,0.239130434782609
1,1,24,2,0.333333333333333
1,1,25,1,0.239130434782609
1,1,25,2,0.6
1,1,26,1,0.230769230769231
1,1,26,2,0.25
1,1,27,1,0.25
1,1,27,2,0
1,1,28,1,0.285714285714286
1,1,28,2,0
1,1,29,1,0.291666666666667
1,1,29,2,0
1,1,30,1,0.1875
1,1,30,2,0.363636363636364
1,1,31,1,0
1,1,31,2,0.545454545454545
1,1,32,1,0
1,1,32,2,0.454545454545455
1,1,33,1,0
1,1,33,2,0.611111111111111
1,1,34,1,0
1,1,34,2,0
1,1,35,1,0.230769230769231
1,1,35,2,0
1,1,36,1,0
1,1,36,2,0.166666666666667
1,1,37,1,0.75
1,1,37,2,0.166666666666667
1,1,38,1,0.5
1,1,38,2,0.5
1,1,39,1,0.5
1,1,39,2,0.375
1,1,40,1,0.4
1,1,40,2,0.375
1,1,41,1,0.607142857142857
1,1,41,2,0.636363636363636
1,1,42,1,0.535714285714286
1,1,42,2,0.681818181818182
1,1,43,1,0.8
1,1,43,2,0.333333333333333
1,1,44,1,0.714285714285714
1,1,44,2,0.529411764705882
1,1,45,1,0.875
1,1,45,2,0.470588235294118
1,1,46,1,0.5
1,1,46,2,1
1,1,47,1,0.434782608695652
1,1,47,2,0.666666666666667
1,1,48,1,0.434782608695652
1,1,48,2,0.6875
1,1,49,1,0.5
1,1,49,2,0.8125
1,2,1,1,0.222222222222222
1,2,1,2,0
1,2,2,1,0.259259259259259
1,2,2,2,0
1,2,3,1,0.236842105263158
1,2,3,2,0
1,2,4,1,0
