simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,relative_quality,absolute_quality
0,0,0,0.8,2,0.00845957,0.30433107435768847
0,0,1,0.8,0,0.0,0.0
0,1,0,2.0677572751661724,2,0.00845957,0.30433107435768847
0,1,1,2.0677572751661724,3,0.0100398,0.3611794831576925
0,2,0,4.264822275061956,2,0.00240409,0.08648658177100907
0,2,1,4.264822275061956,4,0.00505638,0.18190210114234281
0,3,0,4.310098500243203,2,0.00845957,0.30433107435768847
0,3,1,4.310098500243203,4,0.00498862,0.17946445081277795
0,4,0,4.86887469854831,2,0.00845957,0.30433107435768847
0,4,1,4.86887469854831,4,0.00987599,0.3552864562910157
0,5,0,5.112383002317616,2,0.00845957,0.30433107435768847
0,5,1,5.112383002317615,4,0.01356475,0.48798874421435784
0,6,0,5.276966585560258,2,0.00845957,0.30433107435768847
0,6,1,5.276966585560259,4,0.00707221,0.2544211192038352
0,7,0,5.364629574917209,2,0.00845957,0.30433107435768847
0,7,1,5.364629574917208,4,0.01356475,0.48798874421435784
0,8,0,5.422709553104443,2,0.00845957,0.30433107435768847
0,8,1,5.422709553104443,4,0.00736163,0.26483293677146597
0,9,0,5.834562021052053,2,0.00845957,0.30433107435768847
0,9,1,5.834562021052053,5,0.01661915,0.5978700778422046
1,0,0,6.081673501820618,2,0.00845957,0.30433107435768847
1,0,1,6.081673501820618,5,0.01661915,0.5978700778422046
1,1,0,6.229940390281758,2,0.00845957,0.30433107435768847
1,1,1,6.229940390281758,5,0.01661915,0.5978700778422046
1,2,0,6.318900523358441,2,0.00845957,0.30433107435768847
1,2,1,6.318900523358441,5,0.01661915,0.5978700778422046
1,3,0,6.5566868362170965,3,0.00376937,0.1356022140311671
1,3,1,7.3709181846184,4,0.00429738,0.15459725167156763
1,4,0,6.159737695099587,3,0.0093805,0.33746131812991637
1,4,1,6.819955823926362,4,0.00429738,0.15459725167156763
1,5,0,6.229419289297246,3,0.0093805,0.33746131812991637
1,5,1,6.481933314998754,4,0.01027271,0.3695583665440406
1,6,0,6.455143636789859,3,0.00848099,0.3051016539040179
