simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,absolute_quality
0,0,0,,3,0.00376676
0,0,1,,4,0.00676323
0,1,0,,3,0.00605547
0,1,1,,4,0.01553119
0,2,0,,5,0.0213574
0,2,1,,3,0.0062646
0,3,0,,5,0.01715399
0,3,1,,4,0.00792413
0,4,0,,5,0.0213574
0,4,1,,3,0.00603009
0,5,0,,4,0.00684839
0,5,1,,5,0.02426748
0,6,0,,5,0.01715399
0,6,1,,4,0.01553119
0,7,0,,5,0.0213574
0,7,1,,3,0.00644402
0,8,0,,5,0.0213574
0,8,1,,3,0.00873629
0,9,0,,5,0.0213574
0,9,1,,3,0.00603549
0,10,0,,5,0.01715399
0,10,1,,4,0.01320178
0,11,0,,5,0.01715399
0,11,1,,4,0.00945213
0,12,0,,5,0.01715399
0,12,1,,3,0.00520672
0,13,0,,5,0.0213574
0,13,1,,4,0.00727959
0,14,0,,5,0.0213574
0,14,1,,3,0.01308678
0,15,0,,5,0.0213574
0,15,1,,3,0.01308678
0,16,0,,5,0.0213574
0,16,1,,3,0.01308678
0,17,0,,5,0.0213574
0,17,1,,3,0.01308678
0,18,0,,5,0.0213574
0,18,1,,3,0.01308678
0,19,0,,5,0.0213574
0,19,1,,4,0.00659219
0,20,0,,5,0.0213574
0,20,1,,4,0.00444124
0,21,0,,5,0.0213574
0,21,1,,4,0.00466117
0,22,0,,5,0.0213574
0,22,1,,4,0.00494812
0,23,0,,5,0.0213574
0,23,1,,4,0.00461461
0,24,0,,5,0.0213574
0,24,1,,4,0.00449803
0,25,0,,5,0.0213574
0,25,1,,5,0.00666305
0,26,0,,5,0.0213574
0,26,1,,5,0.01515205
0,27,0,,5,0.0213574
0,27,1,,5,0.01515205
0,28,0,,5,0.0213574
0,28,1,,5,0.01515205
0,29,0,,5,0.0213574
0,29,1,,5,0.01515205
1,0,0,,3,0.00451476
1,0,1,,5,0.01890652
1,1,0,,5,0.0146768
1,1,1,,5,0.0140298
1,2,0,,5,0.01178971
1,2,1,,5,0.01890652
1,3,0,,3,0.00915096
1,3,1,,5,0.01890652
1,4,0,,5,0.0092003
1,4,1,,5,0.01890652
1,5,0,,3,0.00513732
1,5,1,,5,0.01890652
1,6,0,,5,0.01270175
1,6,1,,5,0.0140298
1,7,0,,5,0.01703935
1,7,1,,5,0.0140298
1,8,0,,5,0.01425293
1,8,1,,5,0.01890652
1,9,0,,5,0.01425293
1,9,1,,5,0.01890652
1,10,0,,5,0.01703935
1,10,1,,5,0.0140298
1,11,0,,5,0.01703935
1,11,1,,5,0.0140298
1,12,0,,5,0.01425293
1,12,1,,5,0.01890652
1,13,0,,5,0.01425293
1,13,1,,5,0.01890652
1,14,0,,3,0.00909522
1,14,1,,5,0.01890652
1,15,0,,5,0.01703935
1,15,1,,5,0.0140298
1,16,0,,5,0.01703935
1,16,1,,5,0.01223556
1,17,0,,5,0.01703935
1,17,1,,5,0.0140298
1,18,0,,5,0.01703935
1,18,1,,5,0.0140298
1,19,0,,5,0.01703935
1,19,1,,3,0.00418467
1,20,0,,5,0.01425293
1,20,1,,5,0.01890652
1,21,0,,5,0.01425293
1,21,1,,5,0.01890652
1,22,0,,5,0.01703935
1,22,1,,5,0.0140298
1,23,0,,5,0.01425293
1,23,1,,5,0.01890652
1,24,0,,5,0.01703935
