simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,relative_quality,absolute_quality
0,0,0,2.7528886346163572,3,0.00751143,0.45121823752027396
0,0,1,2.7528886346163572,3,0.00339077,0.2036865501291524
0,1,0,4.179376234080502,1,0.0003019,0.018135399771730645
0,1,1,3.8372057344535513,5,0.01518599,0.9122358382891813
0,2,0,5.754391885027605,3,0.00278858,0.16751246470835587
0,2,1,6.813742122504218,4,0.00521867,0.3134901183396408
0,3,0,5.310351542539404,5,0.01323817,0.7952285697122605
0,3,1,6.221818243285799,2,0.00108143,0.06496245569772331
0,4,0,5.679823097751574,3,0.00453654,0.27251396648044696
0,4,1,5.707384237793308,4,0.00473805,0.2846188502432871
0,5,0,7.096878863846038,4,0.00448869,0.2696395746981438
0,5,1,6.59317251608109,3,0.002389,0.14350934102240645
0,6,0,6.086337660462181,1,0.00147705,0.08872769868444765
0,6,1,7.6144179284641735,5,0.00731463,0.4393962876193909
0,7,0,7.3101425911837525,4,0.01013111,0.6085847299813781
0,7,1,8.12024126646526,2,0.00102165,0.06137141827356281
0,8,0,8.625809254881842,3,0.00212736,0.12779239502613085
0,8,1,7.445197925687041,4,0.00908203,0.545565567369496
0,9,0,7.6115223231633475,4,0.00452103,0.27158226707514865
0,9,1,8.082707940953894,3,0.00250984,0.15076830660179014
1,0,0,8.3513371220658,4,0.00436649,0.26229891271700606
1,0,1,8.382758240401891,3,0.00471074,0.282978314411005
1,1,0,8.723322627779979,4,0.00527882,0.3171033819907491
1,1,1,8.813023136296774,3,0.00261821,0.15727818826214937
1,2,0,8.787071474262522,4,0.01013111,0.6085847299813781
1,2,1,9.234793339231004,3,0.00259992,0.1561794918003244
1,3,0,9.210021219593747,4,0.00488089,0.29319937526281015
1,3,1,9.990511939131613,3,0.00255248,0.1533297290803148
1,4,0,9.62203903977866,4,0.00696189,0.4182068841232655
1,4,1,9.552805663137043,3,0.00259333,0.155783624677119
1,5,0,9.414388833174959,3,0.00569875,0.3423289481588274
1,5,1,9.490039993484965,4,0.00402054,0.2415173905208146
1,6,0,9.42701426612851,3,0.00351008,0.21085360725656277
1,6,1,8.837652588186646,4,0.00380017,0.22827956989247314
1,7,0,9.278297405199693,3,0.00564931,0.33935904367153247
1,7,1,9.035243173647693,4,0.00376378,0.22609359043671534
1,8,0,9.066851947465498,3,0.00569875,0.3423289481588274
1,8,1,9.47135450241885,4,0.0041365,0.2484832101880219
1,9,0,9.15966222648852,4,0.00624014,0.3748507238541479
1,9,1,9.59849976271654,3,0.0024078,0.14463867363488916
2,0,0,8.957104648942456,4,0.00479081,0.2877881900642759
2,0,1,9.316433233899957,3,0.0021376,0.12840752087463206
2,1,0,9.167509333580643,4,0.01013111,0.6085847299813781
2,1,1,9.167509333580643,3,0.00398713,0.23951042229831204
2,2,0,9.270566722116214,4,0.00450857,0.27083378386496065
2,2,1,9.270566722116214,3,0.00705656,0.42389379467771976
2,3,0,10.02110821076846,3,0.00229523,0.13787649426323062
2,3,1,9.183785639057376,4,0.00462094,0.27758394905989064
2,4,0,9.620954152467704,3,0.00223802,0.13443983901003184
2,4,1,8.80575300609793,4,0.0041365,0.2484832101880219
2,5,0,9.129363930130548,3,0.0027059,0.16254580404877755
2,5,1,8.413610597199751,4,0.0038751,0.2327806812038205
2,6,0,8.39709425296147,3,0.00572959,0.34418153421036823
2,6,1,8.390949420723288,4,0.0042545,0.2555715744578603
2,7,0,8.550758510843627,3,0.00284863,0.17111972127109992
2,7,1,8.42903609052458,4,0.00551657,0.33138523457680064
2,8,0,8.416239188285145,3,0.00569875,0.3423289481588274
2,8,1,8.551940021396181,4,0.00428796,0.257581546224545
2,9,0,8.656251625442536,3,0.00250291,0.15035201537814624
2,9,1,8.33845809322074,4,0.00413325,0.2482879798161831
3,0,0,8.300860573585156,3,0.00572959,0.34418153421036823
3,0,1,8.37850128370028,4,0.0041365,0.2484832101880219
3,1,0,8.381488895455053,3,0.00469781,0.2822015978855049
