"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
1,1,1,1,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,2,5,3,2,6,3,4,1,0,0,0,0,0,0,0,0,0
1,3,1,1,2,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,1,2,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,1,2,3,4,5,2,3,1,0,0,0,0,0,0,0,0,0,0
1,6,1,1,2,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,1,1,6,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1,8,1,1,2,3,4,6,5,1,0,0,0,0,0,0,0,0,0,0,0
1,9,1,1,2,3,4,6,2,3,4,6,2,5,1,0,0,0,0,0,0
1,10,1,1,2,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
1,11,1,1,2,3,4,5,3,4,1,0,0,0,0,0,0,0,0,0,0
1,12,1,1,2,3,4,5,6,1,0,0,0,0,0,0,0,0,0,0,0
1,13,1,1,2,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
1,14,1,1,2,3,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0
1,15,1,1,2,3,4,5,3,4,5,6,1,0,0,0,0,0,0,0,0
1,16,1,1,2,3,5,6,2,3,5,4,1,0,0,0,0,0,0,0,0
1,17,1,1,2,3,4,5,6,1,0,0,0,0,0,0,0,0,0,0,0
1,18,1,1,2,3,4,6,2,3,4,5,1,0,0,0,0,0,0,0,0
1,19,1,1,2,3,4,5,6,1,0,0,0,0,0,0,0,0,0,0,0
1,20,1,1,2,3,4,5,6,1,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,1,1,2,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0
2,4,1,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,1,1,2,6,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0
2,6,1,1,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,1,1,2,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,1,1,2,3,5,4,6,1,0,0,0,0,0,0,0,0,0,0,0
2,9,1,1,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,1,1,2,3,4,5,6,1,0,0,0,0,0,0,0,0,0,0,0
2,11,1,1,2,3,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2,12,1,1,2,3,4,5,2,3,4,6,1,0,0,0,0,0,0,0,0
2,13,1,1,2,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2,14,1,1,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15,1,1,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,1,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,1,1,2,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2,18,1,1,2,3,4,5,6,1,0,0,0,0,0,0,0,0,0,0,0
2,19,1,1,2,3,4,5,6,1,0,0,0,0,0,0,0,0,0,0,0
2,20,1,1,2,3,4,5,6,1,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,6,4,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,1,6,5,3,2,6,5,2,1,0,0,0,0,0,0,0,0,0
3,4,1,1,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,1,1,6,4,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0
3,6,1,1,6,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0
3,7,1,1,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,1,1,3,2,6,5,3,4,1,0,0,0,0,0,0,0,0,0,0
3,9,1,1,6,5,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0
3,10,1,1,2,5,3,4,5,3,1,0,0,0,0,0,0,0,0,0,0
3,11,1,1,6,5,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0
3,12,1,1,2,6,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0
3,13,1,1,6,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
3,14,1,1,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15,1,1,2,4,6,5,4,3,1,0,0,0,0,0,0,0,0,0,0
3,16,1,1,6,5,3,4,5,6,1,0,0,0,0,0,0,0,0,0,0
3,17,1,1,6,3,2,5,6,2,1,0,0,0,0,0,0,0,0,0,0
3,18,1,1,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,19,1,1,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0
3,20,1,1,6,5,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,1,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1,1,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0
4,4,1,1,2,4,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,1,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,1,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,1,1,6,4,3,2,6,5,1,0,0,0,0,0,0,0,0,0,0
4,8,1,1,2,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
