"ID","maxDistance","maxCrop","learningFactor","abandonFactor","maxFails","routeCompare","leaveAfterMaxFail","allowNestReturn","forbidReverseVector","differentExperienceSimulation","startingBoutForNaive","winProbabilities","arrayID"
1,3000,5,1,0.75,2,FALSE,FALSE,TRUE,TRUE,FALSE,1,0.5,"Array-10-3-1-532-500_03"
2,3000,5,1,0.75,2,FALSE,FALSE,TRUE,TRUE,FALSE,1,0.5,"Array-10-3-1-532-500_03"
