"Bee","Simulation","Bout","rawQuality","relativeQuality"
1,1,1,0.02042481,0.990274132732392
1,1,2,0.0131521,0.637664899752296
1,1,3,0.01543263,0.748233853290674
1,1,4,0.02062541,1
1,1,5,0.02062541,1
1,1,6,0.01548082,0.750570291693595
1,1,7,0.00854828,0.414453821766452
1,1,8,0.01548082,0.750570291693595
1,1,9,0.02062541,1
1,1,10,0.01217756,0.590415414772361
1,1,11,0.01548082,0.750570291693595
1,1,12,0.012946,0.627672371118926
1,1,13,0.02062541,1
1,1,14,0.00859838,0.41688286438912
1,1,15,0.01129988,0.547862078862917
1,1,16,0.02062541,1
1,1,17,0.01032648,0.500667865511522
1,1,18,0.01032648,0.500667865511522
1,1,19,0.01229749,0.596230087062512
1,1,20,0.02062541,1
1,2,1,0.01548082,0.750570291693595
1,2,2,0.01217756,0.590415414772361
1,2,3,0.00988606,0.479314593018999
1,2,4,0.01640069,0.795169162697857
1,2,5,0.0116183,0.563300317423993
1,2,6,0.01548082,0.750570291693595
1,2,7,0.0204996,0.993900242467907
1,2,8,0.0131521,0.637664899752296
1,2,9,0.00988606,0.479314593018999
1,2,10,0.0204996,0.993900242467907
1,2,11,0.00561085,0.272035804379161
1,2,12,0.01217756,0.590415414772361
1,2,13,0.01548082,0.750570291693595
1,2,14,0.00988606,0.479314593018999
1,2,15,0.00651169,0.315712027057886
1,2,16,0.0204996,0.993900242467907
1,2,17,0.0204996,0.993900242467907
1,2,18,0.01548082,0.750570291693595
1,2,19,0.01445631,0.700898066996002
1,2,20,0.01548082,0.750570291693595
1,3,1,0.01548082,0.750570291693595
1,3,2,0.0204996,0.993900242467907
1,3,3,0.01548082,0.750570291693595
1,3,4,0.01217756,0.590415414772361
1,3,5,0.01217756,0.590415414772361
1,3,6,0.02042481,0.990274132732392
1,3,7,0.02062541,1
1,3,8,0.01548082,0.750570291693595
1,3,9,0.00757599,0.367313425527056
1,3,10,0.01548082,0.750570291693595
1,3,11,0.01548082,0.750570291693595
1,3,12,0.01637469,0.793908581696073
1,3,13,0.01445631,0.700898066996002
1,3,14,0.02062541,1
1,3,15,0.02062541,1
1,3,16,0.01606383,0.778836881303208
1,3,17,0.00775428,0.375957617327365
1,3,18,0.02062541,1
1,3,19,0.02062541,1
1,3,20,0.0113149,0.548590306810871
1,4,1,0.0204996,0.993900242467907
1,4,2,0.01548082,0.750570291693595
1,4,3,0.0149164,0.723205017500258
