simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,relative_quality,absolute_quality
0,0,0,3.5921619527733397,3,0.00324443,0.18457165027511413
0,0,1,3.5921619527733397,2,0.00168233,0.09570569388377395
0,1,0,5.7320736173168605,4,0.00504067,0.2867575445894223
0,1,1,4.928015174053317,2,0.00111407,0.06337807825164864
0,2,0,5.098234375524077,3,0.00576567,0.3280019069117587
0,2,1,6.14074044005744,3,0.00233918,0.13307308614781072
0,3,0,6.104697014097233,2,0.00104525,0.05946299271368562
0,3,1,6.114400315546964,4,0.00432946,0.24629767848284465
0,4,0,5.669258138793676,2,0.00256252,0.14577862529411498
0,4,1,5.5315263346443375,4,0.00428719,0.24389298993751338
0,5,0,6.264435772760686,3,0.00232903,0.132495665075298
0,5,1,6.145782016967875,3,0.00242651,0.1380411829224447
0,6,0,5.887956507656228,3,0.00529144,0.3010235428509013
0,6,1,5.973926286644817,3,0.00448556,0.2551780163566608
0,7,0,7.101586476895186,2,0.00232035,0.1320018705029423
0,7,1,6.205369309869111,4,0.00787786,0.44816180988226306
0,8,0,7.274182205285572,2,0.00104458,0.059424877234022226
0,8,1,6.748202312134779,4,0.00453537,0.25801164627014433
0,9,0,6.8319401278059,3,0.0027264,0.1551015578422315
0,9,1,7.341058288645129,3,0.00351725,0.20009204603894834
1,0,0,6.598351084348797,3,0.0024283,0.13814301383079913
1,0,1,7.217613710138543,3,0.00249846,0.14213433032808895
1,1,0,7.11743201677283,3,0.00252799,0.14381425587205943
1,1,1,7.008763261542466,3,0.00245776,0.1398189571604764
1,2,0,7.529143034092606,3,0.00249932,0.1421832546751196
1,2,1,6.906757536718821,3,0.00541998,0.3083360260687125
1,3,0,7.788119343104946,2,0.00195734,0.11135067606620945
1,3,1,6.7156621920480735,4,0.00444171,0.25268344354585465
1,4,0,6.722998081582507,3,0.00641617,0.36500805545062737
1,4,1,7.143794818587917,3,0.00444356,0.25278868778074615
1,5,0,7.230394749258927,2,0.00112769,0.06415290337555239
