"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","similarityIndex"
"R10-P1","noRouteCompare",1.5,0.75,1,2,11,2,0.730769230769231
"R10-P1","noRouteCompare",1.5,0.75,1,2,12,1,0.214285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,2,12,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,13,1,0.272727272727273
"R10-P1","noRouteCompare",1.5,0.75,1,2,13,2,0.184210526315789
"R10-P1","noRouteCompare",1.5,0.75,1,2,14,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,14,2,0.263157894736842
"R10-P1","noRouteCompare",1.5,0.75,1,2,15,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,15,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,16,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,16,2,0.272727272727273
"R10-P1","noRouteCompare",1.5,0.75,1,2,17,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,17,2,0.545454545454545
"R10-P1","noRouteCompare",1.5,0.75,1,2,18,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,18,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,19,1,0.34375
"R10-P1","noRouteCompare",1.5,0.75,1,2,19,2,0.333333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,2,20,1,0.1875
"R10-P1","noRouteCompare",1.5,0.75,1,2,20,2,0.541666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,2,21,1,0.363636363636364
"R10-P1","noRouteCompare",1.5,0.75,1,2,21,2,0.416666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,2,22,1,0.363636363636364
"R10-P1","noRouteCompare",1.5,0.75,1,2,22,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,23,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,23,2,0.333333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,2,24,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,24,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,25,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,25,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,2,26,1,0.285714285714286
"R10-P1","noRouteCompare",1.5,0.75,1,2,26,2,0.80952380952381
"R10-P1","noRouteCompare",1.5,0.75,1,2,27,1,0.392857142857143
"R10-P1","noRouteCompare",1.5,0.75,1,2,27,2,0.785714285714286
"R10-P1","noRouteCompare",1.5,0.75,1,2,28,1,0.454545454545455
"R10-P1","noRouteCompare",1.5,0.75,1,2,28,2,0.625
"R10-P1","noRouteCompare",1.5,0.75,1,2,29,1,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,2,29,2,0.590909090909091
"R10-P1","noRouteCompare",1.5,0.75,1,3,1,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,1,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,2,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,2,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,3,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,3,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,4,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,4,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,5,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,5,2,0.375
"R10-P1","noRouteCompare",1.5,0.75,1,3,6,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,6,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,7,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,7,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,8,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,8,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,9,1,0.375
"R10-P1","noRouteCompare",1.5,0.75,1,3,9,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,10,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,10,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,11,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,11,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,12,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,12,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,13,1,0.545454545454545
"R10-P1","noRouteCompare",1.5,0.75,1,3,13,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,14,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,14,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,15,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,15,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,16,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,16,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,17,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,17,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,18,1,0.666666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,3,18,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,19,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,19,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,20,1,0.272727272727273
"R10-P1","noRouteCompare",1.5,0.75,1,3,20,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,21,1,0.272727272727273
"R10-P1","noRouteCompare",1.5,0.75,1,3,21,2,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,3,22,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,22,2,0.176470588235294
"R10-P1","noRouteCompare",1.5,0.75,1,3,23,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,23,2,0.176470588235294
"R10-P1","noRouteCompare",1.5,0.75,1,3,24,1,0.428571428571429
"R10-P1","noRouteCompare",1.5,0.75,1,3,24,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,25,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,25,2,0.428571428571429
"R10-P1","noRouteCompare",1.5,0.75,1,3,26,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,26,2,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,3,27,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,27,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,28,1,0.6
"R10-P1","noRouteCompare",1.5,0.75,1,3,28,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,29,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,3,29,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,1,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,1,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,2,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,2,2,0.366666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,4,3,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,3,2,0.294117647058824
"R10-P1","noRouteCompare",1.5,0.75,1,4,4,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,4,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,5,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,5,2,0.166666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,4,6,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,6,2,0.166666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,4,7,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,7,2,0
