"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","H2","Q","Qnorm"
"R10-P1","noRouteCompare",1.5,0.75,1,2,26,1,0.413139981523483,0.244897959183673,0.6
"R10-P1","noRouteCompare",1.5,0.75,1,2,27,1,0.189061398141777,0.217142857142857,0.452380952380952
"R10-P1","noRouteCompare",1.5,0.75,1,2,28,1,0.460304036902452,0.244897959183673,0.675
"R10-P1","noRouteCompare",1.5,0.75,1,2,29,1,0.36983368840038,0.318181818181818,0.636363636363636
"R10-P1","noRouteCompare",1.5,0.75,1,2,30,1,0,0.173010380622837,0.416666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,3,1,1,0,0.246913580246914,0.714285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,3,2,1,0,0.165289256198347,0.625
"R10-P1","noRouteCompare",1.5,0.75,1,3,3,1,0,0.166089965397924,0.461538461538462
"R10-P1","noRouteCompare",1.5,0.75,1,3,4,1,0.5,0.3125,0.833333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,3,5,1,0.228443826320529,0.222222222222222,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,3,6,1,0,0.319444444444444,0.657142857142857
"R10-P1","noRouteCompare",1.5,0.75,1,3,7,1,0.0982099856327667,0.152777777777778,0.314285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,3,8,1,0.140206611904768,0.200692041522491,0.402777777777778
"R10-P1","noRouteCompare",1.5,0.75,1,3,9,1,0,0.264462809917355,0.571428571428571
"R10-P1","noRouteCompare",1.5,0.75,1,3,10,1,0.25,0.306122448979592,0.625
"R10-P1","noRouteCompare",1.5,0.75,1,3,11,1,0,0.236686390532544,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,3,12,1,1.792,0.444444444444445,1
"R10-P1","noRouteCompare",1.5,0.75,1,3,13,1,0.342665739480793,0.25,0.505050505050505
"R10-P1","noRouteCompare",1.5,0.75,1,3,14,1,0,0.133333333333333,0.277777777777778
"R10-P1","noRouteCompare",1.5,0.75,1,3,15,1,0,0.326530612244898,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,3,16,1,0,0.177514792899408,0.375
"R10-P1","noRouteCompare",1.5,0.75,1,3,17,1,0,0.246913580246914,0.714285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,3,18,1,0,0.3125,0.833333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,3,19,1,0,0.296296296296296,0.6
"R10-P1","noRouteCompare",1.5,0.75,1,3,20,1,0,0.25,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,3,21,1,0.381307360104278,0.195555555555556,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,3,22,1,0,0.24,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,3,23,1,0.135786027723346,0.128099173553719,0.364705882352941
"R10-P1","noRouteCompare",1.5,0.75,1,3,24,1,0.228443826320529,0.25,0.514285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,3,25,1,0.296081910965865,0.343195266272189,0.690476190476191
"R10-P1","noRouteCompare",1.5,0.75,1,3,26,1,0.203918089034135,0.232686980609418,0.538461538461538
"R10-P1","noRouteCompare",1.5,0.75,1,3,27,1,0,0.3,0.6
"R10-P1","noRouteCompare",1.5,0.75,1,3,28,1,0.276048163585759,0.213333333333333,0.727272727272727
"R10-P1","noRouteCompare",1.5,0.75,1,3,29,1,0,0.296296296296296,0.6
"R10-P1","noRouteCompare",1.5,0.75,1,3,30,1,0,0.197530864197531,0.4
"R10-P1","noRouteCompare",1.5,0.75,1,4,1,1,0,0.122448979591837,0.25
"R10-P1","noRouteCompare",1.5,0.75,1,4,2,1,0,0.188365650969529,0.377777777777778
"R10-P1","noRouteCompare",1.5,0.75,1,4,3,1,0.161449463562942,0.181474480151229,0.4
"R10-P1","noRouteCompare",1.5,0.75,1,4,4,1,0.383568120950603,0.198347107438017,0.564705882352941
"R10-P1","noRouteCompare",1.5,0.75,1,4,5,1,0.296081910965866,0.213333333333333,0.444444444444444
"R10-P1","noRouteCompare",1.5,0.75,1,4,6,1,0.0561659750487112,0.152249134948097,0.323529411764706
"R10-P1","noRouteCompare",1.5,0.75,1,4,7,1,0,0.2,0.4
"R10-P1","noRouteCompare",1.5,0.75,1,4,8,1,0,0.285714285714286,0.571428571428571
"R10-P1","noRouteCompare",1.5,0.75,1,4,9,1,0,0.25,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,4,10,1,0.0558771335512014,0.135802469135802,0.338461538461538
"R10-P1","noRouteCompare",1.5,0.75,1,4,11,1,1.946,0.408163265306122,1
"R10-P1","noRouteCompare",1.5,0.75,1,4,12,1,0.228443826320529,0.285714285714286,0.583333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,4,13,1,0.34753068574288,0.242214532871972,0.583333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,4,14,1,0.666666666666666,0.36,0.857142857142857
"R10-P1","noRouteCompare",1.5,0.75,1,4,15,1,0.666666666666667,0.396694214876033,0.857142857142857
"R10-P1","noRouteCompare",1.5,0.75,1,4,16,1,0,0.247933884297521,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,4,17,1,0.193681545006942,0.185,0.406593406593407
"R10-P1","noRouteCompare",1.5,0.75,1,4,18,1,0.163070121084996,0.186851211072664,0.409090909090909
"R10-P1","noRouteCompare",1.5,0.75,1,4,19,1,0.116650404439532,0.12476370510397,0.323529411764706
"R10-P1","noRouteCompare",1.5,0.75,1,4,20,1,0,0.3125,0.833333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,4,21,1,0.315672356136539,0.222222222222222,0.545454545454545
"R10-P1","noRouteCompare",1.5,0.75,1,4,22,1,0,0.16,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,4,23,1,1,0.345679012345679,1
"R10-P1","noRouteCompare",1.5,0.75,1,4,24,1,0,0.375,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,4,25,1,0,0.37037037037037,0.833333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,4,26,1,0,0.224852071005917,0.542857142857143
"R10-P1","noRouteCompare",1.5,0.75,1,4,27,1,0,0.36734693877551,0.75
"R10-P1","noRouteCompare",1.5,0.75,1,4,28,1,1.946,0.408163265306122,1
"R10-P1","noRouteCompare",1.5,0.75,1,4,29,1,0.500000000000001,0.36,0.857142857142857
"R10-P1","noRouteCompare",1.5,0.75,1,4,30,1,0,0.32,0.666666666666667
