"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","Q1","Q2","groupQuality"
"R10-P1","noRouteCompare",1.5,0.75,1,2,24,1,0.01609627,0.00784805,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,2,25,1,0.01136948,0.0025118,0.290012928362042
"R10-P1","noRouteCompare",1.5,0.75,1,2,26,1,0.01118658,0.00685201,0.372873765036911
"R10-P1","noRouteCompare",1.5,0.75,1,2,27,1,0.00529991,0.00779479,0.269297719193325
"R10-P1","noRouteCompare",1.5,0.75,1,2,28,1,0.02163578,0.00275591,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,2,29,1,0.00999894,0.01044642,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,2,30,1,0.00987602,0.02562573,0.745747530073823
"R10-P1","noRouteCompare",1.5,0.75,1,3,1,1,0.00874912,0.00635074,0.31072813753076
"R10-P1","noRouteCompare",1.5,0.75,1,3,2,1,0.01004721,0.01028015,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,3,3,1,0.00832028,0.01372837,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,3,4,1,0.00548717,0.00576414,0.22786730085589
"R10-P1","noRouteCompare",1.5,0.75,1,3,5,1,0.01709775,0.00600461,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,3,6,1,0.01265606,0.01856812,0.642171484230236
"R10-P1","noRouteCompare",1.5,0.75,1,3,7,1,0.00663184,0.00884238,0.31072813753076
"R10-P1","noRouteCompare",1.5,0.75,1,3,8,1,0.01109422,0.00738085,0.372873765036911
"R10-P1","noRouteCompare",1.5,0.75,1,3,9,1,0.01593232,0.00880458,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,3,10,1,0.01302004,0.0140637,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,3,11,1,0.00787823,0.02134527,0.600741065892802
"R10-P1","noRouteCompare",1.5,0.75,1,3,12,1,0.00829098,0.01288318,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,3,13,1,0.00730313,0.00925984,0.352158555868194
"R10-P1","noRouteCompare",1.5,0.75,1,3,14,1,0.01176244,0.00779317,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,3,15,1,0.01756383,0.00635074,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,3,16,1,0.01154441,0.00403599,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,3,17,1,0.01004721,0.01877583,0.600741065892802
