simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,absolute_quality
0,0,0,,5,0.0140774
0,0,1,,4,0.00459735
0,1,0,,4,0.01391136
0,1,1,,5,0.02133726
0,2,0,,5,0.0217365
0,2,1,,4,0.00682894
0,3,0,,5,0.0217365
0,3,1,,4,0.00466543
0,4,0,,5,0.0217365
0,4,1,,4,0.01175734
0,5,0,,5,0.0217365
0,5,1,,4,0.00422345
0,6,0,,5,0.0217365
0,6,1,,4,0.00560781
0,7,0,,5,0.0217365
0,7,1,,4,0.00477981
0,8,0,,5,0.0217365
0,8,1,,5,0.02042829
0,9,0,,5,0.0217365
0,9,1,,5,0.02042829
0,10,0,,5,0.0217365
0,10,1,,5,0.02042829
0,11,0,,5,0.0217365
0,11,1,,5,0.02042829
0,12,0,,5,0.0217365
0,12,1,,5,0.02042829
0,13,0,,5,0.0217365
0,13,1,,5,0.02042829
0,14,0,,5,0.0217365
0,14,1,,5,0.02042829
0,15,0,,5,0.0217365
0,15,1,,5,0.02042829
0,16,0,,5,0.0217365
0,16,1,,5,0.02042829
0,17,0,,5,0.0217365
0,17,1,,5,0.02042829
0,18,0,,5,0.0217365
0,18,1,,5,0.02042829
0,19,0,,5,0.0217365
0,19,1,,5,0.02042829
0,20,0,,5,0.0217365
0,20,1,,5,0.02042829
0,21,0,,5,0.0217365
0,21,1,,5,0.02042829
0,22,0,,5,0.0217365
0,22,1,,5,0.02042829
0,23,0,,5,0.0217365
0,23,1,,5,0.02042829
0,24,0,,5,0.0217365
0,24,1,,5,0.02042829
0,25,0,,5,0.0217365
0,25,1,,5,0.02042829
0,26,0,,5,0.0217365
0,26,1,,5,0.02042829
0,27,0,,5,0.0217365
0,27,1,,5,0.02042829
0,28,0,,5,0.0217365
0,28,1,,5,0.02042829
0,29,0,,5,0.0217365
0,29,1,,5,0.02042829
1,0,0,,3,0.00987965
1,0,1,,5,0.00803215
1,1,0,,2,0.00214605
1,1,1,,5,0.01439449
1,2,0,,3,0.00266482
1,2,1,,5,0.01439449
1,3,0,,3,0.01027616
1,3,1,,5,0.01045763
1,4,0,,5,0.01216716
1,4,1,,5,0.01791872
1,5,0,,4,0.01294055
1,5,1,,3,0.00270743
1,6,0,,5,0.012163
1,6,1,,4,0.0050308
1,7,0,,5,0.01034662
1,7,1,,3,0.01140196
1,8,0,,4,0.00669173
1,8,1,,5,0.02419547
1,9,0,,5,0.01623859
1,9,1,,5,0.00918522
1,10,0,,5,0.01872324
1,10,1,,5,0.00920162
1,11,0,,5,0.01872324
1,11,1,,4,0.01547019
1,12,0,,4,0.0106403
1,12,1,,5,0.02080335
1,13,0,,4,0.01294055
1,13,1,,4,0.01547019
1,14,0,,5,0.01872324
1,14,1,,4,0.01547019
1,15,0,,5,0.01872324
1,15,1,,4,0.01547019
1,16,0,,5,0.01872324
1,16,1,,4,0.01547019
1,17,0,,4,0.0106403
1,17,1,,5,0.01698462
1,18,0,,4,0.0106403
1,18,1,,5,0.01698462
1,19,0,,4,0.01294055
1,19,1,,5,0.01698462
1,20,0,,5,0.01872324
1,20,1,,4,0.00516404
1,21,0,,4,0.00435819
1,21,1,,5,0.01698462
1,22,0,,4,0.00832727
1,22,1,,5,0.01698462
1,23,0,,5,0.01872324
1,23,1,,4,0.00630729
1,24,0,,5,0.01872324
1,24,1,,5,0.01252209
1,25,0,,5,0.01872324
1,25,1,,4,0.01547019
1,26,0,,4,0.0106403
1,26,1,,5,0.01698462
1,27,0,,4,0.00705009
1,27,1,,5,0.01698462
1,28,0,,5,0.01872324
1,28,1,,5,0.01252209
1,29,0,,4,0.00913518
1,29,1,,5,0.01698462
2,0,0,,3,0.01383799
2,0,1,,3,0.00955518
2,1,0,,4,0.00545845
2,1,1,,5,0.01327652
2,2,0,,3,0.00746547
2,2,1,,5,0.01601764
2,3,0,,3,0.0172049
2,3,1,,5,0.01601764
2,4,0,,4,0.00488166
2,4,1,,5,0.01465521
2,5,0,,5,0.01165826
2,5,1,,5,0.01601764
2,6,0,,5,0.00819167
