"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","H2","Q","Qnorm"
"R-P","noRouteCompare",1.5,0.75,1,2,29,1,0.125,0.13,0.30952380952381
"R-P","noRouteCompare",1.5,0.75,1,2,30,1,0,0.296296296296296,0.6
"R-P","noRouteCompare",1.5,0.75,1,3,1,1,0,0.375,0.75
"R-P","noRouteCompare",1.5,0.75,1,3,2,1,0.420619835714305,0.355029585798817,0.75
"R-P","noRouteCompare",1.5,0.75,1,3,3,1,0.0191422053020382,0.122448979591837,0.263736263736264
"R-P","noRouteCompare",1.5,0.75,1,3,4,1,0,0.142857142857143,0.285714285714286
"R-P","noRouteCompare",1.5,0.75,1,3,5,1,0.25,0.306122448979592,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,3,6,1,0,0.24,0.482142857142857
"R-P","noRouteCompare",1.5,0.75,1,3,7,1,0,0.395061728395062,0.8
"R-P","noRouteCompare",1.5,0.75,1,3,8,1,0.113574152913759,0.18,0.375
"R-P","noRouteCompare",1.5,0.75,1,3,9,1,0.146954653486742,0.15702479338843,0.447058823529412
"R-P","noRouteCompare",1.5,0.75,1,3,10,1,0.135548305583946,0.173010380622837,0.357142857142857
"R-P","noRouteCompare",1.5,0.75,1,3,11,1,0,0.12,0.263736263736264
"R-P","noRouteCompare",1.5,0.75,1,3,12,1,0.361583611703337,0.277777777777778,0.612244897959184
"R-P","noRouteCompare",1.5,0.75,1,3,13,1,1,0.493827160493827,1
"R-P","noRouteCompare",1.5,0.75,1,3,14,1,0,0.21301775147929,0.428571428571428
"R-P","noRouteCompare",1.5,0.75,1,3,15,1,0.25263346274718,0.22265625,0.493506493506494
"R-P","noRouteCompare",1.5,0.75,1,3,16,1,0.161866059958266,0.158730158730159,0.357142857142857
"R-P","noRouteCompare",1.5,0.75,1,3,17,1,0.103759374819711,0.1953125,0.454545454545455
"R-P","noRouteCompare",1.5,0.75,1,3,18,1,0.156802637393765,0.21875,0.444444444444444
"R-P","noRouteCompare",1.5,0.75,1,3,19,1,0,0.244897959183673,0.5
"R-P","noRouteCompare",1.5,0.75,1,3,20,1,0.69826625362806,0.28125,0.75
"R-P","noRouteCompare",1.5,0.75,1,3,21,1,0.266319563348789,0.373333333333333,0.75
"R-P","noRouteCompare",1.5,0.75,1,3,22,1,0,0.264462809917355,0.571428571428571
"R-P","noRouteCompare",1.5,0.75,1,3,23,1,0,0.197530864197531,0.4
"R-P","noRouteCompare",1.5,0.75,1,3,24,1,0.470407912181294,0.306122448979592,0.625
"R-P","noRouteCompare",1.5,0.75,1,3,25,1,1.946,0.408163265306122,1
"R-P","noRouteCompare",1.5,0.75,1,3,26,1,0.228443826320529,0.260355029585799,0.55
"R-P","noRouteCompare",1.5,0.75,1,3,27,1,0,0.277777777777778,0.571428571428572
"R-P","noRouteCompare",1.5,0.75,1,3,28,1,2.079,0.46875,1
"R-P","noRouteCompare",1.5,0.75,1,3,29,1,0.464575892133098,0.20414201183432,0.657142857142857
"R-P","noRouteCompare",1.5,0.75,1,3,30,1,0.266319563348789,0.293628808864266,0.602272727272727
"R-P","noRouteCompare",1.5,0.75,1,4,1,1,0,0.37037037037037,0.833333333333333
"R-P","noRouteCompare",1.5,0.75,1,4,2,1,0,0.1632,0.331168831168831
"R-P","noRouteCompare",1.5,0.75,1,4,3,1,0,0.272189349112426,0.547619047619048
"R-P","noRouteCompare",1.5,0.75,1,4,4,1,0.210309917857153,0.213333333333333,0.545454545454546
"R-P","noRouteCompare",1.5,0.75,1,4,5,1,0,0.165680473372781,0.636363636363636
"R-P","noRouteCompare",1.5,0.75,1,4,6,1,0.0181870500864608,0.0888888888888889,0.2
"R-P","noRouteCompare",1.5,0.75,1,4,7,1,0,0.24,0.75
"R-P","noRouteCompare",1.5,0.75,1,4,8,1,1.792,0.444444444444445,1
"R-P","noRouteCompare",1.5,0.75,1,4,9,1,0,0.260355029585799,0.55
"R-P","noRouteCompare",1.5,0.75,1,4,10,1,0.120083899988296,0.1504,0.412280701754386
"R-P","noRouteCompare",1.5,0.75,1,4,11,1,0,0.163265306122449,0.444444444444444
"R-P","noRouteCompare",1.5,0.75,1,4,12,1,0,0.214285714285714,0.636363636363636
"R-P","noRouteCompare",1.5,0.75,1,4,13,1,0,0.203125,0.433333333333333
"R-P","noRouteCompare",1.5,0.75,1,4,14,1,0.161449463562941,0.152892561983471,0.316239316239316
"R-P","noRouteCompare",1.5,0.75,1,4,15,1,0.044095401685875,0.107438016528926,0.270833333333333
"R-P","noRouteCompare",1.5,0.75,1,4,16,1,0.5,0.375,0.8
"R-P","noRouteCompare",1.5,0.75,1,4,17,1,0,0.25,0.5
"R-P","noRouteCompare",1.5,0.75,1,4,18,1,0,0.3,0.6
"R-P","noRouteCompare",1.5,0.75,1,4,19,1,0.0533332439667111,0.114186851211073,0.241758241758242
"R-P","noRouteCompare",1.5,0.75,1,4,20,1,0.40701901811629,0.28125,0.6
"R-P","noRouteCompare",1.5,0.75,1,4,21,1,0.666666666666667,0.347107438016529,0.875
"R-P","noRouteCompare",1.5,0.75,1,4,22,1,0.69826625362806,0.28125,0.75
"R-P","noRouteCompare",1.5,0.75,1,4,23,1,0,0.36734693877551,0.75
"R-P","noRouteCompare",1.5,0.75,1,4,24,1,0.500000000000001,0.4,0.8
"R-P","noRouteCompare",1.5,0.75,1,4,25,1,0.644754678724236,0.398891966759003,0.818181818181818
"R-P","noRouteCompare",1.5,0.75,1,4,26,1,1,0.48,1
"R-P","noRouteCompare",1.5,0.75,1,4,27,1,0.806873278571435,0.442906574394464,0.888888888888889
"R-P","noRouteCompare",1.5,0.75,1,4,28,1,0.400000000000001,0.29585798816568,0.625
"R-P","noRouteCompare",1.5,0.75,1,4,29,1,2.079,0.46875,1
"R-P","noRouteCompare",1.5,0.75,1,4,30,1,2.079,0.46875,1
"R-P","noRouteCompare",1.5,0.75,1,5,1,1,0.242477036147703,0.181818181818182,0.392857142857143
"R-P","noRouteCompare",1.5,0.75,1,5,2,1,0.296081910965865,0.330578512396694,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,5,3,1,0.320250435951771,0.209876543209877,0.523076923076923
"R-P","noRouteCompare",1.5,0.75,1,5,4,1,0,0.122448979591837,0.363636363636364
"R-P","noRouteCompare",1.5,0.75,1,5,5,1,0.275170988668589,0.259259259259259,0.583333333333333
"R-P","noRouteCompare",1.5,0.75,1,5,6,1,0.18596196376742,0.236686390532544,0.5
"R-P","noRouteCompare",1.5,0.75,1,5,7,1,0.38625344285713,0.204081632653061,0.5625
"R-P","noRouteCompare",1.5,0.75,1,5,8,1,0,0.21301775147929,0.6
"R-P","noRouteCompare",1.5,0.75,1,5,9,1,0.5,0.262975778546713,0.633333333333333
"R-P","noRouteCompare",1.5,0.75,1,5,10,1,0.148040955482933,0.171875,0.366666666666667
"R-P","noRouteCompare",1.5,0.75,1,5,11,1,0.280413223809537,0.232686980609418,0.538461538461539
"R-P","noRouteCompare",1.5,0.75,1,5,12,1,0,0.186666666666667,0.375
"R-P","noRouteCompare",1.5,0.75,1,5,13,1,0.163070121084996,0.25,0.5
"R-P","noRouteCompare",1.5,0.75,1,5,14,1,0,0.326530612244898,0.8
"R-P","noRouteCompare",1.5,0.75,1,5,15,1,0,0.3,0.6
"R-P","noRouteCompare",1.5,0.75,1,5,16,1,0.271556173679471,0.253968253968254,0.538461538461539
"R-P","noRouteCompare",1.5,0.75,1,5,17,1,0.18596196376742,0.214285714285714,0.428571428571429
"R-P","noRouteCompare",1.5,0.75,1,5,18,1,0.266319563348789,0.148148148148148,0.333333333333333
"R-P","noRouteCompare",1.5,0.75,1,5,19,1,0.17376534287144,0.216049382716049,0.538461538461539
"R-P","noRouteCompare",1.5,0.75,1,5,20,1,0.233430879576278,0.192307692307692,0.42483660130719
"R-P","noRouteCompare",1.5,0.75,1,5,21,1,0.322258472080269,0.299168975069252,0.6
"R-P","noRouteCompare",1.5,0.75,1,5,22,1,1,0.5,1
"R-P","noRouteCompare",1.5,0.75,1,5,23,1,0.268385589922858,0.293333333333333,0.611111111111111
"R-P","noRouteCompare",1.5,0.75,1,5,24,1,0.0804675066467603,0.122448979591837,0.266666666666667
"R-P","noRouteCompare",1.5,0.75,1,5,25,1,0.5,0.37037037037037,0.833333333333333
"R-P","noRouteCompare",1.5,0.75,1,5,26,1,0,0.264462809917355,0.571428571428571
"R-P","noRouteCompare",1.5,0.75,1,5,27,1,0.5,0.32,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,5,28,1,0,0.277777777777778,0.571428571428572
"R-P","noRouteCompare",1.5,0.75,1,5,29,1,0,0.246913580246914,0.714285714285714
"R-P","noRouteCompare",1.5,0.75,1,5,30,1,0,0.125,0.25
